company_name,high,low,last_price,prev_close,change,percent_gain
Sundaram Fin,"4,905.15","4,097.00","4,698.90","4,087.65",611.25,14.95
Eicher Motors,"5,330.00","4,867.25","5,308.10","4,885.30",422.80,8.65
Bajaj Finserv,"1,717.90","1,576.40","1,700.65","1,576.40",124.25,7.88
Bajaj Finserv,"1,717.90","1,576.40","1,700.65","1,576.40",124.25,7.88
Chola Fin Hold,"1,518.50","1,395.05","1,504.80","1,399.40",105.40,7.53
Chola Invest.,"1,276.00","1,183.05","1,271.50","1,184.35",87.15,7.36
CreditAccess Gr,977.00,893.70,954.65,890.90,63.75,7.16
CenturyPlyboard,871.70,770.30,853.90,797.60,56.30,7.06
Bajaj Finance,"7,430.00","6,971.00","7,389.20","6,935.30",453.90,6.54
Sammaan Capital,163.70,153.66,162.79,152.98,9.81,6.41
Varroc Engineer,649.00,588.85,633.50,596.90,36.60,6.13
Zensar Tech,818.95,748.60,793.10,747.35,45.75,6.12
Oil India,467.00,435.55,463.30,437.10,26.20,5.99
Ashok Leyland,238.20,224.27,236.08,222.82,13.26,5.95
Maruti Suzuki,"11,859.15","11,226.00","11,841.30","11,208.30",633.00,5.65
Raymond,"1,810.90","1,694.00","1,777.45","1,694.00",83.45,4.93
Shriram Finance,"3,068.90","2,931.60","3,060.05","2,918.65",141.40,4.84
Shree Cements,"26,750.95","25,587.70","26,689.90","25,504.25","1,185.65",4.65
Railtel,434.15,412.15,422.25,405.05,17.20,4.25
M&M,"3,228.10","3,085.05","3,211.10","3,082.00",129.10,4.19
Grasim,"2,559.50","2,445.00","2,543.95","2,442.15",101.80,4.17
Titan Company,"3,400.95","3,251.00","3,388.95","3,253.85",135.10,4.15
Infosys,"1,962.65","1,885.30","1,957.85","1,882.50",75.35,4
PB Fintech,"2,230.00","2,115.00","2,203.25","2,119.20",84.05,3.97
TVS Motor,"2,508.00","2,402.05","2,501.45","2,406.60",94.85,3.94
Metro Brands,"1,288.60","1,240.75","1,284.50","1,235.95",48.55,3.93
Bajaj Auto,"9,107.30","8,677.55","9,079.50","8,740.55",338.95,3.88
ONGC,246.78,237.00,246.07,236.95,9.12,3.85
M&M Financial,278.90,264.70,275.70,265.55,10.15,3.82
Sonata,632.25,604.05,628.05,605.30,22.75,3.76
IGL,432.00,411.05,425.70,410.30,15.40,3.75
L&T Finance,143.27,137.65,142.85,137.76,5.09,3.69
SBI Card,705.00,678.05,702.70,677.80,24.90,3.67
Trent,"7,336.00","7,055.95","7,321.00","7,068.05",252.95,3.58
J. K. Cement,"4,753.70","4,599.65","4,745.35","4,582.35",163.00,3.56
Jyoti CNC Auto,"1,393.00","1,340.00","1,381.55","1,335.80",45.75,3.42
Kirloskar Oil,"1,048.80","1,013.95","1,043.05","1,008.95",34.10,3.38
Nuvama Wealth,"7,274.00","6,997.60","7,222.85","6,989.65",233.20,3.34
Devyani Int,192.98,181.77,189.09,183.13,5.96,3.25
DOMS Industries,"2,830.00","2,704.00","2,813.30","2,725.40",87.90,3.23
IIFL Finance,433.30,417.30,431.50,418.25,13.25,3.17
Swan Energy,756.40,719.00,742.65,719.80,22.85,3.17
Thermax,"4,149.95","3,956.00","4,058.10","3,933.45",124.65,3.17
HCL Tech,"1,976.30","1,910.05","1,972.20","1,911.95",60.25,3.15
BLS Internation,503.50,480.50,498.60,483.65,14.95,3.09
UltraTechCement,"11,829.15","11,455.05","11,797.70","11,447.00",350.70,3.06
Hero Motocorp,"4,322.15","4,146.00","4,311.50","4,184.35",127.15,3.04
Ipca Labs,"1,746.60","1,686.45","1,744.05","1,692.95",51.10,3.02
Brigade Ent,"1,282.95","1,235.05","1,277.15","1,240.15",37.00,2.98
Home First,"1,083.90","1,036.20","1,076.15","1,045.00",31.15,2.98
SignatureGlobal,"1,407.75","1,347.75","1,393.25","1,353.05",40.20,2.97
Torrent Power,"1,545.30","1,482.95","1,538.50","1,494.25",44.25,2.96
Zomato,286.00,276.00,284.60,276.50,8.10,2.93
Colgate,"2,786.25","2,692.90","2,780.60","2,701.70",78.90,2.92
HDFC AMC,"4,292.55","4,160.05","4,281.95","4,162.55",119.40,2.87
APTUS VALUE,301.00,291.90,299.75,291.50,8.25,2.83
Piramal Enter,"1,130.00","1,093.05","1,125.45","1,094.60",30.85,2.82
Federal Bank,206.60,199.56,206.14,200.51,5.63,2.81
MOTHERSON,160.88,154.49,159.77,155.40,4.37,2.81
Firstsource Sol,403.70,381.30,394.50,383.95,10.55,2.75
PNB,105.92,101.45,105.48,102.66,2.82,2.75
AB Capital,184.77,179.41,183.89,179.00,4.89,2.73
Kotak Mahindra,"1,840.20","1,796.90","1,837.15","1,788.40",48.75,2.73
Tejas Networks,"1,219.90","1,181.00","1,212.85","1,181.10",31.75,2.69
KPR Mill,"1,022.00",994.25,"1,015.30",989.05,26.25,2.65
Godfrey Phillip,"5,259.00","5,006.30","5,166.25","5,035.20",131.05,2.6
3M India,"31,685.85","30,150.10","30,958.05","30,175.60",782.45,2.59
