company_name,high,low,last_price,prev_close,change,percent_gain
Hitachi Energy,"9,821.95","8,035.70","9,329.50","8,212.75","1,116.75",13.6
Godfrey Phillip,"3,488.00","3,129.35","3,449.70","3,131.20",318.50,10.17
MCX India,"4,185.00","3,824.85","4,160.85","3,839.45",321.40,8.37
Bharat Forge,"1,325.90","1,237.20","1,311.85","1,222.00",89.85,7.35
Firstsource Sol,221.00,200.00,215.65,201.15,14.50,7.21
Jupiter Wagons,442.40,392.00,419.55,391.40,28.15,7.19
Inox Wind,658.40,604.00,645.50,602.90,42.60,7.07
Mazagon Dock,"2,470.00","2,284.00","2,455.85","2,309.60",146.25,6.33
AB Capital,230.85,216.60,229.80,216.30,13.50,6.24
Vodafone Idea,14.40,11.90,13.90,13.10,0.80,6.11
Axis Bank,"1,133.95","1,086.10","1,127.00","1,063.25",63.75,6
IOB,67.45,62.85,66.90,63.25,3.65,5.77
Carborundum,"1,423.00","1,338.10","1,414.85","1,341.10",73.75,5.5
HBL Power,500.90,467.30,492.70,467.10,25.60,5.48
KSB Pumps,"4,979.95","4,660.25","4,931.70","4,682.25",249.45,5.33
SBI,814.40,769.65,812.70,773.10,39.60,5.12
CRISIL,"4,365.00","4,130.05","4,354.05","4,144.95",209.10,5.04
Jai Balaji Ind,"1,089.35","1,055.00","1,089.35","1,037.50",51.85,5
Motilal Oswal,"2,485.00","2,346.95","2,463.75","2,353.00",110.75,4.71
360 ONE WAM,845.00,793.85,838.75,801.40,37.35,4.66
360 ONE WAM,845.00,793.85,838.75,801.40,37.35,4.66
Dr Reddys Labs,"6,262.00","5,928.00","6,218.75","5,950.80",267.95,4.5
UCO Bank,57.50,54.25,56.80,54.45,2.35,4.32
Emami,470.00,447.85,465.00,446.35,18.65,4.18
Alembic Pharma,"1,010.00",955.80,997.50,958.00,39.50,4.12
Garden Reach Sh,"1,077.85",970.75,"1,023.75",983.55,40.20,4.09
Bank of India,152.15,144.10,150.35,144.45,5.90,4.08
Cochin Shipyard,"1,377.00","1,251.75","1,326.25","1,274.65",51.60,4.05
Cochin Shipyard,"1,377.00","1,251.75","1,326.25","1,274.65",51.60,4.05
TITAGARH,"1,055.00",994.60,"1,045.55","1,006.45",39.10,3.88
SignatureGlobal,"1,274.00","1,211.00","1,257.70","1,211.35",46.35,3.83
Engineers India,223.35,213.25,222.05,214.10,7.95,3.71
Central Bank,66.50,63.25,65.80,63.45,2.35,3.7
Bank of Baroda,269.50,258.50,268.65,259.10,9.55,3.69
IEX,159.75,152.65,159.35,153.85,5.50,3.57
Gujarat Pipavav,219.35,207.35,215.65,208.40,7.25,3.48
CDSL,"2,165.00","2,056.05","2,151.00","2,080.75",70.25,3.38
Indian Bank,530.50,511.15,527.05,509.95,17.10,3.35
Canara Bank,620.95,595.10,616.85,596.95,19.90,3.33
Piramal Enter,911.30,866.50,907.95,879.05,28.90,3.29
GMR Airports,85.50,82.15,85.15,82.45,2.70,3.27
Container Corp,"1,012.00",968.20,"1,004.80",973.05,31.75,3.26
Raymond,"2,134.25","2,050.00","2,120.40","2,054.45",65.95,3.21
Century,"1,987.85","1,861.55","1,924.25","1,865.05",59.20,3.17
Alkem Lab,"4,879.00","4,697.00","4,867.65","4,720.95",146.70,3.11
Mah Seamless,918.00,879.00,905.75,878.65,27.10,3.08
Sterling Wilson,673.45,643.50,663.05,643.25,19.80,3.08
Sterlite Techno,139.15,133.55,134.90,130.95,3.95,3.02
Schneider Infra,760.00,716.00,748.70,726.85,21.85,3.01
Vijaya Diagnost,695.00,660.05,691.40,672.05,19.35,2.88
BHEL,273.90,264.10,271.60,264.05,7.55,2.86
PB Fintech,"1,274.90","1,212.35","1,262.95","1,227.80",35.15,2.86
Apollo Tyres,501.00,483.50,499.30,486.55,12.75,2.62
JSW Steel,909.40,874.35,905.80,882.70,23.10,2.62
Jindal Saw,553.00,528.00,547.80,533.80,14.00,2.62
REC,453.80,437.95,451.25,439.80,11.45,2.6
SJVN,134.40,129.45,132.95,129.70,3.25,2.51
Nestle,"2,577.90","2,471.25","2,562.65","2,500.15",62.50,2.5
Nestle,"2,577.90","2,471.25","2,562.65","2,500.15",62.50,2.5
Balkrishna Ind,"2,405.00","2,312.55","2,390.75","2,332.70",58.05,2.49
Fine Organics,"4,586.25","4,400.00","4,560.80","4,451.45",109.35,2.46
Sun TV Network,637.00,617.05,634.95,619.70,15.25,2.46
Trent,"4,347.00","4,195.70","4,323.15","4,221.75",101.40,2.4
Hero Motocorp,"4,515.00","4,366.90","4,498.30","4,393.35",104.95,2.39
Adani Enterpris,"3,120.90","3,025.65","3,115.25","3,043.55",71.70,2.36
Delhivery,468.80,443.70,459.25,448.65,10.60,2.36
Sun Pharma,"1,527.30","1,488.65","1,520.15","1,485.75",34.40,2.32
