company_name,high,low,last_price,prev_close,change,percent_gain
Rattanindia Ent,77.85,64.80,76.00,64.90,11.1,17.1
Rallis India,239.50,217.55,235.75,215.95,19.8,9.17
BEML,"2,476.95","2,276.20","2,438.65","2,272.45",166.2,7.31
SJVN,82.60,75.25,81.50,75.95,5.55,7.31
KEI Industries,"2,998.95","2,786.20","2,965.35","2,774.80",190.55,6.87
New India Assur,166.50,156.20,164.90,155.00,9.9,6.39
CreditAccess Gr,"1,745.95","1,636.05","1,732.85","1,630.35",102.5,6.29
Kalyan Jeweller,335.00,308.05,333.20,313.80,19.4,6.18
KNR Construct,299.80,282.05,298.45,281.40,17.05,6.06
PCBL,250.00,228.20,244.30,232.45,11.85,5.1
Prism Johnson,175.40,164.00,173.05,164.80,8.25,5.01
CHEMPLAST SANMA,449.65,435.20,447.00,428.35,18.65,4.35
Oberoi Realty,"1,415.40","1,363.70","1,406.60","1,349.05",57.55,4.27
RHI Magnesita,720.00,690.00,717.80,689.50,28.3,4.1
Sunteck Realty,479.00,460.50,472.30,453.80,18.5,4.08
JBM Auto,"1,322.00","1,277.00","1,309.65","1,261.10",48.55,3.85
VIP Industries,638.90,612.90,633.35,610.20,23.15,3.79
BASF,"3,178.00","2,932.10","3,052.40","2,941.55",110.85,3.77
Ashok Leyland,178.70,172.30,178.05,172.15,5.9,3.43
Zee Entertain,253.45,242.15,251.75,243.60,8.15,3.35
Fortis Health,374.20,359.05,372.40,360.55,11.85,3.29
Engineers India,149.40,141.85,146.45,141.80,4.65,3.28
Narayana Hruda,"1,314.10","1,221.05","1,260.30","1,220.45",39.85,3.27
Finolex Ind,212.45,204.00,209.60,203.10,6.5,3.2
Max Financial,989.15,949.25,979.25,949.25,30,3.16
Zensar Tech,555.55,534.05,550.75,533.95,16.8,3.15
RBL Bank,237.00,230.35,236.15,229.10,7.05,3.08
Network 18,87.50,83.30,85.50,82.95,2.55,3.07
NHPC,55.15,52.25,54.40,52.80,1.6,3.03
Latent View,487.80,460.90,463.90,450.50,13.4,2.97
Metro Brands,"1,390.90","1,330.00","1,365.15","1,325.90",39.25,2.96
KPR Mill,875.00,831.55,855.65,831.25,24.4,2.94
Adani Wilmar,327.50,314.00,319.80,310.70,9.1,2.93
Aurobindo Pharm,"1,030.50",998.75,"1,027.25",998.10,29.15,2.92
EPL,204.70,192.00,198.95,193.35,5.6,2.9
IEX,143.00,136.55,141.85,138.00,3.85,2.79
SBI Life Insura,"1,425.15","1,387.10","1,423.65","1,385.30",38.35,2.77
Welspun Corp,562.95,538.50,549.85,535.25,14.6,2.73
Galaxy Surfacta,"2,836.05","2,752.10","2,810.85","2,737.65",73.2,2.67
Star Health,568.00,548.80,564.60,550.05,14.55,2.65
Astral Ltd,"1,945.00","1,886.15","1,941.40","1,892.15",49.25,2.6
HDFC Life,672.05,654.25,667.90,652.40,15.5,2.38
JK Paper,383.40,371.15,379.45,370.80,8.65,2.33
Go Fashion,"1,253.95","1,221.05","1,250.05","1,221.65",28.4,2.32
Brigade Ent,754.95,733.45,749.05,732.60,16.45,2.25
Alkem Lab,"4,500.00","4,401.05","4,488.30","4,390.55",97.75,2.23
Amara Raja,658.80,641.00,655.05,640.75,14.3,2.23
Godrej Prop,"1,914.55","1,860.00","1,890.85","1,850.30",40.55,2.19
Vaibhav Global,438.00,420.05,427.45,418.30,9.15,2.19
Adani Enterpris,"2,232.55","2,158.35","2,196.65","2,149.85",46.8,2.18
GE Shipping,803.00,770.00,796.15,779.85,16.3,2.09
Welspun India,166.80,160.75,165.30,162.05,3.25,2.01
Chambal Fert,312.00,305.00,310.60,304.65,5.95,1.95
Tanla Platforms,943.60,912.00,924.50,906.90,17.6,1.94
Hindalco,510.95,501.90,506.85,497.30,9.55,1.92
Lupin,"1,225.95","1,198.50","1,221.55","1,198.50",23.05,1.92
RITES,487.00,472.45,478.55,469.70,8.85,1.88
Voltas,852.40,831.10,843.65,828.35,15.3,1.85
JSW Steel,779.60,765.95,775.80,761.85,13.95,1.83
UNO Minda,658.00,641.30,654.95,643.25,11.7,1.82
Havells India,"1,307.55","1,275.75","1,298.90","1,275.75",23.15,1.81
Intellect Desig,707.00,688.20,699.60,687.15,12.45,1.81
Adani Total Gas,549.00,533.10,540.55,531.05,9.5,1.79
Zydus Wellness,"1,574.00","1,540.25","1,565.70","1,538.75",26.95,1.75
Sun Pharma Adv,253.70,245.55,250.80,246.55,4.25,1.72
CESC,101.25,96.80,99.15,97.50,1.65,1.69
Tata Elxsi,"8,455.00","8,301.00","8,423.25","8,284.70",138.55,1.67
Rajesh Exports,370.90,354.05,357.80,351.95,5.85,1.66
Mastek,"2,480.00","2,414.55","2,456.25","2,416.40",39.85,1.65
CCL Products,631.80,620.00,629.75,619.70,10.05,1.62
CSB Bank,374.00,364.45,372.35,366.50,5.85,1.6
Mahindra Life,544.00,515.00,524.55,516.35,8.2,1.59
L&T Finance,142.45,139.35,141.65,139.45,2.2,1.58
Delta Corp,140.20,137.60,139.15,137.00,2.15,1.57
Laurus Labs,382.90,368.10,373.70,368.05,5.65,1.54
Tata Steel,126.40,124.95,126.25,124.35,1.9,1.53
Tata Steel,126.40,124.95,126.25,124.35,1.9,1.53
Varroc Engineer,583.50,535.10,546.65,538.45,8.2,1.52
AAVAS Financier,"1,540.05","1,471.25","1,525.95","1,503.35",22.6,1.5
CG Consumer,293.00,287.05,291.30,287.05,4.25,1.48
Gland,"1,681.00","1,635.15","1,653.30","1,629.20",24.1,1.48
L&T Technology,"4,604.75","4,535.00","4,596.50","4,530.10",66.4,1.47
Vijaya Diagnost,624.75,610.60,621.50,612.55,8.95,1.46
Devyani Int,187.70,182.80,185.30,182.65,2.65,1.45
Titan Company,"3,401.75","3,355.10","3,394.45","3,345.85",48.6,1.45
Five-Star Busin,810.90,788.85,803.60,792.25,11.35,1.43
