company_name,high,low,last_price,prev_close,change,percent_gain
Network 18,130.40,111.15,129.70,118.55,11.15,9.41
TV18 Broadcast,68.55,57.80,65.45,60.70,4.75,7.83
Rail Vikas,245.90,216.05,240.40,223.55,16.85,7.54
Cochin Shipyard,888.00,780.00,849.10,792.15,56.95,7.19
Cochin Shipyard,888.00,780.00,849.10,792.15,56.95,7.19
ICICI Lombard ,"1,476.00","1,410.05","1,454.45","1,374.20",80.25,5.84
Welspun Corp,575.00,532.05,570.35,540.95,29.4,5.43
Avanti Feeds,568.00,515.10,554.45,526.95,27.5,5.22
IRFC,150.70,133.05,149.10,141.85,7.25,5.11
Vaibhav Global,460.90,418.25,450.75,429.00,21.75,5.07
HUDCO,140.40,127.05,137.75,131.55,6.2,4.71
Endurance Techn,"2,088.00","1,914.85","2,042.10","1,952.35",89.75,4.6
L&T Technology,"5,565.00","5,374.00","5,540.05","5,349.80",190.25,3.56
Oracle Fin Serv,"5,109.90","4,822.55","5,086.20","4,912.90",173.3,3.53
Capri Global,"1,049.00",982.00,988.50,958.00,30.5,3.18
JBM Auto,"1,967.95","1,826.00","1,915.70","1,857.95",57.75,3.11
Global Health,"1,049.35","1,000.00","1,029.90","1,000.85",29.05,2.9
KEI Industries,"3,164.00","3,020.00","3,149.95","3,062.75",87.2,2.85
Aster DM Health,439.50,427.50,437.20,425.15,12.05,2.83
Data Patterns,"1,980.00","1,881.70","1,976.15","1,923.80",52.35,2.72
Mazagon Dock,"2,420.00","2,281.10","2,389.10","2,326.00",63.1,2.71
CG Power ,474.80,447.75,463.10,452.40,10.7,2.37
Birlasoft,806.00,765.00,798.45,780.65,17.8,2.28
Polycab,"4,490.00","4,328.10","4,439.30","4,340.80",98.5,2.27
PNC Infratech,417.95,409.95,413.85,405.15,8.7,2.15
Infibeam Avenue,27.10,25.40,26.70,26.15,0.55,2.1
NLC India,234.45,222.30,231.75,227.15,4.6,2.03
BHEL,213.20,200.20,207.10,203.00,4.1,2.02
Max Healthcare,742.50,705.00,731.85,718.20,13.65,1.9
Indiabulls Real,100.30,93.40,96.95,95.25,1.7,1.78
SJVN,104.85,96.60,101.40,99.85,1.55,1.55
RITES,539.50,511.20,531.05,523.15,7.9,1.51
BLS Internation,394.50,376.65,393.10,387.35,5.75,1.48
JSW Energy,474.30,451.65,472.10,465.60,6.5,1.4
Sanofi India,"8,368.00","8,204.65","8,354.20","8,240.45",113.75,1.38
Motilal Oswal,"1,527.00","1,455.20","1,505.40","1,485.15",20.25,1.36
Mastek,"2,989.00","2,839.55","2,932.25","2,893.55",38.7,1.34
HCL Tech,"1,585.00","1,516.55","1,575.90","1,555.45",20.45,1.31
L&T Finance,170.90,164.00,169.70,167.50,2.2,1.31
Persistent,"7,745.00","7,525.00","7,712.40","7,619.40",93,1.22
Jubilant Pharmo,572.00,552.15,568.70,562.00,6.7,1.19
G R Infra,"1,162.00","1,118.00","1,151.85","1,139.40",12.45,1.09
Prism Johnson,185.05,176.25,183.85,181.90,1.95,1.07
IIFL Finance,662.80,634.00,650.45,643.85,6.6,1.03
Blue Star,"1,070.00","1,035.00","1,061.75","1,051.20",10.55,1
Can Fin Homes,766.10,749.00,764.10,756.60,7.5,0.99
Max Financial,947.25,914.00,927.95,918.85,9.1,0.99
Graphite India,569.30,542.00,556.90,551.55,5.35,0.97
Gland,"1,963.45","1,910.00","1,953.90","1,935.35",18.55,0.96
Home First,978.05,943.65,965.00,956.05,8.95,0.94
Jyothy Labs,532.70,498.00,503.95,499.25,4.7,0.94
Sundram,"1,275.00","1,237.00","1,267.70","1,255.85",11.85,0.94
Torrent Pharma,"2,482.95","2,416.55","2,472.20","2,449.70",22.5,0.92
MphasiS,"2,643.30","2,549.95","2,627.00","2,603.50",23.5,0.9
IFB Industries,"1,009.00",987.80,"1,000.00",991.05,8.95,0.9
NHPC,74.40,70.15,73.00,72.35,0.65,0.9
CenturyPlyboard,792.80,758.25,785.15,778.25,6.9,0.89
Lupin,"1,407.00","1,379.25","1,399.80","1,387.65",12.15,0.88
SBI Life Insura,"1,444.95","1,386.55","1,421.15","1,408.80",12.35,0.88
V-Mart Retail,"2,117.00","2,050.00","2,097.35","2,079.50",17.85,0.86
CRISIL,"4,109.00","4,009.55","4,102.25","4,067.95",34.3,0.84
KPR Mill,798.25,774.45,793.40,787.25,6.15,0.78
GlaxoSmithKline,"2,334.00","2,240.65","2,270.30","2,253.05",17.25,0.77
Metropolis,"1,572.00","1,512.15","1,567.30","1,555.75",11.55,0.74
Medplus Health,747.45,731.75,744.05,738.60,5.45,0.74
Chalet Hotels,730.55,710.00,724.35,719.15,5.2,0.72
FDC,424.00,407.45,418.30,415.30,3,0.72
Anupam Rasayan,948.15,925.20,941.15,934.85,6.3,0.67
Godrej Prop,"2,327.35","2,274.05","2,318.90","2,304.15",14.75,0.64
LTIMindtree,"6,324.00","6,150.00","6,275.60","6,235.90",39.7,0.64
TTK Prestige,797.80,771.55,787.85,782.95,4.9,0.63
Aegis Logistics,374.80,368.00,370.45,368.20,2.25,0.61
TCS,"3,909.95","3,812.55","3,884.60","3,861.30",23.3,0.6
Tejas Networks,859.60,836.50,854.40,849.45,4.95,0.58
Aether Ind,881.90,859.95,876.40,871.65,4.75,0.54
Dr Lal PathLab,"2,441.80","2,403.00","2,437.50","2,424.35",13.15,0.54
Infosys,"1,647.50","1,620.25","1,640.20","1,631.55",8.65,0.53
Vijaya Diagnost,676.00,652.20,673.30,669.75,3.55,0.53
Zensar Tech,579.90,560.90,575.70,572.95,2.75,0.48
Tech Mahindra,"1,334.50","1,305.25","1,326.75","1,320.40",6.35,0.48
COFORGE LTD.,"6,662.00","6,482.00","6,626.95","6,597.00",29.95,0.45
ZFCVINDIA,"16,726.05","16,272.55","16,661.40","16,588.20",73.2,0.44
Intellect Desig,865.55,843.00,857.50,853.80,3.7,0.43
Zydus Life,711.00,698.80,709.70,706.85,2.85,0.4
Finolex Cables,"1,065.00","1,044.00","1,057.20","1,053.10",4.1,0.39
Timken,"3,404.00","3,307.00","3,392.20","3,379.05",13.15,0.39
Dixon Technolog,"6,398.00","6,219.50","6,367.70","6,343.60",24.1,0.38
Fortis Health,421.50,413.70,418.75,417.15,1.6,0.38
Apollo Hospital,"5,980.35","5,831.25","5,925.90","5,904.55",21.35,0.36
