company_name,high,low,last_price,prev_close,change,percent_gain
TataTeleservice,82.86,69.58,80.59,69.05,11.54,16.71
Capri Global,214.40,192.99,211.57,194.68,16.89,8.68
Capri Global,214.40,192.99,211.57,194.68,16.89,8.68
Sonata,607.60,551.00,597.95,552.60,45.35,8.21
Piramal Enter,"1,206.85","1,111.50","1,198.15","1,107.75",90.4,8.16
Vodafone Idea,8.28,7.45,7.52,6.97,0.55,7.89
Triveni Turbine,885.00,763.10,823.95,764.15,59.8,7.83
Caplin Labs,"2,139.00","1,977.55","2,113.95","1,976.55",137.4,6.95
Garden Reach Sh,"1,579.00","1,438.35","1,539.80","1,443.05",96.75,6.7
Shree Renuka,42.99,39.90,42.42,39.96,2.46,6.16
Hitachi Energy,"12,825.00","12,245.00","12,337.20","11,660.20",677,5.81
C. E. Info Syst,"1,754.00","1,643.35","1,738.40","1,649.45",88.95,5.39
Balrampur Chini,568.30,532.85,563.40,536.10,27.3,5.09
PNC Infratech,304.80,286.20,300.30,285.85,14.45,5.06
Yes Bank,20.63,19.20,20.14,19.18,0.96,5.01
Cochin Shipyard,"1,432.45","1,375.00","1,432.45","1,364.25",68.2,5
Cochin Shipyard,"1,432.45","1,375.00","1,432.45","1,364.25",68.2,5
New India Assur,192.59,184.55,189.23,180.40,8.83,4.89
Biocon,355.45,336.05,352.65,336.35,16.3,4.85
KFin Tech,"1,174.75","1,105.00","1,157.00","1,103.65",53.35,4.83
Emcure Pharmace,"1,443.25","1,345.00","1,374.20","1,312.05",62.15,4.74
CreditAccess Gr,983.65,930.35,973.15,929.45,43.7,4.7
Jubilant Ing.,747.70,701.00,742.95,710.35,32.6,4.59
Sun Pharma Adv,215.28,201.74,211.43,202.20,9.23,4.56
CAMS,"4,781.70","4,568.95","4,751.60","4,544.95",206.65,4.55
PCBL,415.00,393.05,411.35,394.40,16.95,4.3
Thermax,"4,670.00","4,448.55","4,633.95","4,448.55",185.4,4.17
Colgate,"2,965.45","2,835.00","2,952.60","2,834.55",118.05,4.16
Birlasoft,597.85,570.00,592.40,569.10,23.3,4.09
Macrotech Dev,"1,309.55","1,245.15","1,276.05","1,227.25",48.8,3.98
Angel One,"2,938.00","2,775.10","2,909.20","2,799.05",110.15,3.94
Kansai Nerolac,277.45,265.15,275.30,264.95,10.35,3.91
Bharat Dynamics,"1,039.75",993.00,"1,032.10",994.15,37.95,3.82
Bharat Dynamics,"1,039.75",993.00,"1,032.10",994.15,37.95,3.82
Route,"1,467.00","1,411.50","1,461.35","1,407.80",53.55,3.8
Manappuram Fin,156.06,150.67,155.52,150.16,5.36,3.57
Granules India,599.70,574.60,595.30,575.05,20.25,3.52
Redington,198.75,191.00,197.96,191.23,6.73,3.52
Westlife Food,751.30,708.45,742.35,717.35,25,3.49
Jubilant Pharmo,"1,159.95","1,100.10","1,150.05","1,111.80",38.25,3.44
Karur Vysya,231.06,221.66,230.04,222.45,7.59,3.41
Marico,633.00,608.05,628.35,607.80,20.55,3.38
Bata India,"1,399.00","1,322.40","1,365.95","1,321.50",44.45,3.36
Shriram Finance,"3,079.30","2,949.00","3,046.35","2,947.80",98.55,3.34
Birla Corp,"1,162.00","1,109.00","1,146.80","1,109.90",36.9,3.32
Vardhman Text,471.90,453.50,470.35,455.30,15.05,3.31
Swan Energy,632.00,593.05,616.70,597.10,19.6,3.28
Apollo Tyres,521.35,504.35,519.95,503.80,16.15,3.21
Linde India,"6,809.00","6,588.35","6,789.00","6,581.25",207.75,3.16
SKF India,"4,998.00","4,773.70","4,954.45","4,804.80",149.65,3.11
City Union Bank,179.60,173.23,179.19,173.80,5.39,3.1
Aarti Ind,452.40,438.20,451.35,437.90,13.45,3.07
Chennai Petro,617.50,588.75,609.45,591.30,18.15,3.07
HBL Power,580.80,562.00,578.95,562.00,16.95,3.02
Aditya Birla F,308.45,300.00,307.45,298.65,8.8,2.95
Cera Sanitary,"7,270.00","7,045.05","7,239.25","7,038.60",200.65,2.85
Zensar Tech,752.00,725.55,747.85,727.30,20.55,2.83
RHI Magnesita,536.00,513.20,532.15,517.80,14.35,2.77
Triveni Engg,395.00,378.15,393.20,382.60,10.6,2.77
Solar Ind,"10,285.00","10,047.75","10,233.30","9,961.95",271.35,2.72
Laurus Labs,548.95,529.00,546.25,532.05,14.2,2.67
Tanla Platforms,708.95,689.25,705.85,687.80,18.05,2.62
CIEINDIA,477.75,465.00,476.20,464.55,11.65,2.51
Zomato,281.14,272.61,280.11,273.31,6.8,2.49
PB Fintech,"1,865.00","1,784.05","1,850.80","1,806.30",44.5,2.46
Tejas Networks,"1,348.70","1,303.30","1,332.70","1,300.90",31.8,2.44
Jindal Stainles,691.60,664.85,688.70,672.35,16.35,2.43
Alok Industries,21.16,20.47,21.03,20.54,0.49,2.39
Fert and Chem,867.50,837.00,854.00,834.05,19.95,2.39
Berger Paints,489.60,478.45,486.95,475.90,11.05,2.32
Britannia,"5,030.30","4,892.95","5,013.60","4,903.95",109.65,2.24
Jubilant Food,653.70,634.40,646.90,632.75,14.15,2.24
GlaxoSmithKline,"2,424.90","2,307.00","2,393.65","2,341.65",52,2.22
Varun Beverages,620.60,606.95,614.25,601.10,13.15,2.19
Varun Beverages,620.60,606.95,614.25,601.10,13.15,2.19
Varun Beverages,620.60,606.95,614.25,601.10,13.15,2.19
CDSL,"1,592.00","1,553.20","1,587.60","1,554.55",33.05,2.13
eClerx Services,"3,418.45","3,340.00","3,378.50","3,309.20",69.3,2.09
Saregama India,499.60,470.00,484.00,474.10,9.9,2.09
Glenmark,"1,533.00","1,491.10","1,521.45","1,490.40",31.05,2.08
KNR Construct,323.00,312.50,321.25,314.70,6.55,2.08
Newgen Software,"1,158.00","1,120.00","1,142.95","1,119.80",23.15,2.07
Chola Invest.,"1,280.55","1,232.85","1,265.45","1,239.90",25.55,2.06
Elgi Equipments,673.90,630.80,653.65,640.75,12.9,2.01
Shyam Metalics,840.80,811.00,838.10,821.75,16.35,1.99
Data Patterns,"2,408.00","2,313.00","2,357.60","2,312.15",45.45,1.97
Castrol,198.40,193.81,196.89,193.10,3.79,1.96
Gujarat Gas,476.45,464.90,475.35,466.20,9.15,1.96
MMTC Ltd,78.83,76.56,77.89,76.42,1.47,1.92
Bharat Elec,301.00,293.15,297.90,292.35,5.55,1.9
BEML,"4,118.15","3,930.05","4,015.25","3,940.65",74.6,1.89
Metropolis,"2,165.25","2,102.95","2,157.95","2,118.10",39.85,1.88
Lemon Tree,128.25,125.40,128.01,125.67,2.34,1.86
Asian Paints,"2,518.00","2,457.60","2,505.00","2,459.70",45.3,1.84
KPIT Tech,"1,419.95","1,366.35","1,391.35","1,366.20",25.15,1.84
LTIMindtree,"6,264.40","6,123.75","6,227.15","6,115.25",111.9,1.83
Infosys,"1,938.60","1,897.30","1,924.15","1,889.70",34.45,1.82
Voltas,"1,685.05","1,642.40","1,674.10","1,644.25",29.85,1.82
Guj State Petro,346.50,340.00,345.70,339.60,6.1,1.8
Metro Brands,"1,203.20","1,169.25","1,198.15","1,177.05",21.1,1.79
BLS Internation,398.60,386.95,394.55,387.65,6.9,1.78
Himadri Special,507.20,487.35,498.75,490.05,8.7,1.78
Jindal Steel,898.60,870.95,892.80,877.25,15.55,1.77
Zee Entertain,122.44,118.60,120.58,118.48,2.1,1.77
Godrej Consumer,"1,246.60","1,219.00","1,240.10","1,218.70",21.4,1.76
CenturyPlyboard,729.45,709.45,726.25,713.80,12.45,1.74
Hindustan Aeron,"4,408.35","4,301.05","4,364.55","4,289.95",74.6,1.74
Hindustan Aeron,"4,408.35","4,301.05","4,364.55","4,289.95",74.6,1.74
Apar Ind,"9,860.00","9,530.00","9,727.55","9,561.90",165.65,1.73
Syngene Intl,914.40,890.50,910.60,895.30,15.3,1.71
CRISIL,"5,467.90","5,301.00","5,372.40","5,282.60",89.8,1.7
Ujjivan Small,34.35,32.96,33.46,32.90,0.56,1.7
APL Apollo,"1,519.00","1,461.00","1,482.00","1,457.30",24.7,1.69
United Spirits,"1,528.75","1,466.90","1,511.15","1,486.10",25.05,1.69
Nippon,708.00,691.30,705.85,694.15,11.7,1.69
Guj Amb Exports,123.84,121.00,123.45,121.43,2.02,1.66
JK Tyre & Ind,372.45,365.65,370.95,364.90,6.05,1.66
Oberoi Realty,"2,004.75","1,925.55","1,979.25","1,946.85",32.4,1.66
Chola Fin Hold,"1,548.75","1,498.70","1,532.55","1,507.65",24.9,1.65
Bikaji Foods,785.00,763.10,781.95,769.30,12.65,1.64
Bank of Mah,55.50,54.20,55.17,54.28,0.89,1.64
JK Lakshmi Cem,777.70,761.20,775.75,763.40,12.35,1.62
Polycab,"6,885.00","6,740.00","6,872.65","6,766.15",106.5,1.57
SAIL,116.44,113.88,115.83,114.09,1.74,1.53
Kaynes Tech,"6,145.00","5,896.05","5,985.65","5,895.85",89.8,1.52
Jyoti CNC Auto,"1,251.00","1,195.40","1,239.30","1,221.00",18.3,1.5
Aadhar Housing ,409.70,400.05,406.20,400.25,5.95,1.49
Whirlpool,"1,827.70","1,764.15","1,816.20","1,789.45",26.75,1.49
GNFC,594.45,582.80,593.05,584.40,8.65,1.48
KPR Mill,967.80,930.50,954.20,940.45,13.75,1.46
GSFC,203.49,198.55,201.91,199.05,2.86,1.44
Max Healthcare,"1,012.00",975.05,985.75,971.75,14,1.44
Mazagon Dock,"4,445.65","4,156.70","4,234.15","4,175.60",58.55,1.4
NMDC Steel,45.15,44.24,44.87,44.26,0.61,1.38
Union Bank,121.65,119.36,121.40,119.79,1.61,1.34
Sapphire Foods,319.75,308.60,316.75,312.60,4.15,1.33
Sapphire Foods,319.75,308.60,316.75,312.60,4.15,1.33
Sundram,"1,157.80","1,135.15","1,147.25","1,132.45",14.8,1.31
KPIL,"1,146.45","1,118.00","1,134.25","1,119.65",14.6,1.3
GE Shipping,"1,119.40","1,100.00","1,111.60","1,097.65",13.95,1.27
KEI Industries,"4,085.85","3,950.00","4,071.40","4,021.00",50.4,1.25
Tata Chemicals,"1,102.00","1,082.35","1,095.30","1,081.95",13.35,1.23
Cyient,"1,912.25","1,850.05","1,868.70","1,846.60",22.1,1.2
Astral Ltd,"1,819.90","1,784.35","1,803.20","1,782.70",20.5,1.15
BHEL,247.60,243.10,243.97,241.22,2.75,1.14
Wipro,590.35,579.30,589.00,582.45,6.55,1.12
Welspun Corp,770.40,741.55,755.45,747.05,8.4,1.12
Gujarat Pipavav,183.65,178.00,181.50,179.51,1.99,1.11
JSW Infra,311.00,303.00,307.30,304.00,3.3,1.09
JSW Steel,966.80,950.60,963.60,953.30,10.3,1.08
INDUS TOWERS,355.85,339.65,340.95,337.35,3.6,1.07
Indiamart Inter,"2,355.65","2,309.70","2,334.15","2,309.40",24.75,1.07
Avenue Supermar,"3,681.00","3,622.00","3,659.15","3,621.05",38.1,1.05
Vedanta,453.20,443.05,448.40,443.80,4.6,1.04
IRB Infra,52.20,50.65,51.67,51.15,0.52,1.02
IRB Infra,52.20,50.65,51.67,51.15,0.52,1.02
Muthoot Finance,"1,975.00","1,922.35","1,951.80","1,932.30",19.5,1.01
Tube Investment,"3,524.75","3,415.00","3,429.20","3,395.30",33.9,1
General Insuran,403.30,392.10,398.25,394.35,3.9,0.99
HFCL,129.44,126.70,128.23,126.97,1.26,0.99
Poonawalla Fin,367.00,359.80,363.60,360.05,3.55,0.99
Sobha,"1,655.95","1,606.00","1,621.65","1,605.80",15.85,0.99
Godawari Power,187.90,184.99,187.34,185.52,1.82,0.98
Godawari Power,187.90,184.99,187.34,185.52,1.82,0.98
ABB India,"7,390.00","7,250.45","7,329.70","7,259.85",69.85,0.96
ICICI Lombard ,"1,872.15","1,834.75","1,854.45","1,836.90",17.55,0.96
PNB,105.45,104.11,105.11,104.11,1,0.96
Hindalco,670.25,659.25,666.10,659.85,6.25,0.95
Avanti Feeds,591.95,579.55,584.15,579.05,5.1,0.88
Deepak Fert,"1,348.00","1,297.00","1,306.15","1,294.90",11.25,0.87
Jio Financial,326.90,320.10,326.05,323.25,2.8,0.87
Pidilite Ind,"3,028.85","2,990.15","3,012.05","2,986.20",25.85,0.87
Persistent,"6,011.75","5,921.30","5,968.95","5,917.70",51.25,0.87
Persistent,"6,011.75","5,921.30","5,968.95","5,917.70",51.25,0.87
TCS,"4,366.60","4,310.00","4,352.70","4,315.10",37.6,0.87
Motherson SWI,62.73,62.16,62.57,62.04,0.53,0.85
TATA Cons. Prod,967.45,951.95,963.55,955.70,7.85,0.82
Canara Bank,102.57,100.60,101.79,100.98,0.81,0.8
Canara Bank,102.57,100.60,101.79,100.98,0.81,0.8
CCL Products,759.90,742.00,753.60,747.65,5.95,0.8
Rattanindia Ent,63.28,62.33,62.90,62.41,0.49,0.79
V-Guard Ind,418.70,410.50,415.50,412.30,3.2,0.78
SBI Life Insura,"1,516.90","1,489.25","1,506.75","1,495.20",11.55,0.77
CG Consumer,410.00,404.45,408.55,405.45,3.1,0.76
IDFC First Bank,65.36,64.40,65.14,64.65,0.49,0.76
Shipping Corp,231.70,221.01,224.75,223.06,1.69,0.76
Bank of India,107.97,106.60,107.79,107.00,0.79,0.74
Dabur India,529.90,519.40,525.35,521.50,3.85,0.74
JBM Auto,"1,498.95","1,471.45","1,488.55","1,477.55",11,0.74
Tech Mahindra,"1,762.00","1,731.05","1,745.40","1,732.60",12.8,0.74
HINDPETRO,389.70,378.00,379.60,376.85,2.75,0.73
Radico Khaitan,"2,408.00","2,341.90","2,358.25","2,341.70",16.55,0.71
Max Financial,"1,182.15","1,159.25","1,177.90","1,169.80",8.1,0.69
Deepak Nitrite,"2,727.75","2,695.40","2,714.90","2,696.45",18.45,0.68
KSB Pumps,838.70,820.10,834.15,828.50,5.65,0.68
KSB Pumps,838.70,820.10,834.15,828.50,5.65,0.68
MOTHERSON,166.95,164.25,166.32,165.20,1.12,0.68
Reliance,"1,297.85","1,284.20","1,295.70","1,287.00",8.7,0.68
Inox India,"1,146.65","1,126.60","1,138.05","1,130.45",7.6,0.67
Narayana Hruda,"1,276.90","1,250.55","1,264.10","1,255.70",8.4,0.67
Ceat,"2,979.90","2,906.00","2,932.85","2,913.60",19.25,0.66
IDBI Bank,82.75,80.80,81.83,81.30,0.53,0.65
Rainbow Child,"1,709.60","1,628.15","1,644.45","1,633.85",10.6,0.65
Affle India,"1,602.80","1,569.55","1,590.80","1,580.75",10.05,0.64
Info Edge,"8,338.00","8,151.00","8,247.55","8,195.30",52.25,0.64
CHEMPLAST SANMA,503.00,494.00,498.45,495.40,3.05,0.62
Balkrishna Ind,"2,795.00","2,746.50","2,762.45","2,745.75",16.7,0.61
IndusInd Bank,"1,017.70",998.10,"1,009.60","1,003.50",6.1,0.61
Navin Fluorine,"3,466.20","3,402.05","3,451.90","3,430.95",20.95,0.61
SBI Card,707.80,691.85,699.00,694.75,4.25,0.61
Cello World,759.95,745.10,755.25,750.75,4.5,0.6
Power Finance,492.30,482.20,484.40,481.50,2.9,0.6
Equitas Bank,63.54,62.50,62.92,62.56,0.36,0.58
Ircon Internati,198.68,195.11,197.59,196.45,1.14,0.58
Ircon Internati,198.68,195.11,197.59,196.45,1.14,0.58
L&T Technology,"5,548.00","5,459.20","5,489.70","5,458.15",31.55,0.58
MphasiS,"3,021.10","2,931.05","2,999.10","2,982.40",16.7,0.56
Titan Company,"3,343.75","3,295.70","3,327.50","3,309.10",18.4,0.56
Tata Steel,145.80,143.58,144.47,143.67,0.8,0.56
Tata Steel,145.80,143.58,144.47,143.67,0.8,0.56
Quess Corp,671.95,645.40,651.60,648.05,3.55,0.55
Happiest Minds ,734.00,724.00,727.05,723.15,3.9,0.54
Concord Biotech,"2,100.85","2,011.80","2,072.70","2,061.80",10.9,0.53
Firstsource Sol,368.95,356.55,358.30,356.40,1.9,0.53
Engineers India,185.90,182.50,184.01,183.06,0.95,0.52
ICICI Prudentia,697.95,685.65,691.25,687.65,3.6,0.52
Alembic Pharma,"1,114.95","1,075.25","1,098.70","1,093.20",5.5,0.5
Motilal Oswal,917.70,886.05,912.05,907.50,4.55,0.5
Sona BLW,690.40,672.30,675.85,672.50,3.35,0.5
SRF,"2,252.30","2,223.60","2,234.65","2,223.55",11.1,0.5
DLF,833.75,820.00,827.35,823.30,4.05,0.49
Alkyl Amines,"1,962.85","1,924.35","1,943.30","1,934.20",9.1,0.47
Kirloskar Bros,"2,269.20","2,200.05","2,228.40","2,218.05",10.35,0.47
Action Const,"1,276.00","1,252.05","1,260.85","1,255.40",5.45,0.43
HCL Tech,"1,914.95","1,889.15","1,899.55","1,891.70",7.85,0.41
IOC,137.75,136.14,136.96,136.40,0.56,0.41
Krishna Inst.,604.00,595.00,599.10,596.70,2.4,0.4
Krishna Inst.,604.00,595.00,599.10,596.70,2.4,0.4
AB Capital,192.58,190.23,191.24,190.50,0.74,0.39
India Cements,362.75,358.05,359.70,358.30,1.4,0.39
Nestle,"2,287.95","2,250.50","2,265.25","2,256.95",8.3,0.37
Nestle,"2,287.95","2,250.50","2,265.25","2,256.95",8.3,0.37
AIA Engineering,"3,505.20","3,466.00","3,490.20","3,477.60",12.6,0.36
Federal Bank,214.00,210.60,213.64,212.88,0.76,0.36
ICICI Securitie,882.20,869.80,876.20,873.05,3.15,0.36
Jindal Saw,314.90,303.75,306.50,305.40,1.1,0.36
Jindal Saw,314.90,303.75,306.50,305.40,1.1,0.36
IRCTC,822.00,812.00,814.95,812.10,2.85,0.35
Praj Industries,828.35,789.00,802.85,800.05,2.8,0.35
Campus Active,274.35,266.40,268.75,267.90,0.85,0.32
Schaeffler Ind,"3,490.40","3,364.30","3,409.95","3,399.15",10.8,0.32
Bayer CropScien,"5,889.25","5,788.05","5,804.70","5,786.30",18.4,0.32
United Brewerie,"1,920.95","1,883.30","1,903.25","1,897.15",6.1,0.32
HUL,"2,494.95","2,460.40","2,479.20","2,471.45",7.75,0.31
ICICI Bank,"1,314.25","1,302.45","1,304.95","1,300.95",4,0.31
Varroc Engineer,517.60,510.95,514.10,512.50,1.6,0.31
Latent View,448.90,442.05,445.75,444.40,1.35,0.3
Asahi India,666.35,657.35,663.65,661.70,1.95,0.29
Rashtriya Chem,164.21,160.55,161.29,160.82,0.47,0.29
AAVAS Financier,"1,665.00","1,651.00","1,657.60","1,653.00",4.6,0.28
Carborundum,"1,434.00","1,401.00","1,409.50","1,405.60",3.9,0.28
IRFC,147.50,145.05,146.69,146.31,0.38,0.26
Jaiprakash Pow,16.39,16.10,16.25,16.21,0.04,0.25
Indian Renew,192.60,189.26,190.43,189.97,0.46,0.24
LIC India,919.80,900.00,907.20,905.05,2.15,0.24
Graphite India,485.60,477.05,480.90,479.80,1.1,0.23
Clean Science,"1,310.80","1,288.05","1,292.15","1,289.25",2.9,0.22
Dr Lal PathLab,"3,143.60","3,086.20","3,097.95","3,091.10",6.85,0.22
Godfrey Phillip,"5,840.00","5,742.70","5,771.60","5,758.90",12.7,0.22
Godrej Ind,"1,069.80","1,043.00","1,057.60","1,055.30",2.3,0.22
Hind Copper,281.90,275.05,279.40,278.80,0.6,0.22
Vijaya Diagnost,"1,198.95","1,145.35","1,157.50","1,154.95",2.55,0.22
Bharat Forge,"1,333.60","1,315.25","1,322.15","1,319.55",2.6,0.2
Endurance Techn,"2,415.00","2,364.60","2,404.50","2,399.95",4.55,0.19
Havells India,"1,726.95","1,686.90","1,711.20","1,708.15",3.05,0.18
Eris Life,"1,496.70","1,464.90","1,476.30","1,473.75",2.55,0.17
GMR Airports,81.10,79.33,80.19,80.05,0.14,0.17
G R Infra,"1,627.45","1,586.10","1,595.40","1,592.65",2.75,0.17
Trident,32.16,31.83,31.97,31.92,0.05,0.16
Bank of Baroda,250.00,245.40,247.50,247.10,0.4,0.16
Global Health,"1,117.95","1,095.10","1,102.20","1,100.55",1.65,0.15
Aster DM Health,441.80,435.60,439.85,439.30,0.55,0.13
Chambal Fert,485.50,476.70,479.80,479.20,0.6,0.13
REC,525.15,513.00,520.05,519.40,0.65,0.13
Honeywell Autom,"41,784.65","41,306.40","41,461.15","41,413.00",48.15,0.12
Alkem Lab,"5,538.85","5,433.00","5,484.40","5,478.30",6.1,0.11
