company_name,high,low,last_price,prev_close,change,percent_gain
Aarti Drugs,612.45,555.00,605.50,510.55,94.95,18.6
SJVN,59.75,53.10,57.10,50.15,6.95,13.86
RITES,502.00,457.10,485.90,454.70,31.2,6.86
REC,175.65,162.35,172.95,161.85,11.1,6.86
Can Fin Homes,896.40,847.90,889.95,837.65,52.3,6.24
NHPC,51.30,47.40,49.90,47.00,2.9,6.17
PNB Housing Fin,696.60,651.00,689.30,650.20,39.1,6.01
Power Finance,244.00,229.15,239.75,227.00,12.75,5.62
KPIT Tech,"1,082.00",961.00,"1,056.80","1,000.90",55.9,5.58
BEML,"1,795.00","1,690.05","1,772.55","1,682.90",89.65,5.33
GMR Airports,46.75,44.60,46.50,44.20,2.3,5.2
Mazagon Dock,"1,957.80","1,868.05","1,955.00","1,864.60",90.4,4.85
Craftsman,"4,963.00","4,521.55","4,756.00","4,539.15",216.85,4.78
Engineers India,142.40,135.60,141.45,135.00,6.45,4.78
Glenmark,794.00,754.00,788.30,753.15,35.15,4.67
CreditAccess Gr,"1,426.95","1,340.55","1,373.00","1,313.50",59.5,4.53
Triveni Engg,325.90,313.00,317.35,304.10,13.25,4.36
Supreme Ind,"3,717.95","3,461.70","3,638.10","3,493.50",144.6,4.14
BHEL,98.70,94.80,98.05,94.50,3.55,3.76
HUDCO,64.40,60.45,62.60,60.35,2.25,3.73
New India Assur,126.40,119.45,123.35,118.95,4.4,3.7
Aegis Logistics,381.75,357.40,368.05,355.65,12.4,3.49
ICICI Prudentia,573.00,551.30,570.20,551.05,19.15,3.48
Greenpanel Ind,367.00,356.35,362.15,350.05,12.1,3.46
Apar Ind,"3,838.00","3,671.90","3,812.30","3,693.60",118.7,3.21
Colgate,"1,898.35","1,825.20","1,888.60","1,832.90",55.7,3.04
Ingersoll Rand,"2,883.50","2,773.00","2,857.60","2,774.50",83.1,3
Relaxo Footwear,959.40,912.30,948.50,921.70,26.8,2.91
M&M Financial,322.00,312.75,321.25,312.55,8.7,2.78
Sun TV Network,544.80,521.00,541.30,526.75,14.55,2.76
Home First,845.00,811.40,834.20,812.25,21.95,2.7
KRBL,390.00,377.85,379.90,370.00,9.9,2.68
Dr Lal PathLab,"2,364.95","2,287.05","2,346.35","2,286.90",59.45,2.6
KEC Intl,639.00,618.80,637.15,621.05,16.1,2.59
Schaeffler Ind,"3,194.05","3,118.95","3,171.95","3,092.45",79.5,2.57
RUSTOMJEE,608.00,591.25,606.45,591.25,15.2,2.57
TMB,444.00,432.15,439.80,429.20,10.6,2.47
Polycab,"4,770.00","4,586.80","4,698.45","4,586.80",111.65,2.43
EID Parry,487.50,472.00,480.70,469.80,10.9,2.32
ABB India,"4,350.00","4,250.00","4,322.05","4,225.80",96.25,2.28
Siemens,"3,711.60","3,605.05","3,694.90","3,613.95",80.95,2.24
Finolex Cables,"1,038.00",980.20,"1,025.55","1,003.15",22.4,2.23
General Insuran,209.95,195.60,198.45,194.15,4.3,2.21
Varun Beverages,818.50,784.90,817.70,800.20,17.5,2.19
Varun Beverages,818.50,784.90,817.70,800.20,17.5,2.19
Alkem Lab,"3,794.90","3,693.65","3,781.80","3,700.95",80.85,2.18
Shyam Metalics,399.00,383.05,395.05,386.65,8.4,2.17
Macrotech Dev,734.45,702.15,721.40,706.15,15.25,2.16
ACC,"1,816.00","1,773.60","1,804.60","1,766.70",37.9,2.15
MCX India,"1,696.95","1,611.05","1,656.35","1,621.45",34.9,2.15
Page Industries,"37,955.00","36,547.30","37,457.50","36,669.20",788.3,2.15
KEI Industries,"2,654.50","2,563.65","2,623.00","2,568.75",54.25,2.11
Tata Comm,"1,631.15","1,566.50","1,623.60","1,590.40",33.2,2.09
Bombay Burmah,"1,130.00","1,101.15","1,122.35","1,099.45",22.9,2.08
SBI Life Insura,"1,324.40","1,287.90","1,317.15","1,290.70",26.45,2.05
BASF,"2,678.00","2,577.05","2,664.30","2,610.95",53.35,2.04
Suzlon Energy,20.55,19.20,20.00,19.60,0.4,2.04
Cochin Shipyard,687.00,663.85,680.70,667.20,13.5,2.02
IndusInd Bank,"1,439.40","1,405.30","1,435.70","1,407.35",28.35,2.01
Indian Bank,336.90,328.65,335.90,329.40,6.5,1.97
Dr Reddys Labs,"5,436.85","5,278.25","5,391.70","5,288.20",103.5,1.96
TML - D,359.30,350.80,357.90,351.20,6.7,1.91
TML - D,359.30,350.80,357.90,351.20,6.7,1.91
FDC,343.95,333.50,341.55,335.25,6.3,1.88
AAVAS Financier,"1,621.80","1,577.10","1,603.50","1,574.60",28.9,1.84
COFORGE LTD.,"4,748.00","4,642.60","4,725.70","4,640.30",85.4,1.84
Go Fashion,"1,179.60","1,146.15","1,167.35","1,146.50",20.85,1.82
KPIL,577.40,564.35,575.15,564.95,10.2,1.81
Guj State Petro,291.95,286.05,290.30,285.20,5.1,1.79
Bikaji Foods,479.50,465.50,470.95,462.70,8.25,1.78
CAMS,"2,364.95","2,295.00","2,335.90","2,295.30",40.6,1.77
L&T Finance,132.80,128.10,131.70,129.45,2.25,1.74
Suprajit Eng,439.50,426.00,436.15,428.70,7.45,1.74
GE Shipping,794.95,766.00,777.60,764.45,13.15,1.72
AB Capital,189.70,185.25,188.85,185.80,3.05,1.64
RHI Magnesita,625.00,608.20,621.05,611.05,10,1.64
Ambuja Cements,428.80,415.45,422.75,416.10,6.65,1.6
Prism Johnson,125.55,122.15,124.10,122.15,1.95,1.6
SBI Card,863.30,846.05,859.80,846.30,13.5,1.6
Vardhman Text,377.00,364.80,372.40,366.75,5.65,1.54
M&M,"1,557.00","1,514.95","1,546.85","1,523.50",23.35,1.53
Sona BLW,583.20,566.00,580.80,572.10,8.7,1.52
Bajaj Finserv,"1,660.00","1,622.00","1,657.50","1,632.85",24.65,1.51
Bajaj Finserv,"1,660.00","1,622.00","1,657.50","1,632.85",24.65,1.51
Praj Industries,425.95,419.05,423.30,417.00,6.3,1.51
Five-Star Busin,682.85,652.50,661.00,651.25,9.75,1.5
Shree Renuka,48.65,47.00,47.40,46.70,0.7,1.5
Max Healthcare,615.00,600.00,611.65,602.75,8.9,1.48
Poly Medicure,"1,185.00","1,130.30","1,145.20","1,128.55",16.65,1.48
Power Grid Corp,248.15,242.85,247.45,244.10,3.35,1.37
