company_name,high,low,last_price,prev_close,change,percent_gain
SignatureGlobal,"1,339.50","1,250.50","1,325.95","1,262.55",63.4,5.02
Redington,244.80,229.40,241.96,231.80,10.16,4.38
Avanti Feeds,750.00,718.55,743.10,720.10,23,3.19
Engineers India,172.40,160.23,169.51,164.38,5.13,3.12
DOMS Industries,"2,894.50","2,671.50","2,848.00","2,772.75",75.25,2.71
Varroc Engineer,573.75,492.85,557.35,543.50,13.85,2.55
Anant Raj,639.00,610.45,632.95,618.50,14.45,2.34
PTC Industries,"14,687.55","13,414.00","14,503.75","14,173.45",330.3,2.33
Bajaj Holdings,"11,700.00","11,238.55","11,523.20","11,271.15",252.05,2.24
PNC Infratech,324.75,296.10,300.25,294.20,6.05,2.06
Akums Drugs & P,579.25,557.75,572.35,560.90,11.45,2.04
Godfrey Phillip,"5,688.85","5,171.65","5,580.95","5,470.45",110.5,2.02
UNO Minda,"1,078.90","1,037.70","1,073.10","1,052.75",20.35,1.93
Kotak Mahindra,"1,965.00","1,923.55","1,960.15","1,929.25",30.9,1.6
Page Industries,"43,941.15","42,801.95","43,654.75","42,983.05",671.7,1.56
Saregama India,545.90,498.25,537.25,529.45,7.8,1.47
Capri Global,178.79,170.39,176.74,174.67,2.07,1.19
Capri Global,178.79,170.39,176.74,174.67,2.07,1.19
Balrampur Chini,463.00,452.30,459.05,453.85,5.2,1.15
Berger Paints,487.50,473.10,484.80,479.35,5.45,1.14
Escorts Kubota,"3,349.00","3,270.00","3,303.10","3,269.70",33.4,1.02
Solar Ind,"9,230.00","9,059.85","9,174.95","9,085.80",89.15,0.98
Bharti Airtel,"1,700.00","1,678.05","1,693.05","1,676.75",16.3,0.97
Gujarat Fluoro,"3,766.05","3,646.10","3,735.80","3,701.50",34.3,0.93
TataTeleservice,75.80,71.55,72.66,72.04,0.62,0.86
Timken,"2,697.00","2,605.25","2,683.85","2,661.65",22.2,0.83
Britannia,"5,009.00","4,877.00","4,909.65","4,870.50",39.15,0.8
Cochin Shipyard,"1,429.95","1,323.35","1,370.80","1,360.90",9.9,0.73
Cochin Shipyard,"1,429.95","1,323.35","1,370.80","1,360.90",9.9,0.73
Latent View,458.70,443.35,451.45,448.40,3.05,0.68
Cummins,"2,976.00","2,870.00","2,890.40","2,871.90",18.5,0.64
Garden Reach Sh,"1,590.00","1,468.00","1,502.35","1,492.80",9.55,0.64
TATA Cons. Prod,"1,036.85","1,015.80","1,027.50","1,021.20",6.3,0.62
TBO Tek,"1,659.00","1,622.05","1,651.30","1,641.10",10.2,0.62
Indiamart Inter,"2,207.40","2,171.95","2,184.75","2,172.65",12.1,0.56
ICICI Securitie,848.00,822.55,841.05,836.35,4.7,0.56
Guj Amb Exports,116.77,113.06,116.31,115.68,0.63,0.54
Amber Enterpris,"6,960.60","6,732.65","6,928.90","6,894.05",34.85,0.51
Bata India,"1,351.95","1,322.55","1,341.15","1,334.50",6.65,0.5
HCL Tech,"1,740.00","1,712.10","1,733.85","1,725.65",8.2,0.48
ICICI Bank,"1,265.00","1,249.35","1,262.60","1,256.90",5.7,0.45
JB Chemicals,"1,710.95","1,668.00","1,678.55","1,671.25",7.3,0.44
JB Chemicals,"1,710.95","1,668.00","1,678.55","1,671.25",7.3,0.44
Tech Mahindra,"1,703.75","1,673.20","1,699.05","1,692.10",6.95,0.41
United Brewerie,"2,076.80","2,041.80","2,055.45","2,048.65",6.8,0.33
Wipro,321.00,315.85,319.05,318.00,1.05,0.33
Campus Active,280.80,272.00,275.95,275.10,0.85,0.31
Castrol,215.50,206.92,210.46,209.80,0.66,0.31
Emami,580.80,566.35,574.45,572.85,1.6,0.28
NCC,212.95,204.15,207.80,207.30,0.5,0.24
Shriram Finance,566.60,546.50,560.80,559.55,1.25,0.22
Shriram Finance,566.60,546.50,560.80,559.55,1.25,0.22
Dabur India,535.45,523.65,528.10,527.10,1,0.19
TCS,"4,052.00","4,014.35","4,036.95","4,029.40",7.55,0.19
Alembic Pharma,904.00,835.00,888.05,886.65,1.4,0.16
Anand Rathi,"3,765.10","3,671.00","3,703.80","3,698.30",5.5,0.15
Inox Wind,169.95,161.72,168.73,168.50,0.23,0.14
Kirloskar Oil,835.00,811.85,820.05,819.00,1.05,0.13
Patanjali Foods,"1,865.00","1,807.95","1,851.55","1,849.35",2.2,0.12
ICICI Lombard ,"1,890.90","1,809.00","1,828.45","1,826.95",1.5,0.08
BHEL,209.80,201.73,202.98,202.84,0.14,0.07
