company_name,high,low,last_price,prev_close,change,percent_gain
Cochin Shipyard,802.80,675.10,802.80,669.00,133.8,20
Cochin Shipyard,802.80,675.10,802.80,669.00,133.8,20
Network 18,119.40,99.05,119.40,99.50,19.9,20
TV18 Broadcast,66.20,55.25,64.40,55.85,8.55,15.31
Olectra Greente,"1,750.00","1,526.00","1,709.05","1,538.35",170.7,11.1
Tanla Platforms,"1,212.00","1,085.05","1,196.75","1,086.40",110.35,10.16
NCC,194.50,177.30,193.25,176.45,16.8,9.52
Rail Vikas,199.20,182.85,197.40,185.30,12.1,6.53
Delhivery,424.00,398.60,422.20,398.45,23.75,5.96
PNC Infratech,372.40,348.60,368.05,347.40,20.65,5.94
NLC India,231.85,213.45,230.30,217.40,12.9,5.93
GlaxoSmithKline,"2,259.00","2,088.00","2,201.75","2,086.80",114.95,5.51
Brightcom Group,21.95,19.50,20.55,19.50,1.05,5.38
Welspun Living,158.65,149.85,157.00,149.00,8,5.37
Yes Bank,25.65,24.00,25.50,24.20,1.3,5.37
Avanti Feeds,467.80,435.75,453.80,433.15,20.65,4.77
Hitachi Energy,"5,989.00","5,637.30","5,942.30","5,683.15",259.15,4.56
Shyam Metalics,672.00,620.20,666.50,637.85,28.65,4.49
Sapphire Foods,"1,443.95","1,387.95","1,439.45","1,383.30",56.15,4.06
AIA Engineering,"3,847.20","3,601.10","3,755.85","3,626.20",129.65,3.58
Graphite India,568.80,530.55,552.20,534.30,17.9,3.35
Indiabulls Real,104.55,97.20,102.25,99.00,3.25,3.28
Mazagon Dock,"2,325.00","2,236.00","2,299.60","2,230.40",69.2,3.1
Cipla,"1,331.50","1,294.30","1,329.20","1,289.35",39.85,3.09
Century,"1,598.90","1,497.60","1,587.00","1,540.20",46.8,3.04
Lemon Tree,135.00,129.50,133.95,130.05,3.9,3
Amber Enterpris,"3,554.00","3,414.25","3,501.25","3,400.05",101.2,2.98
IRFC,103.50,99.55,103.05,100.10,2.95,2.95
Aegis Logistics,359.00,346.00,355.10,345.35,9.75,2.82
Adani Enterpris,"3,112.00","3,020.05","3,098.20","3,014.60",83.6,2.77
Birlasoft,741.60,719.05,739.55,719.75,19.8,2.75
Reliance,"2,659.00","2,575.05","2,650.10","2,580.50",69.6,2.7
Tube Investment,"3,957.10","3,745.00","3,911.90","3,809.60",102.3,2.69
Welspun Corp,553.10,537.00,551.70,537.35,14.35,2.67
CG Consumer,324.50,313.10,322.55,314.40,8.15,2.59
Polyplex Corp,"1,122.60","1,075.05","1,119.10","1,091.10",28,2.57
Vedanta,268.20,251.95,267.05,260.40,6.65,2.55
Max Healthcare,741.30,715.10,734.20,716.20,18,2.51
IRCTC,944.50,907.40,941.70,918.80,22.9,2.49
Delta Corp,155.45,143.10,154.35,150.65,3.7,2.46
Just Dial,846.00,817.00,839.90,820.10,19.8,2.41
Adani Green Ene,"1,755.00","1,691.00","1,723.25","1,683.40",39.85,2.37
RITES,528.00,508.20,524.60,512.65,11.95,2.33
Interglobe Avi,"3,090.00","2,973.45","3,082.15","3,012.90",69.25,2.3
Infibeam Avenue,25.55,24.25,24.55,24.00,0.55,2.29
Indiabulls Hsg,218.80,209.25,216.05,211.30,4.75,2.25
JSW Energy,470.00,457.00,464.80,454.85,9.95,2.19
HCL Tech,"1,508.00","1,466.05","1,492.10","1,460.40",31.7,2.17
Timken,"3,249.80","3,180.00","3,240.55","3,171.75",68.8,2.17
Prestige Estate,"1,385.95","1,325.00","1,364.10","1,335.50",28.6,2.14
Guj Amb Exports,360.70,349.25,356.50,349.10,7.4,2.12
BHEL,201.00,192.00,199.65,195.60,4.05,2.07
Schaeffler Ind,"3,280.00","3,186.40","3,269.75","3,203.40",66.35,2.07
Campus Active,294.70,284.50,292.05,286.35,5.7,1.99
Motilal Oswal,"1,419.00","1,356.30","1,406.35","1,378.95",27.4,1.99
Bayer CropScien,"5,965.00","5,832.80","5,952.75","5,837.50",115.25,1.97
MOTHERSON,110.10,105.40,109.15,107.05,2.1,1.96
United Spirits,"1,129.90","1,095.80","1,117.35","1,096.35",21,1.92
Voltas,"1,025.80",990.00,"1,012.15",993.40,18.75,1.89
Vedant Fashions,"1,243.80","1,207.00","1,226.70","1,204.00",22.7,1.89
Page Industries,"37,256.00","35,600.00","37,138.80","36,452.65",686.15,1.88
Trent,"3,189.95","3,112.15","3,173.60","3,115.45",58.15,1.87
L&T Technology,"5,357.40","5,221.35","5,342.15","5,245.80",96.35,1.84
Tata Power,348.75,340.75,346.45,340.20,6.25,1.84
HEG,"1,878.80","1,779.60","1,845.45","1,812.90",32.55,1.8
GMR Airports,87.00,84.55,86.30,84.80,1.5,1.77
Restaurant Bran,118.25,114.25,116.60,114.60,2,1.75
NALCO,133.25,127.00,130.70,128.45,2.25,1.75
Aarti Drugs,520.90,508.00,518.65,510.00,8.65,1.7
Mahindra Holida,404.90,388.65,400.15,393.45,6.7,1.7
APL Apollo,"1,572.00","1,533.05","1,565.95","1,540.15",25.8,1.68
FSN E-Co Nykaa,195.50,187.90,190.50,187.50,3,1.6
JBM Auto,"1,965.00","1,850.00","1,930.60","1,900.70",29.9,1.57
Abbott India,"24,672.00","24,067.50","24,609.25","24,231.90",377.35,1.56
Petronet LNG,235.55,227.50,234.00,230.45,3.55,1.54
Chalet Hotels,769.00,726.20,735.75,724.65,11.1,1.53
IFB Industries,988.00,952.15,979.25,964.75,14.5,1.5
Adani Ports,"1,220.00","1,197.00","1,214.35","1,197.10",17.25,1.44
COFORGE LTD.,"6,173.45","6,039.05","6,152.25","6,067.85",84.4,1.39
Poonawalla Fin,486.60,472.00,481.35,474.80,6.55,1.38
Zee Entertain,267.80,256.40,259.80,256.30,3.5,1.37
ICICI Bank,994.95,974.30,993.05,979.75,13.3,1.36
Sunteck Realty,468.85,453.30,464.95,459.00,5.95,1.3
Tata Elxsi,"8,800.00","8,602.30","8,755.45","8,643.60",111.85,1.29
Karur Vysya,165.60,163.00,165.10,163.05,2.05,1.26
NBCC (India),93.65,89.90,92.50,91.35,1.15,1.26
360 ONE WAM,688.00,662.00,683.15,674.75,8.4,1.24
360 ONE WAM,688.00,662.00,683.15,674.75,8.4,1.24
Tata Motors DVR,540.35,526.90,539.05,532.50,6.55,1.23
Tata Motors DVR,540.35,526.90,539.05,532.50,6.55,1.23
Persistent,"7,403.35","7,237.40","7,381.30","7,292.00",89.3,1.22
Ipca Labs,"1,123.00","1,098.05","1,116.25","1,103.05",13.2,1.2
Vardhman Text,390.00,381.55,387.85,383.30,4.55,1.19
Rain Industries,152.15,147.10,149.85,148.10,1.75,1.18
TTK Prestige,760.00,749.10,757.90,749.15,8.75,1.17
Sobha,"1,322.00","1,263.40","1,306.50","1,291.70",14.8,1.15
Vijaya Diagnost,694.00,660.85,685.30,677.55,7.75,1.14
Grindwell Norto,"2,389.00","2,300.05","2,339.75","2,313.85",25.9,1.12
Asahi India,559.80,552.65,557.90,551.85,6.05,1.1
Hind Zinc,319.15,311.00,317.25,313.80,3.45,1.1
INDUS TOWERS,221.00,211.80,214.25,211.95,2.3,1.09
Tata Motors,811.00,792.65,808.45,799.80,8.65,1.08
Tata Motors,811.00,792.65,808.45,799.80,8.65,1.08
GNFC,775.00,748.10,772.25,764.30,7.95,1.04
AAVAS Financier,"1,577.00","1,553.00","1,568.70","1,552.75",15.95,1.03
Sanofi India,"8,507.00","8,410.00","8,488.45","8,402.20",86.25,1.03
JSW Steel,831.35,811.20,829.80,821.40,8.4,1.02
KPIT Tech,"1,542.40","1,518.00","1,532.90","1,517.60",15.3,1.01
Varroc Engineer,561.70,548.00,558.35,552.75,5.6,1.01
Balkrishna Ind,"2,661.00","2,586.85","2,649.80","2,623.50",26.3,1
Cummins,"2,054.75","2,000.00","2,046.15","2,025.90",20.25,1
KFin Tech,521.50,515.15,520.00,514.90,5.1,0.99
LIC Housing Fin,570.00,554.80,567.75,562.40,5.35,0.95
Archean Chem,636.60,618.00,630.95,625.10,5.85,0.94
Info Edge,"5,299.10","5,189.05","5,243.40","5,194.65",48.75,0.94
IndusInd Bank,"1,642.75","1,620.00","1,640.15","1,625.10",15.05,0.93
Polycab,"5,035.25","4,863.35","4,911.85","4,867.10",44.75,0.92
Jubilant Ing.,488.85,472.95,486.20,481.90,4.3,0.89
Data Patterns,"2,001.10","1,934.05","1,978.10","1,961.05",17.05,0.87
RBL Bank,286.50,273.05,283.55,281.10,2.45,0.87
Nazara,883.50,852.05,865.05,857.85,7.2,0.84
Rainbow Child,"1,329.00","1,259.70","1,312.75","1,301.85",10.9,0.84
DLF,800.80,777.55,796.05,789.60,6.45,0.82
Rossari,804.75,783.70,802.20,795.65,6.55,0.82
Berger Paints,594.05,582.65,592.65,587.90,4.75,0.81
Havells India,"1,394.05","1,365.40","1,390.70","1,379.65",11.05,0.8
Solar Ind,"6,922.00","6,745.45","6,875.75","6,821.10",54.65,0.8
Bharat Forge,"1,287.00","1,255.50","1,283.85","1,273.95",9.9,0.78
KPIL,743.00,728.00,739.70,734.10,5.6,0.76
MMTC Ltd,68.40,66.00,66.70,66.20,0.5,0.76
IEX,166.50,160.55,164.05,162.85,1.2,0.74
LIC India,850.95,835.00,838.60,832.45,6.15,0.74
SAIL,115.65,112.20,115.05,114.20,0.85,0.74
PB Fintech,833.00,807.10,828.15,822.25,5.9,0.72
Hindalco,582.00,570.65,580.05,575.95,4.1,0.71
Suven Pharma,735.70,720.60,734.55,729.60,4.95,0.68
Dr Reddys Labs,"5,800.00","5,690.20","5,787.20","5,749.80",37.4,0.65
Lupin,"1,414.85","1,390.65","1,405.25","1,396.30",8.95,0.64
LTIMindtree,"5,957.50","5,885.00","5,947.50","5,909.40",38.1,0.64
Torrent Pharma,"2,362.85","2,323.05","2,352.90","2,337.90",15,0.64
Jubilant Pharmo,574.85,562.85,569.85,566.20,3.65,0.64
CRISIL,"4,177.30","4,065.00","4,115.15","4,089.25",25.9,0.63
HDFC Life,650.35,641.45,644.95,640.90,4.05,0.63
TCS,"3,729.25","3,688.00","3,713.05","3,689.90",23.15,0.63
Wipro,456.00,449.00,453.60,450.75,2.85,0.63
Dr Lal PathLab,"2,564.90","2,477.35","2,502.00","2,486.70",15.3,0.62
Hero Motocorp,"4,177.00","4,086.10","4,138.05","4,112.50",25.55,0.62
Raymond,"1,755.00","1,711.05","1,750.05","1,739.60",10.45,0.6
Asian Paints,"3,293.00","3,258.20","3,286.85","3,267.50",19.35,0.59
Borosil Renew,525.00,507.20,511.60,508.60,3,0.59
Home First,949.00,932.70,942.55,937.05,5.5,0.59
J. K. Cement,"4,074.85","3,996.00","4,052.95","4,029.20",23.75,0.59
KSB Pumps,"3,450.00","3,352.15","3,398.55","3,379.30",19.25,0.57
Quess Corp,515.00,504.55,512.00,509.15,2.85,0.56
Praj Industries,541.00,531.50,538.65,535.70,2.95,0.55
Titan Company,"3,730.00","3,690.00","3,714.45","3,694.00",20.45,0.55
PI Industries,"3,470.40","3,417.00","3,459.40","3,440.95",18.45,0.54
Adani Energy,"1,184.00","1,156.65","1,170.30","1,164.10",6.2,0.53
Elgi Equipments,542.40,531.55,539.15,536.30,2.85,0.53
Finolex Cables,"1,044.45","1,025.10","1,041.85","1,036.40",5.45,0.53
Zensar Tech,582.10,560.35,565.00,562.00,3,0.53
Pfizer,"4,416.15","4,350.00","4,401.05","4,377.90",23.15,0.53
Bharat Elec,186.00,182.05,185.60,184.65,0.95,0.51
Gujarat Pipavav,158.90,153.20,156.75,155.95,0.8,0.51
Sundram,"1,268.00","1,250.50","1,262.45","1,256.10",6.35,0.51
Supreme Ind,"4,364.25","4,290.00","4,306.10","4,284.35",21.75,0.51
GE Shipping,976.00,946.00,969.80,965.10,4.7,0.49
Galaxy Surfacta,"2,841.10","2,783.00","2,813.15","2,799.70",13.45,0.48
Adani Power,549.60,535.00,542.30,539.75,2.55,0.47
G R Infra,"1,144.70","1,102.00","1,130.05","1,125.00",5.05,0.45
Macrotech Dev,"1,143.00","1,116.00","1,136.95","1,131.90",5.05,0.45
SBI Card,769.50,756.95,765.45,762.05,3.4,0.45
Union Bank,124.00,121.75,123.40,122.85,0.55,0.45
Mahindra Life,569.45,556.00,565.40,563.00,2.4,0.43
Indian Bank,428.55,418.25,423.05,421.30,1.75,0.42
Krishna Inst.,"2,036.00","2,007.10","2,024.95","2,016.40",8.55,0.42
Tech Mahindra,"1,246.45","1,228.30","1,240.90","1,235.65",5.25,0.42
Escorts Kubota,"2,861.45","2,815.00","2,835.00","2,823.40",11.6,0.41
EID Parry,581.80,574.45,580.75,578.35,2.4,0.41
Star Health,555.00,547.20,552.45,550.20,2.25,0.41
Jindal Steel,733.00,713.75,731.00,728.10,2.9,0.4
Global Health,"1,004.95",978.25,995.15,991.30,3.85,0.39
NOCIL,270.30,262.30,268.50,267.45,1.05,0.39
Sundaram Fin,"3,700.00","3,548.65","3,671.25","3,657.15",14.1,0.39
KNR Construct,262.00,255.80,260.20,259.25,0.95,0.37
Tata Steel,134.70,132.10,134.10,133.65,0.45,0.34
Tata Steel,134.70,132.10,134.10,133.65,0.45,0.34
HDFC Bank,"1,659.95","1,641.40","1,655.95","1,650.50",5.45,0.33
Rallis India,255.85,251.05,255.40,254.55,0.85,0.33
Blue Star,977.75,952.00,969.95,966.90,3.05,0.32
Ratnamani Metal,"3,363.75","3,325.75","3,344.15","3,333.45",10.7,0.32
ABB India,"4,957.60","4,873.45","4,935.70","4,920.40",15.3,0.31
Metro Brands,"1,273.45","1,246.35","1,258.60","1,254.70",3.9,0.31
Aurobindo Pharm,"1,133.95","1,092.00","1,123.00","1,119.60",3.4,0.3
Avenue Supermar,"3,837.95","3,792.35","3,822.00","3,810.75",11.25,0.3
Bajaj Holdings,"8,136.60","7,990.00","8,031.95","8,008.35",23.6,0.29
Bank of Baroda,225.00,219.45,223.85,223.20,0.65,0.29
EIH,281.60,274.00,275.90,275.15,0.75,0.27
CIEINDIA,484.00,473.50,482.50,481.20,1.3,0.27
Zomato,136.15,132.25,134.65,134.30,0.35,0.26
Radico Khaitan,"1,700.00","1,675.10","1,685.05","1,681.05",4,0.24
Hindustan Aeron,"3,025.50","2,978.15","3,017.30","3,010.25",7.05,0.23
Hindustan Aeron,"3,025.50","2,978.15","3,017.30","3,010.25",7.05,0.23
Tata Inv Corp,"4,323.95","4,258.65","4,277.00","4,267.00",10,0.23
Gujarat Gas,516.35,505.35,515.20,514.05,1.15,0.22
Grasim,"2,074.45","2,040.85","2,068.55","2,064.05",4.5,0.22
Mastek,"2,717.50","2,673.30","2,704.25","2,698.55",5.7,0.21
Mahindra Logist,460.00,442.80,448.55,447.60,0.95,0.21
Sonata,709.25,696.60,706.00,704.55,1.45,0.21
Tejas Networks,868.00,854.10,863.85,862.00,1.85,0.21
TATA Cons. Prod,"1,117.70","1,101.00","1,113.95","1,111.65",2.3,0.21
Federal Bank,152.25,149.70,151.75,151.45,0.3,0.2
CCL Products,641.80,625.25,636.60,635.40,1.2,0.19
Ambuja Cements,528.70,518.25,526.15,525.20,0.95,0.18
M&M,"1,647.45","1,621.35","1,632.80","1,629.90",2.9,0.18
Affle India,"1,282.30","1,257.00","1,271.65","1,269.55",2.1,0.17
Castrol,181.95,177.05,180.45,180.15,0.3,0.17
Exide Ind,328.95,322.80,327.80,327.25,0.55,0.17
India Cements,261.85,252.70,258.95,258.50,0.45,0.17
KEC Intl,610.00,597.55,608.95,608.00,0.95,0.16
Adani Total Gas,"1,082.55","1,060.00","1,068.95","1,067.35",1.6,0.15
MphasiS,"2,579.00","2,518.00","2,559.40","2,555.55",3.85,0.15
Ingersoll Rand,"3,135.20","3,065.00","3,105.15","3,100.50",4.65,0.15
MRPL,135.00,131.55,134.20,134.00,0.2,0.15
Piramal Pharma,145.45,142.30,143.40,143.20,0.2,0.14
SBI Life Insura,"1,495.35","1,448.00","1,451.45","1,449.35",2.1,0.14
Carborundum,"1,149.45","1,128.00","1,144.95","1,143.45",1.5,0.13
BLS Internation,368.50,356.45,362.20,361.75,0.45,0.12
Laxmi Organic,287.00,281.25,283.95,283.60,0.35,0.12
HDFC AMC,"3,445.00","3,363.40","3,418.90","3,415.25",3.65,0.11
Kajaria Ceramic,"1,389.00","1,368.00","1,375.95","1,374.50",1.45,0.11
Marico,534.55,528.25,531.30,530.70,0.6,0.11
Central Bank,50.40,49.50,50.00,49.95,0.05,0.1
MRF,"132,199.60","130,210.00","131,828.40","131,692.45",135.95,0.1
Biocon,284.95,278.80,281.45,281.20,0.25,0.09
Firstsource Sol,194.10,189.25,190.55,190.40,0.15,0.08
UPL,561.75,551.90,558.60,558.15,0.45,0.08
Torrent Power,"1,037.80","1,014.50","1,021.85","1,021.05",0.8,0.08
ICICI Prudentia,550.00,538.65,541.25,540.85,0.4,0.07
TVS Motor,"2,022.95","1,992.80","2,020.25","2,018.90",1.35,0.07
Apollo Hospital,"5,819.30","5,721.30","5,800.90","5,797.65",3.25,0.06
Aarti Ind,607.40,597.20,603.60,603.25,0.35,0.06
Sun Pharma,"1,333.50","1,313.15","1,324.85","1,324.00",0.85,0.06
Thermax,"3,218.40","3,172.15","3,191.70","3,189.65",2.05,0.06
Jindal Worldwid,311.40,306.25,307.40,307.25,0.15,0.05
Container Corp,891.50,868.20,886.30,885.95,0.35,0.04
