company_name,high,low,last_price,prev_close,change,percent_gain
Mazagon Dock,"1,751.00","1,620.30","1,731.85","1,591.85",140,8.79
BSE Limited,787.95,702.00,755.60,700.10,55.5,7.93
Elgi Equipments,623.00,556.65,583.20,545.50,37.7,6.91
NCC,136.90,126.75,135.75,127.40,8.35,6.55
JB Chemicals,"2,773.95","2,446.00","2,603.50","2,449.75",153.75,6.28
KFin Tech,384.25,358.85,378.85,357.50,21.35,5.97
One 97 Paytm,866.40,809.00,854.75,806.75,48,5.95
Olectra Greente,"1,419.00","1,300.20","1,395.15","1,317.20",77.95,5.92
PB Fintech,742.45,696.55,734.40,696.35,38.05,5.46
Aarti Drugs,509.75,469.90,492.65,467.75,24.9,5.32
Anupam Rasayan,"1,051.00",986.30,"1,035.40",986.15,49.25,4.99
KPR Mill,656.50,623.20,652.00,622.55,29.45,4.73
Indian Bank,326.75,310.00,324.30,310.10,14.2,4.58
NLC India,115.95,110.55,115.55,110.50,5.05,4.57
Radico Khaitan,"1,400.00","1,338.90","1,393.40","1,332.80",60.6,4.55
Kajaria Ceramic,"1,339.45","1,280.05","1,321.95","1,268.10",53.85,4.25
MTAR Tech,"2,105.90","1,958.00","2,031.65","1,951.25",80.4,4.12
Brigade Ent,584.00,558.70,580.90,559.55,21.35,3.82
Sonata,998.00,956.55,990.60,956.20,34.4,3.6
Welspun India,99.30,95.35,98.55,95.25,3.3,3.46
Astral Ltd,"1,846.20","1,775.25","1,839.55","1,779.25",60.3,3.39
NMDC,112.15,108.10,111.60,108.00,3.6,3.33
Piramal Enter,977.90,936.05,969.15,937.95,31.2,3.33
Macrotech Dev,695.55,662.45,683.30,661.80,21.5,3.25
Data Patterns,"2,060.00","1,911.05","2,019.75","1,956.95",62.8,3.21
RITES,398.00,384.00,395.15,383.10,12.05,3.15
Bajaj Holdings,"7,475.00","7,160.45","7,401.25","7,177.20",224.05,3.12
TV18 Broadcast,40.00,38.55,39.70,38.50,1.2,3.12
Kalyan Jeweller,184.35,177.05,179.60,174.20,5.4,3.1
Vardhman Text,384.40,365.05,377.85,366.85,11,3
Amara Raja Batt,703.00,681.00,699.75,679.45,20.3,2.99
360 ONE WAM,505.00,490.50,502.45,487.90,14.55,2.98
360 ONE WAM,505.00,490.50,502.45,487.90,14.55,2.98
Capri Global,807.00,758.65,779.90,757.65,22.25,2.94
C. E. Info Syst,"1,351.90","1,310.50","1,337.35","1,299.75",37.6,2.89
Lupin,942.95,915.05,940.50,914.20,26.3,2.88
Aether Ind,"1,096.90","1,050.00","1,074.90","1,045.90",29,2.77
Sun TV Network,492.00,471.35,488.90,476.25,12.65,2.66
Just Dial,812.00,761.00,777.55,757.50,20.05,2.65
Central Bank,31.45,30.40,31.15,30.35,0.8,2.64
Shriram Finance,"1,817.95","1,759.70","1,805.50","1,760.70",44.8,2.54
AB Capital,189.50,183.80,188.45,183.80,4.65,2.53
Balkrishna Ind,"2,425.30","2,326.55","2,399.30","2,340.30",59,2.52
Apar Ind,"3,498.95","3,395.00","3,484.00","3,398.80",85.2,2.51
Vedant Fashions,"1,249.95","1,222.45","1,244.70","1,214.30",30.4,2.5
Sunteck Realty,331.75,321.50,330.20,322.25,7.95,2.47
Vijaya Diagnost,495.00,464.50,475.40,464.15,11.25,2.42
Syngene Intl,782.00,759.40,780.45,762.10,18.35,2.41
KEI Industries,"2,433.70","2,342.65","2,420.95","2,364.50",56.45,2.39
Bikaji Foods,418.75,408.40,416.00,407.00,9,2.21
Krishna Inst.,"1,896.70","1,830.00","1,880.80","1,840.05",40.75,2.21
Star Health,636.50,610.00,631.20,617.60,13.6,2.2
Zensar Tech,398.50,382.50,396.40,387.90,8.5,2.19
Bank of India,79.95,77.90,79.30,77.65,1.65,2.12
BLS Internation,220.45,212.50,219.95,215.45,4.5,2.09
Chalet Hotels,460.00,448.00,458.55,449.35,9.2,2.05
Ashok Leyland,172.75,167.05,169.80,166.40,3.4,2.04
Craftsman,"4,188.00","4,019.85","4,097.65","4,017.35",80.3,2
Varun Beverages,849.00,828.05,841.75,825.25,16.5,2
Varun Beverages,849.00,828.05,841.75,825.25,16.5,2
Biocon,262.35,254.30,259.15,254.20,4.95,1.95
UCO Bank,29.30,28.30,28.85,28.30,0.55,1.94
Tube Investment,"3,297.00","3,174.45","3,282.50","3,220.30",62.2,1.93
GMR Airports,45.85,44.60,45.45,44.60,0.85,1.91
Timken,"3,466.90","3,365.65","3,448.80","3,384.35",64.45,1.9
HDFC AMC,"2,350.00","2,288.50","2,325.75","2,282.75",43,1.88
ONGC,169.00,165.25,167.65,164.60,3.05,1.85
SKF India,"5,147.00","4,959.90","5,092.95","5,001.10",91.85,1.84
3M India,"28,577.70","27,905.25","28,454.90","27,972.40",482.5,1.72
CG Power ,407.65,401.75,405.85,399.05,6.8,1.7
RBL Bank,199.80,191.85,197.20,193.90,3.3,1.7
Solar Ind,"3,646.80","3,511.50","3,603.00","3,543.85",59.15,1.67
Ajanta Pharma,"1,461.00","1,403.20","1,423.80","1,400.70",23.1,1.65
Siemens,"3,876.15","3,794.75","3,828.85","3,766.60",62.25,1.65
Thermax,"2,318.70","2,269.35","2,309.10","2,272.05",37.05,1.63
Can Fin Homes,797.90,781.30,795.40,782.90,12.5,1.6
SRF,"2,214.85","2,154.55","2,210.20","2,175.35",34.85,1.6
PNB,61.70,60.45,61.40,60.45,0.95,1.57
IOB,27.15,26.35,26.75,26.35,0.4,1.52
MCX India,"1,637.45","1,583.00","1,603.15","1,579.50",23.65,1.5
Supreme Ind,"3,280.00","3,181.55","3,237.40","3,189.80",47.6,1.49
Lemon Tree Hote,93.00,91.50,92.70,91.35,1.35,1.48
Zydus Life,595.40,583.30,593.40,584.85,8.55,1.46
Chola Invest.,"1,151.75","1,121.40","1,148.55","1,132.00",16.55,1.46
UNO Minda,594.35,581.45,590.25,581.80,8.45,1.45
Grindwell Norto,"2,191.70","2,145.80","2,180.05","2,149.35",30.7,1.43
L&T Finance,135.50,132.15,134.95,133.05,1.9,1.43
Nippon,301.00,295.50,297.45,293.25,4.2,1.43
Varroc Engineer,359.00,350.20,355.20,350.20,5,1.43
Union Bank,83.20,81.20,82.30,81.15,1.15,1.42
Aarti Ind,457.50,448.50,455.50,449.20,6.3,1.4
NALCO,85.00,83.50,84.65,83.50,1.15,1.38
Piramal Pharma,93.80,92.50,93.05,91.80,1.25,1.36
V-Mart Retail,"2,249.95","2,185.00","2,224.45","2,194.85",29.6,1.35
CDSL,"1,242.00","1,200.55","1,216.00","1,200.05",15.95,1.33
Info Edge,"4,473.45","4,366.15","4,460.70","4,402.40",58.3,1.32
EIH,222.00,212.00,214.45,211.70,2.75,1.3
P and G,"14,983.85","14,700.00","14,902.05","14,712.45",189.6,1.29
Shree Cements,"24,340.50","23,726.00","24,261.40","23,955.35",306.05,1.28
Sterlite Techno,153.95,149.40,150.05,148.15,1.9,1.28
Emami,428.45,419.95,425.30,419.95,5.35,1.27
Asahi India,536.10,525.05,534.60,528.15,6.45,1.22
Route,"1,628.85","1,589.40","1,612.05","1,592.55",19.5,1.22
IGL,497.75,488.00,492.65,486.75,5.9,1.21
Eicher Motors,"3,307.00","3,235.00","3,291.65","3,253.05",38.6,1.19
GAIL,111.15,108.95,110.60,109.30,1.3,1.19
ICICI Lombard ,"1,366.70","1,334.20","1,362.30","1,346.40",15.9,1.18
Patanjali Foods,"1,242.05","1,208.25","1,226.40","1,212.05",14.35,1.18
Triveni Turbine,403.90,391.05,394.45,389.85,4.6,1.18
Max Financial,831.85,817.10,828.75,819.20,9.55,1.17
Marico,539.00,531.50,537.75,531.55,6.2,1.17
Muthoot Finance,"1,290.75","1,261.20","1,285.65","1,270.85",14.8,1.16
Easy Trip,44.60,43.00,44.00,43.50,0.5,1.15
Easy Trip,44.60,43.00,44.00,43.50,0.5,1.15
Tata Inv Corp,"2,381.95","2,326.20","2,349.80","2,323.15",26.65,1.15
Devyani Int,194.80,188.00,192.00,189.85,2.15,1.13
Medplus Health,864.00,826.75,844.15,834.75,9.4,1.13
Bosch,"19,549.65","19,260.70","19,515.95","19,298.65",217.3,1.13
Greenpanel Ind,356.00,349.20,355.10,351.25,3.85,1.1
JSW Energy,316.05,307.50,312.95,309.55,3.4,1.1
Ceat,"2,592.90","2,455.00","2,487.80","2,461.00",26.8,1.09
Birla Corp,"1,238.00","1,206.35","1,230.05","1,217.40",12.65,1.04
Engineers India,124.65,119.50,121.45,120.20,1.25,1.04
JSW Steel,814.80,788.65,805.70,797.40,8.3,1.04
Metro Brands,"1,032.00","1,005.70","1,024.75","1,014.40",10.35,1.02
Escorts Kubota,"2,337.15","2,296.25","2,317.65","2,294.90",22.75,0.99
RHI Magnesita,635.05,622.90,632.70,626.55,6.15,0.98
CSB Bank,300.00,292.50,297.25,294.40,2.85,0.97
Bank of Mah,32.60,31.75,32.00,31.70,0.3,0.95
ZFCVINDIA,"12,175.00","11,990.00","12,135.20","12,021.40",113.8,0.95
AU Small Financ,772.90,753.15,770.75,763.55,7.2,0.94
KPIT Tech,"1,068.45","1,055.00","1,064.30","1,054.40",9.9,0.94
Poonawalla Fin,371.95,362.10,368.20,364.80,3.4,0.93
UTI AMC,822.95,798.55,805.65,798.20,7.45,0.93
PNB Housing Fin,621.40,607.00,611.75,606.20,5.55,0.92
Shoppers Stop,828.80,815.10,825.75,818.25,7.5,0.92
Nestle,"23,100.00","22,817.00","23,060.05","22,852.30",207.75,0.91
Zomato,78.80,77.15,77.50,76.80,0.7,0.91
Glenmark,686.40,671.35,676.65,670.60,6.05,0.9
Container Corp,684.00,672.00,683.15,677.25,5.9,0.87
GNFC,609.00,593.25,604.20,599.00,5.2,0.87
Raymond,"1,824.90","1,780.55","1,817.65","1,802.30",15.35,0.85
Mahindra Life,489.45,478.30,487.45,483.40,4.05,0.84
Archean Chem,545.00,530.10,538.85,534.50,4.35,0.81
Interglobe Avi,"2,745.10","2,705.15","2,725.55","2,703.75",21.8,0.81
MOTHERSON,94.30,92.60,93.15,92.40,0.75,0.81
Atul,"6,618.00","6,530.00","6,569.60","6,518.35",51.25,0.79
Blue Dart,"7,386.00","7,240.10","7,355.95","7,299.15",56.8,0.78
Westlife Food,890.00,872.00,884.55,877.70,6.85,0.78
Exide Ind,255.20,250.35,254.45,252.50,1.95,0.77
IIFL Finance,546.60,536.15,542.40,538.25,4.15,0.77
NHPC,49.15,46.85,47.20,46.85,0.35,0.75
Hitachi Energy,"4,288.10","4,193.05","4,220.25","4,189.35",30.9,0.74
Mahindra Holida,311.90,303.95,310.05,307.80,2.25,0.73
Guj Amb Exports,239.95,235.70,238.70,237.00,1.7,0.72
Castrol,137.65,133.40,134.10,133.20,0.9,0.68
Polycab,"3,824.70","3,745.10","3,800.50","3,774.80",25.7,0.68
Sapphire Foods,"1,399.45","1,354.95","1,389.05","1,379.65",9.4,0.68
Chola Fin Hold,950.00,931.05,940.40,934.10,6.3,0.67
ABB India,"4,555.00","4,477.50","4,528.45","4,499.25",29.2,0.65
Jamna Auto,113.30,110.50,112.10,111.40,0.7,0.63
Network 18,64.50,62.95,63.45,63.05,0.4,0.63
TCI Express,"1,535.50","1,518.00","1,521.70","1,512.10",9.6,0.63
Kotak Mahindra,"1,890.90","1,867.90","1,878.10","1,866.60",11.5,0.62
Godrej Consumer,"1,070.00","1,055.70","1,068.35","1,061.85",6.5,0.61
Indiamart Inter,"2,840.00","2,772.00","2,788.75","2,771.95",16.8,0.61
KPIL,562.15,549.00,558.25,554.85,3.4,0.61
CIEINDIA,559.70,544.00,549.45,546.10,3.35,0.61
Sun Pharma,"1,083.75","1,070.00","1,078.75","1,072.25",6.5,0.61
Hind Copper,120.70,117.65,119.55,118.85,0.7,0.59
Yes Bank,17.65,17.15,17.30,17.20,0.1,0.58
Cummins,"1,939.95","1,894.80","1,901.40","1,890.65",10.75,0.57
Grasim,"1,784.40","1,757.05","1,777.85","1,767.70",10.15,0.57
Navin Fluorine,"4,305.00","4,206.30","4,293.05","4,269.05",24,0.56
Home First,804.60,785.65,798.55,794.20,4.35,0.55
Relaxo Footwear,914.00,898.85,911.00,906.05,4.95,0.55
JBM Auto,"1,393.80","1,350.00","1,361.80","1,354.50",7.3,0.54
Hind Zinc,333.00,331.60,332.65,330.95,1.7,0.51
Sona BLW,549.40,540.90,542.85,540.15,2.7,0.5
ICICI Prudentia,601.95,594.50,597.10,594.25,2.85,0.48
Quess Corp,442.00,433.10,437.45,435.35,2.1,0.48
Oil India,256.45,254.15,255.45,254.25,1.2,0.47
Pfizer,"3,834.70","3,796.40","3,809.45","3,791.55",17.9,0.47
Balrampur Chini,391.75,382.00,384.20,382.45,1.75,0.46
MRPL,88.70,86.30,87.35,86.95,0.4,0.46
Shree Renuka,44.20,43.20,43.35,43.15,0.2,0.46
Dr Reddys Labs,"5,198.95","5,130.00","5,189.00","5,165.85",23.15,0.45
Alkem Lab,"3,540.00","3,495.05","3,529.00","3,514.05",14.95,0.43
Ambuja Cements,423.00,415.00,421.55,419.75,1.8,0.43
IDBI Bank,59.75,58.80,59.05,58.80,0.25,0.43
SBI Card,844.95,824.00,837.85,834.30,3.55,0.43
SBI Life Insura,"1,306.60","1,291.00","1,300.60","1,295.00",5.6,0.43
Asian Paints,"3,414.40","3,362.25","3,406.75","3,392.55",14.2,0.42
Angel One,"1,769.85","1,740.05","1,747.55","1,740.45",7.1,0.41
United Spirits,939.50,918.75,929.15,925.35,3.8,0.41
GlaxoSmithKline,"1,410.00","1,385.45","1,394.90","1,389.35",5.55,0.4
Voltas,764.65,759.00,762.35,759.30,3.05,0.4
APTUS VALUE,264.70,257.45,260.00,259.00,1,0.39
Suven Pharma,487.35,483.55,486.75,484.85,1.9,0.39
BHEL,95.75,93.80,94.30,93.95,0.35,0.37
Linde India,"4,499.00","4,430.45","4,447.25","4,430.80",16.45,0.37
Equitas Bank,94.40,92.95,93.85,93.50,0.35,0.37
ACC,"1,794.95","1,764.15","1,789.65","1,783.25",6.4,0.36
GSFC,168.90,167.10,168.15,167.55,0.6,0.36
IDFC First Bank,84.40,82.85,83.10,82.80,0.3,0.36
Prestige Estate,594.00,581.90,585.15,583.10,2.05,0.35
