company_name,high,low,last_price,prev_close,change,percent_gain
MRPL,289.25,247.80,286.10,241.05,45.05,18.69
JBM Auto,"2,428.35","2,054.00","2,381.75","2,023.65",358.1,17.7
Rajesh Exports,354.30,305.00,344.25,303.90,40.35,13.28
CRISIL,"5,199.85","4,725.15","5,026.50","4,609.20",417.3,9.05
Archean Chem,744.00,665.00,717.70,659.15,58.55,8.88
Rain Industries,219.60,201.25,217.95,201.10,16.85,8.38
Quess Corp,582.00,535.05,540.60,501.40,39.2,7.82
PB Fintech,"1,029.85",972.00,"1,000.85",931.30,69.55,7.47
Aegis Logistics,471.90,429.75,468.20,436.20,32,7.34
HFCL,110.70,99.65,107.30,100.40,6.9,6.87
Olectra Greente,"2,159.95","1,983.70","2,135.10","2,006.40",128.7,6.41
Engineers India,236.00,217.60,231.00,217.55,13.45,6.18
Fert and Chem,842.90,785.40,831.15,782.90,48.25,6.16
Rail Vikas,281.30,254.00,266.25,251.70,14.55,5.78
Adani Wilmar,374.75,347.85,366.45,346.50,19.95,5.76
Dixon Technolog,"6,810.00","6,410.00","6,743.85","6,378.10",365.75,5.73
BLS Internation,397.00,366.00,383.45,363.05,20.4,5.62
Sonata,848.00,801.45,842.20,797.45,44.75,5.61
Redington,220.00,199.00,207.90,197.35,10.55,5.35
Godfrey Phillip,"2,719.80","2,530.70","2,680.80","2,546.25",134.55,5.28
Gujarat Pipavav,215.50,201.00,208.55,198.35,10.2,5.14
One 97 Paytm,358.35,358.35,358.35,341.30,17.05,5
Network 18,117.90,113.00,117.90,112.30,5.6,4.99
Sun Pharma Adv,378.60,363.00,378.60,360.60,18,4.99
MMTC Ltd,82.20,80.90,82.20,78.30,3.9,4.98
NBCC (India),141.30,134.85,141.30,134.60,6.7,4.98
TV18 Broadcast,61.35,59.50,61.35,58.45,2.9,4.96
Sundaram Fin,"4,110.70","3,914.05","4,063.85","3,872.15",191.7,4.95
Indian Bank,545.50,521.50,543.20,517.75,25.45,4.92
Metro Brands,"1,183.20","1,113.85","1,177.95","1,123.35",54.6,4.86
SJVN,128.50,120.95,126.30,120.50,5.8,4.81
Minda Corp,442.15,422.20,425.75,406.25,19.5,4.8
Medplus Health,719.00,680.80,713.00,680.80,32.2,4.73
ITI,334.85,317.80,327.25,312.50,14.75,4.72
Jindal Saw,534.40,506.00,525.20,502.05,23.15,4.61
Bayer CropScien,"6,141.30","5,822.00","6,116.25","5,852.05",264.2,4.51
NHPC,98.90,94.05,96.80,92.85,3.95,4.25
Delta Corp,146.85,140.20,145.85,140.05,5.8,4.14
Devyani Int,166.25,159.65,165.20,158.75,6.45,4.06
JSW Energy,501.90,480.50,499.25,480.45,18.8,3.91
Hitachi Energy,"6,250.00","5,976.45","6,213.60","5,980.85",232.75,3.89
Sanofi India,"9,320.00","8,944.85","9,189.45","8,849.45",340,3.84
Mazagon Dock,"2,195.75","2,100.10","2,165.35","2,087.25",78.1,3.74
New India Assur,306.70,278.35,296.45,285.85,10.6,3.71
Natco Pharma,"1,108.35","1,036.50","1,064.45","1,026.50",37.95,3.7
Oil India,610.00,574.20,594.20,573.65,20.55,3.58
MCX India,"3,724.95","3,593.05","3,708.90","3,584.75",124.15,3.46
Godawari Power,824.00,783.20,794.85,768.80,26.05,3.39
Balrampur Chini,390.00,380.55,384.35,371.80,12.55,3.38
Emami,483.00,456.65,475.35,460.00,15.35,3.34
Nippon,519.40,500.10,510.70,494.55,16.15,3.27
Patanjali Foods,"1,687.00","1,628.90","1,674.70","1,621.65",53.05,3.27
GMR Airports,92.85,87.75,92.10,89.25,2.85,3.19
Bharat Dynamics,"1,780.00","1,720.35","1,763.50","1,709.90",53.6,3.13
Century,"1,476.50","1,402.15","1,458.10","1,415.15",42.95,3.04
Epigral,"1,094.00","1,036.10","1,084.10","1,052.10",32,3.04
AU Small Financ,603.90,581.70,599.35,581.75,17.6,3.03
