company_name,high,low,last_price,prev_close,change,percent_gain
RITES,767.70,701.20,759.15,667.15,92,13.79
Bandhan Bank,220.00,200.11,218.87,192.50,26.37,13.7
Mazagon Dock,"5,343.95","4,856.00","5,340.40","4,858.15",482.25,9.93
Rail Vikas,607.55,555.55,606.30,552.35,53.95,9.77
Ircon Internati,302.40,277.20,299.10,274.60,24.5,8.92
Ircon Internati,302.40,277.20,299.10,274.60,24.5,8.92
Kaynes Tech,"4,729.00","4,350.05","4,594.15","4,249.95",344.2,8.1
EID Parry,859.95,789.30,843.10,780.20,62.9,8.06
TV18 Broadcast,47.75,44.34,47.33,44.00,3.33,7.57
NBCC (India),188.80,173.83,187.60,174.52,13.08,7.49
360 ONE WAM,"1,079.00","1,008.05","1,068.15",996.70,71.45,7.17
360 ONE WAM,"1,079.00","1,008.05","1,068.15",996.70,71.45,7.17
Deepak Fert,932.50,865.35,919.25,862.25,57,6.61
IRFC,197.50,184.64,195.27,183.44,11.83,6.45
CAMS,"4,320.00","4,031.75","4,284.60","4,031.75",252.85,6.27
Adani Wilmar,349.70,327.10,344.60,325.15,19.45,5.98
KNR Construct,392.50,368.60,389.10,367.40,21.7,5.91
City Union Bank,174.80,162.09,169.22,159.81,9.41,5.89
IEX,190.39,178.05,187.04,176.66,10.38,5.88
PNB,128.80,123.54,127.00,119.95,7.05,5.88
SUMITOMO,540.45,518.05,533.75,504.45,29.3,5.81
Gujarat Pipavav,238.80,220.40,232.73,220.27,12.46,5.66
Grindwell Norto,"2,787.30","2,603.05","2,736.35","2,590.85",145.5,5.62
Archean Chem,787.00,732.75,773.80,732.75,41.05,5.6
Apar Ind,"8,871.90","8,201.00","8,653.80","8,200.35",453.45,5.53
FDC,547.20,508.40,529.20,502.10,27.1,5.4
Nuvama Wealth,"6,137.95","5,720.00","6,010.00","5,703.25",306.75,5.38
HFCL,131.00,123.50,129.82,123.25,6.57,5.33
Godawari Power,"1,120.00","1,050.20","1,097.90","1,042.45",55.45,5.32
