company_name,high,low,last_price,prev_close,change,percent_gain
DCM Shriram,"1,145.95",997.95,"1,106.80",997.95,108.85,10.91
Orient Electric,239.00,219.95,235.50,217.85,17.65,8.1
CenturyPlyboard,849.50,773.25,821.80,768.70,53.10,6.91
GE Shipping,994.70,931.00,982.20,923.00,59.20,6.41
IRFC,101.50,94.50,100.10,94.35,5.75,6.09
Oil India,347.10,326.00,341.40,322.00,19.40,6.02
Coal India,369.75,346.50,366.95,347.65,19.30,5.55
Hind Copper,209.20,198.00,207.75,197.05,10.70,5.43
BEML,"2,752.45","2,575.00","2,704.35","2,565.40",138.95,5.42
Devyani Int,197.50,189.00,192.80,183.05,9.75,5.33
Aarti Drugs,520.00,497.00,517.60,492.85,24.75,5.02
Indiabulls Real,98.80,90.80,96.20,91.65,4.55,4.96
Nestle,"25,705.00","24,510.90","25,489.70","24,354.25","1,135.45",4.66
Greenpanel Ind,383.90,360.00,379.50,363.35,16.15,4.44
IOB,47.50,44.70,46.65,44.70,1.95,4.36
Kajaria Ceramic,"1,433.30","1,367.80","1,419.00","1,365.65",53.35,3.91
HFCL,82.10,76.85,81.05,78.10,2.95,3.78
NLC India,213.70,201.15,209.70,202.20,7.50,3.71
Varun Beverages,"1,178.00","1,135.55","1,171.65","1,132.00",39.65,3.5
Varun Beverages,"1,178.00","1,135.55","1,171.65","1,132.00",39.65,3.5
Motilal Oswal,"1,291.05","1,230.70","1,282.50","1,240.60",41.90,3.38
India Cements,270.40,258.50,268.75,260.00,8.75,3.37
Castrol,154.60,148.00,152.45,147.60,4.85,3.29
Voltas,904.50,868.35,897.10,868.75,28.35,3.26
NOCIL,276.15,261.50,273.60,265.05,8.55,3.23
IIFL Finance,671.00,645.10,663.80,643.10,20.70,3.22
Adani Energy,"1,088.70","1,031.15","1,076.20","1,043.05",33.15,3.18
HDFC AMC,"3,132.20","3,012.10","3,122.05","3,027.85",94.20,3.11
MRPL,134.75,129.00,131.25,127.40,3.85,3.02
Central Bank,53.00,50.25,52.05,50.55,1.50,2.97
Cochin Shipyard,"1,337.45","1,272.00","1,307.90","1,270.40",37.50,2.95
Capri Global,791.00,761.55,784.60,763.90,20.70,2.71
KSB Pumps,"3,449.00","3,308.70","3,426.30","3,337.95",88.35,2.65
Delta Corp,152.40,143.55,145.75,142.05,3.70,2.6
Hikal,309.40,298.30,302.95,295.60,7.35,2.49
Sterling Wilson,454.00,441.05,443.05,432.40,10.65,2.46
Campus Active,286.95,276.30,284.40,277.60,6.80,2.45
Colgate,"2,432.00","2,357.20","2,420.60","2,363.20",57.40,2.43
Aegis Logistics,381.45,366.75,377.40,368.65,8.75,2.37
Jyothy Labs,498.15,461.15,471.35,461.15,10.20,2.21
Avanti Feeds,409.00,398.05,405.55,396.85,8.70,2.19
Vijaya Diagnost,648.95,625.00,628.45,615.15,13.30,2.16
NTPC,312.50,302.50,309.65,303.20,6.45,2.13
Piramal Pharma,132.35,127.00,129.30,126.60,2.70,2.13
ICICI Securitie,777.00,728.45,748.15,732.70,15.45,2.11
GMM Pfaudler,"1,554.90","1,502.40","1,546.80","1,515.20",31.60,2.09
ZFCVINDIA,"15,950.70","15,444.80","15,828.55","15,509.45",319.10,2.06
TV18 Broadcast,51.70,49.80,50.80,49.80,1.00,2.01
Havells India,"1,375.00","1,332.20","1,372.40","1,345.85",26.55,1.97
Fine Organics,"4,698.50","4,592.90","4,661.40","4,572.95",88.45,1.93
Fortis Health,401.65,394.20,399.90,392.35,7.55,1.92
Godrej Consumer,"1,057.95","1,027.30","1,050.35","1,030.60",19.75,1.92
PNC Infratech,364.00,347.60,349.35,342.95,6.40,1.87
Archean Chem,628.90,616.00,622.10,611.50,10.60,1.73
TATA Cons. Prod,978.00,949.15,966.15,949.70,16.45,1.73
Godrej Ind,701.55,680.90,692.45,680.90,11.55,1.7
Network 18,88.65,86.25,87.65,86.20,1.45,1.68
Cipla,"1,240.15","1,212.20","1,237.10","1,216.80",20.30,1.67
Bank of India,114.70,109.60,113.35,111.50,1.85,1.66
Aether Ind,950.00,879.95,924.00,909.35,14.65,1.61
Bikaji Foods,548.00,534.05,544.45,535.85,8.60,1.6
Krishna Inst.,"1,995.00","1,954.05","1,978.10","1,947.80",30.30,1.56
Godfrey Phillip,"2,119.85","2,075.00","2,102.50","2,070.40",32.10,1.55
TTK Prestige,762.90,748.05,759.60,748.20,11.40,1.52
Dixon Technolog,"6,483.70","6,316.00","6,366.20","6,271.55",94.65,1.51
Global Health,950.00,921.20,936.45,922.80,13.65,1.48
Reliance,"2,573.90","2,525.20","2,558.10","2,521.00",37.10,1.47
3M India,"31,580.00","31,000.00","31,469.45","31,016.05",453.40,1.46
Dabur India,551.50,539.70,548.20,540.50,7.70,1.42
Marico,550.00,537.45,547.85,540.45,7.40,1.37
Narayana Hruda,"1,196.45","1,180.55","1,193.25","1,177.20",16.05,1.36
Century,"1,237.70","1,192.60","1,222.45","1,206.15",16.30,1.35
Ramco Cements,"1,034.50","1,010.00","1,026.35","1,012.65",13.70,1.35
Quess Corp,528.45,511.85,520.00,513.15,6.85,1.33
Zomato,131.75,127.40,130.25,128.55,1.70,1.32
Indian Bank,450.50,439.70,446.85,441.20,5.65,1.28
Rainbow Child,"1,170.00","1,149.20","1,165.65","1,151.25",14.40,1.25
Torrent Pharma,"2,184.50","2,147.60","2,170.55","2,144.20",26.35,1.23
Swan Energy,509.40,486.25,500.60,494.55,6.05,1.22
BSE Limited,"2,420.00","2,334.30","2,400.35","2,371.75",28.60,1.21
Sharda Crop,442.90,432.60,437.85,432.60,5.25,1.21
Metropolis,"1,678.00","1,617.10","1,638.40","1,619.25",19.15,1.18
Varroc Engineer,539.40,528.30,533.20,527.00,6.20,1.18
Bharat Forge,"1,230.00","1,197.55","1,220.90","1,206.80",14.10,1.17
Jubilant Ing.,483.90,476.95,481.35,475.80,5.55,1.17
Hinduja Global,"1,025.00",995.50,"1,014.95","1,003.40",11.55,1.15
HEG,"1,849.00","1,784.70","1,824.50","1,804.00",20.50,1.14
One 97 Paytm,626.00,618.30,622.70,615.80,6.90,1.12
Delhivery,368.00,360.20,363.95,359.95,4.00,1.11
Nippon,454.30,442.50,449.05,444.10,4.95,1.11
Nuvoco Vistas,383.95,370.80,374.70,370.65,4.05,1.09
General Insuran,334.95,320.35,323.05,319.60,3.45,1.08
Medplus Health,767.90,760.00,765.40,757.20,8.20,1.08
Welspun Corp,548.75,532.70,538.30,532.55,5.75,1.08
