company_name,high,low,last_price,prev_close,change,percent_gain
Castrol,252.00,214.63,243.17,214.18,28.99,13.54
HUDCO,304.00,280.00,301.95,278.35,23.6,8.48
Gujarat Pipavav,232.95,213.58,230.50,212.92,17.58,8.26
Mazagon Dock,"4,728.60","4,320.00","4,684.55","4,329.55",355,8.2
MMTC Ltd,91.00,79.51,85.66,79.26,6.4,8.07
Cochin Shipyard,"2,463.00","2,246.40","2,436.35","2,260.65",175.7,7.77
Cochin Shipyard,"2,463.00","2,246.40","2,436.35","2,260.65",175.7,7.77
KNR Construct,366.90,343.05,363.30,340.80,22.5,6.6
Cello World,970.00,905.20,960.10,901.05,59.05,6.55
Triveni Turbine,651.00,604.00,645.10,607.50,37.6,6.19
Power Finance,533.25,510.50,531.05,502.65,28.4,5.65
FDC,509.90,470.60,497.05,470.60,26.45,5.62
HFCL,120.62,112.65,118.71,112.66,6.05,5.37
Sterling Wilson,723.80,696.15,723.80,689.35,34.45,5
Restaurant Bran,108.75,102.39,107.31,102.21,5.1,4.99
BHEL,313.50,297.60,311.30,297.15,14.15,4.76
RamkrishnaForge,964.95,909.75,958.95,915.75,43.2,4.72
Glenmark Life,972.00,877.15,925.35,884.75,40.6,4.59
Bajaj Holdings,"9,349.00","8,820.55","9,296.75","8,896.45",400.3,4.5
Bandhan Bank,211.70,202.42,211.13,202.24,8.89,4.4
RBL Bank,270.30,258.30,269.55,258.25,11.3,4.38
REC,564.20,549.30,562.30,539.20,23.1,4.28
Hitachi Energy,"14,382.00","13,405.20","13,959.50","13,393.45",566.05,4.23
Piramal Enter,946.50,910.00,943.60,905.55,38.05,4.2
NBCC (India),170.41,161.30,169.03,162.28,6.75,4.16
Solar Ind,"12,539.25","10,725.00","11,476.10","11,019.10",457,4.15
HBL Power,525.00,502.50,523.80,503.20,20.6,4.09
SJVN,137.00,130.61,136.35,131.00,5.35,4.08
SignatureGlobal,"1,484.00","1,426.00","1,477.05","1,419.30",57.75,4.07
Shyam Metalics,737.15,706.00,732.75,704.45,28.3,4.02
Welspun Corp,602.00,570.00,592.35,569.65,22.7,3.98
TATA Cons. Prod,"1,148.60","1,112.05","1,146.35","1,105.00",41.35,3.74
