company_name,high,low,last_price,prev_close,change,percent_gain
MRPL,91.00,78.40,88.80,79.25,9.55,12.05
Bombay Burmah,"1,112.00","1,010.25","1,102.05","1,012.75",89.30,8.82
Aegis Logistics,358.00,328.30,353.05,328.25,24.80,7.56
Welspun Corp,288.90,267.50,285.55,266.85,18.70,7.01
BHEL,93.40,87.10,92.95,86.90,6.05,6.96
Sun Pharma Adv,220.00,206.50,218.65,205.75,12.90,6.27
MOTHERSON,93.65,88.65,90.30,85.15,5.15,6.05
Mastek,"2,032.00","1,910.45","2,017.25","1,907.00",110.25,5.78
Bajaj Auto,"4,900.00","4,633.00","4,890.05","4,625.40",264.65,5.72
Century,933.30,874.20,928.55,878.30,50.25,5.72
Divis Labs,"3,775.00","3,563.15","3,747.95","3,550.10",197.85,5.57
Rashtriya Chem,117.25,109.80,116.25,110.15,6.10,5.54
Colgate,"1,800.00","1,713.90","1,793.70","1,705.40",88.30,5.18
SJVN,44.40,41.40,44.00,42.00,2.00,4.76
MMTC Ltd,34.50,31.90,33.40,31.90,1.50,4.7
CDSL,"1,200.00","1,147.00","1,196.55","1,144.15",52.40,4.58
Jindal Worldwid,330.40,303.00,321.40,307.60,13.80,4.49
RBL Bank,194.20,183.20,190.65,182.50,8.15,4.47
Asahi India,543.00,508.00,534.20,511.55,22.65,4.43
Hero Motocorp,"3,172.00","3,030.20","3,158.20","3,029.80",128.40,4.24
HINDPETRO,292.25,276.50,290.80,279.10,11.70,4.19
C. E. Info Syst,"1,244.00","1,180.10","1,235.50","1,186.60",48.90,4.12
HDFC Life,675.95,645.05,673.60,647.00,26.60,4.11
Karur Vysya,137.75,129.00,133.15,128.40,4.75,3.7
Maruti Suzuki,"10,036.95","9,675.00","9,992.30","9,647.40",344.90,3.58
UTI AMC,818.50,778.50,809.60,781.75,27.85,3.56
Indiabulls Hsg,131.50,126.55,130.50,126.20,4.30,3.41
Jindal Stainles,354.90,341.50,353.65,342.15,11.50,3.36
Godrej Consumer,"1,100.00","1,060.00","1,096.95","1,061.90",35.05,3.3
BLS Internation,211.70,202.40,210.65,204.00,6.65,3.26
Torrent Power,619.90,592.90,609.70,590.90,18.80,3.18
Exide Ind,247.30,238.60,246.45,239.45,7.00,2.92
Motilal Oswal,742.00,720.00,738.70,718.15,20.55,2.86
PNC Infratech,339.70,327.60,337.85,328.50,9.35,2.85
IDFC,116.85,110.45,114.30,111.20,3.10,2.79
Welspun India,98.10,93.80,97.00,94.40,2.60,2.75
PNB,59.10,56.80,58.60,57.05,1.55,2.72
Hitachi Energy,"4,288.00","4,105.05","4,218.75","4,108.00",110.75,2.7
Poonawalla Fin,376.00,359.00,368.40,358.75,9.65,2.69
Varun Beverages,829.50,803.15,825.65,804.05,21.60,2.69
Varun Beverages,829.50,803.15,825.65,804.05,21.60,2.69
