company_name,high,low,last_price,prev_close,change,percent_gain
Hitachi Energy,"10,849.95","9,710.45","10,745.65","9,786.60",959.05,9.8
ITI,322.80,285.80,313.55,285.60,27.95,9.79
Thermax,"5,382.40","4,723.95","5,087.80","4,695.55",392.25,8.35
Brigade Ent,"1,098.00","1,008.90","1,081.15","1,002.05",79.10,7.89
Jubilant Ing.,562.25,500.00,548.50,511.60,36.90,7.21
Siemens,"7,240.00","6,926.00","7,119.30","6,660.45",458.85,6.89
SKF India,"5,375.00","5,049.00","5,328.75","5,003.55",325.20,6.5
Timken,"4,019.95","3,676.35","3,972.45","3,732.70",239.75,6.42
LIC India,999.35,932.55,990.00,931.00,59.00,6.34
Linde India,"9,043.00","8,265.00","8,775.30","8,281.90",493.40,5.96
BSE Limited,"2,869.00","2,714.75","2,840.90","2,682.65",158.25,5.9
Sundram,"1,225.00","1,135.75","1,210.70","1,143.50",67.20,5.88
KEC Intl,789.00,717.00,760.75,719.90,40.85,5.67
KSB Pumps,"4,889.95","4,580.15","4,829.10","4,573.10",256.00,5.6
Vijaya Diagnost,837.95,764.55,802.35,760.35,42.00,5.52
CG Power ,649.50,606.55,641.50,608.70,32.80,5.39
Varroc Engineer,551.50,516.05,547.05,519.45,27.60,5.31
Fert and Chem,709.00,663.00,694.55,660.30,34.25,5.19
Triveni Turbine,586.80,556.10,584.65,556.55,28.10,5.05
Canara Bank,119.60,116.00,119.00,113.31,5.69,5.02
Jai Balaji Ind,963.35,932.55,963.35,917.50,45.85,5
Sterling Wilson,759.50,731.30,759.50,723.35,36.15,5
Suzlon Energy,42.20,40.05,42.20,40.20,2.00,4.98
Olectra Greente,"1,726.40","1,635.15","1,709.70","1,629.20",80.50,4.94
Sobha,"1,802.00","1,725.00","1,788.30","1,704.10",84.20,4.94
Cello World,946.00,899.50,940.55,897.15,43.40,4.84
Jupiter Wagons,523.00,494.00,512.70,490.05,22.65,4.62
Sanofi India,"8,597.00","7,950.10","8,352.25","7,992.15",360.10,4.51
Indian Bank,539.95,514.60,535.60,513.25,22.35,4.35
Sona BLW,608.00,581.40,604.55,579.70,24.85,4.29
Deepak Fert,567.40,533.00,552.75,530.05,22.70,4.28
Coal India,470.00,449.50,467.85,448.70,19.15,4.27
Mastek,"2,439.50","2,330.00","2,413.55","2,315.70",97.85,4.23
Supreme Ind,"5,450.00","5,170.05","5,393.75","5,187.40",206.35,3.98
Union Bank,140.60,134.80,138.95,133.65,5.30,3.97
Jubilant Pharmo,731.40,686.15,715.45,688.20,27.25,3.96
Praj Industries,526.85,507.05,522.95,504.15,18.80,3.73
Prestige Estate,"1,557.00","1,480.05","1,545.05","1,490.30",54.75,3.67
Cipla,"1,428.45","1,386.70","1,406.70","1,357.35",49.35,3.64
Oberoi Realty,"1,629.05","1,537.35","1,574.15","1,519.25",54.90,3.61
Swan Energy,590.20,573.35,582.30,562.10,20.20,3.59
Interglobe Avi,"4,314.40","4,134.60","4,295.50","4,147.35",148.15,3.57
Power Finance,441.40,422.70,436.55,421.60,14.95,3.55
Sonata,540.00,511.15,527.85,509.80,18.05,3.54
General Insuran,347.10,329.25,341.00,329.50,11.50,3.49
V-Guard Ind,378.95,355.00,366.85,354.55,12.30,3.47
PB Fintech,"1,305.10","1,233.00","1,271.65","1,229.40",42.25,3.44
Cyient,"1,766.85","1,695.15","1,753.30","1,695.15",58.15,3.43
New India Assur,242.00,225.35,233.70,225.95,7.75,3.43
Cera Sanitary,"7,301.00","6,954.90","7,173.80","6,944.20",229.60,3.31
Borosil Renew,518.00,492.60,504.30,488.30,16.00,3.28
Patanjali Foods,"1,390.00","1,332.00","1,378.70","1,335.00",43.70,3.27
Carborundum,"1,538.45","1,499.35","1,533.50","1,486.30",47.20,3.18
CDSL,"2,144.00","2,062.00","2,121.70","2,056.55",65.15,3.17
BPCL,628.00,607.05,625.05,605.95,19.10,3.15
Zensar Tech,633.00,606.00,623.00,603.95,19.05,3.15
Clean Science,"1,336.50","1,292.55","1,327.55","1,287.25",40.30,3.13
Cummins,"3,704.00","3,564.15","3,683.20","3,571.70",111.50,3.12
Honeywell Autom,"50,101.00","47,315.00","49,285.45","47,826.35","1,459.10",3.05
Vedant Fashions,"1,046.25","1,008.65","1,041.05","1,010.45",30.60,3.03
Kalyan Jeweller,410.00,399.05,409.15,397.30,11.85,2.98
Amara Raja,"1,139.95","1,095.00","1,123.15","1,090.80",32.35,2.97
CAMS,"3,324.00","3,207.95","3,294.80","3,200.35",94.45,2.95
Rattanindia Ent,72.85,70.30,72.35,70.30,2.05,2.92
Fine Organics,"4,448.75","4,271.00","4,409.15","4,287.00",122.15,2.85
Adani Green Ene,"1,845.00","1,782.65","1,839.15","1,788.80",50.35,2.81
GSFC,234.95,228.50,233.85,227.65,6.20,2.72
HINDPETRO,509.80,496.45,506.70,493.30,13.40,2.72
Kaynes Tech,"2,628.85","2,570.00","2,619.00","2,549.85",69.15,2.71
Laxmi Organic,246.00,237.10,242.80,236.50,6.30,2.66
Angel One,"2,701.00","2,563.45","2,680.90","2,612.05",68.85,2.64
Five-Star Busin,770.50,742.85,767.85,748.10,19.75,2.64
