company_name,high,low,last_price,prev_close,change,percent_gain
Adani Total Gas,695.30,572.55,694.05,579.45,114.6,19.78
Adani Power,525.15,432.15,523.05,437.65,85.4,19.51
Adani Enterpris,"2,418.00","2,142.15","2,397.80","2,150.50",247.3,11.5
Vodafone Idea,8.49,7.52,8.34,7.52,0.82,10.9
Adani Green Ene,988.40,870.25,988.40,898.55,89.85,10
Adani Energy,660.80,588.00,660.80,600.75,60.05,10
Engineers India,203.80,183.50,201.85,184.01,17.84,9.7
Aster DM Health,484.00,439.85,478.60,439.85,38.75,8.81
Adani Wilmar,317.95,287.05,314.75,290.45,24.3,8.37
Garden Reach Sh,"1,700.00","1,535.60","1,666.65","1,539.80",126.85,8.24
Bharat Dynamics,"1,130.00","1,032.25","1,116.75","1,032.10",84.65,8.2
Bharat Dynamics,"1,130.00","1,032.25","1,116.75","1,032.10",84.65,8.2
Aditya Birla Re,"2,817.00","2,604.95","2,796.20","2,599.45",196.75,7.57
Jaiprakash Pow,17.50,16.19,17.37,16.25,1.12,6.89
Ircon Internati,212.45,196.60,211.14,197.59,13.55,6.86
Ircon Internati,212.45,196.60,211.14,197.59,13.55,6.86
Himadri Special,537.00,493.25,531.75,498.75,33,6.62
HBL Power,618.80,578.50,616.40,578.95,37.45,6.47
Adani Ports,"1,231.70","1,102.00","1,199.95","1,128.85",71.1,6.3
Quess Corp,717.00,652.05,691.75,651.60,40.15,6.16
KEI Industries,"4,399.00","4,115.00","4,319.75","4,071.40",248.35,6.1
Kirloskar Bros,"2,365.00","2,224.40","2,353.40","2,228.40",125,5.61
Mazagon Dock,"4,500.00","4,244.25","4,469.65","4,234.15",235.5,5.56
CCL Products,798.00,745.10,793.25,753.60,39.65,5.26
Olectra Greente,"1,579.75","1,490.05","1,571.15","1,493.60",77.55,5.19
Sonata,631.80,589.05,628.20,597.95,30.25,5.06
Cochin Shipyard,"1,504.05","1,460.00","1,504.05","1,432.45",71.6,5
Cochin Shipyard,"1,504.05","1,460.00","1,504.05","1,432.45",71.6,5
Valor Estate,172.40,161.00,170.32,162.38,7.94,4.89
TITAGARH,"1,209.50","1,140.55","1,201.90","1,147.20",54.7,4.77
PCBL,436.50,411.85,430.75,411.35,19.4,4.72
Exide Ind,446.60,425.65,445.05,425.80,19.25,4.52
ABSL AMC,890.00,843.25,883.50,845.35,38.15,4.51
Aadhar Housing ,428.00,406.00,423.90,406.20,17.7,4.36
BEML,"4,200.00","4,018.60","4,188.80","4,015.25",173.55,4.32
Ambuja Cements,523.50,489.05,515.00,493.70,21.3,4.31
ACC,"2,233.50","2,094.95","2,206.70","2,116.20",90.5,4.28
HFCL,134.15,127.49,133.54,128.23,5.31,4.14
Railtel,412.00,391.45,408.95,392.95,16,4.07
CG Power ,767.90,738.10,764.30,735.45,28.85,3.92
Bikaji Foods,815.05,775.00,811.80,781.95,29.85,3.82
Linde India,"7,100.00","6,758.90","7,045.05","6,789.00",256.05,3.77
360 ONE WAM,"1,148.00","1,101.70","1,132.00","1,092.15",39.85,3.65
360 ONE WAM,"1,148.00","1,101.70","1,132.00","1,092.15",39.85,3.65
One 97 Paytm,925.00,886.85,918.95,886.60,32.35,3.65
Indian Renew,198.40,189.50,197.19,190.43,6.76,3.55
HUDCO,222.89,210.85,220.42,212.89,7.53,3.54
Jupiter Wagons,474.20,454.65,472.15,456.25,15.9,3.48
Bank of India,112.20,107.35,111.53,107.79,3.74,3.47
Marico,653.70,622.35,649.90,628.35,21.55,3.43
IEX,172.89,166.33,171.71,166.13,5.58,3.36
Schneider Infra,833.45,798.00,830.00,803.00,27,3.36
Syrma SGS,581.00,548.80,564.00,545.90,18.1,3.32
JBM Auto,"1,543.25","1,479.00","1,536.70","1,488.55",48.15,3.23
Welspun Living,153.53,148.55,152.84,148.13,4.71,3.18
Bharat Elec,307.95,297.45,307.35,297.90,9.45,3.17
Campus Active,278.30,268.00,277.20,268.75,8.45,3.14
Amara Raja,"1,274.90","1,225.60","1,269.95","1,231.40",38.55,3.13
Delhivery,353.75,335.15,347.10,336.65,10.45,3.1
Zensar Tech,774.65,750.00,770.25,747.85,22.4,3
Sterling Wilson,497.45,475.80,494.40,480.00,14.4,3
Finolex Ind,272.85,262.35,270.95,263.50,7.45,2.83
SRF,"2,300.00","2,225.00","2,296.60","2,234.65",61.95,2.77
Rajesh Exports,241.95,229.80,236.20,229.95,6.25,2.72
Data Patterns,"2,425.00","2,352.25","2,420.85","2,357.60",63.25,2.68
