company_name,high,low,last_price,prev_close,change,percent_gain
Adani Total Gas,"1,053.40",906.50,"1,053.30",877.85,175.45,19.99
Adani Green Ene,"1,608.00","1,463.25","1,563.45","1,348.50",214.95,15.94
Rashtriya Chem,154.70,135.95,152.90,135.75,17.15,12.63
Balaji Amines,"2,375.00","2,061.00","2,307.60","2,056.80",250.8,12.19
Fert and Chem,813.10,739.00,813.10,739.20,73.9,10
Network 18,100.40,90.80,98.45,90.80,7.65,8.43
Cochin Shipyard,"1,294.40","1,174.10","1,279.95","1,181.35",98.6,8.35
Jyothy Labs,481.00,442.00,476.70,442.35,34.35,7.77
G R Infra,"1,236.05","1,125.00","1,214.40","1,127.05",87.35,7.75
TV18 Broadcast,56.90,53.00,56.20,52.20,4,7.66
Adani Energy,"1,246.00","1,102.15","1,164.30","1,084.40",79.9,7.37
Chambal Fert,354.00,329.00,351.85,328.35,23.5,7.16
Angel One,"3,245.05","2,977.20","3,142.05","2,938.10",203.95,6.94
360 ONE WAM,657.80,609.80,649.45,608.10,41.35,6.8
360 ONE WAM,657.80,609.80,649.45,608.10,41.35,6.8
Shyam Metalics,520.00,486.00,514.50,482.55,31.95,6.62
Hindustan Aeron,"2,754.15","2,556.55","2,714.60","2,552.95",161.65,6.33
Hindustan Aeron,"2,754.15","2,556.55","2,714.60","2,552.95",161.65,6.33
Bank of India,117.70,110.10,116.65,110.20,6.45,5.85
JSW Energy,442.95,416.50,439.00,415.20,23.8,5.73
Epigral,982.60,906.35,960.70,908.90,51.8,5.7
Mazagon Dock,"2,142.00","1,986.10","2,114.60","2,001.30",113.3,5.66
Solar Ind,"6,400.00","5,999.45","6,273.90","5,937.65",336.25,5.66
Alkyl Amines,"2,374.95","2,175.00","2,297.35","2,175.80",121.55,5.59
Raymond,"1,680.00","1,590.20","1,673.30","1,584.90",88.4,5.58
GSFC,228.25,212.90,224.10,213.40,10.7,5.01
Sterling Wilson,388.25,375.00,388.25,369.80,18.45,4.99
Deepak Fert,677.75,638.25,671.45,639.75,31.7,4.96
Gujarat Pipavav,152.95,145.15,151.25,144.30,6.95,4.82
Tata Power,298.60,280.20,294.15,281.50,12.65,4.49
LIC India,750.80,714.00,746.00,714.05,31.95,4.47
Patanjali Foods,"1,586.55","1,508.30","1,576.95","1,511.00",65.95,4.36
Rossari,838.80,787.00,831.10,796.55,34.55,4.34
Adani Power,589.45,539.00,560.45,538.15,22.3,4.14
Indiamart Inter,"2,726.00","2,599.90","2,709.40","2,601.90",107.5,4.13
Adani Wilmar,410.50,385.00,396.35,380.65,15.7,4.12
Garware Technic,"3,463.85","3,291.10","3,431.55","3,299.90",131.65,3.99
Laxmi Organic,288.80,275.20,285.85,275.00,10.85,3.95
L&T Technology,"4,880.75","4,690.30","4,858.95","4,675.30",183.65,3.93
SAIL,101.10,95.50,99.35,95.75,3.6,3.76
Bharat Dynamics,"1,304.00","1,226.90","1,285.45","1,241.00",44.45,3.58
Wipro,420.40,405.95,418.75,404.35,14.4,3.56
Chalet Hotels,594.90,570.10,589.60,569.40,20.2,3.55
IRCTC,749.90,716.60,740.50,715.10,25.4,3.55
Glenmark,819.00,778.80,806.50,779.05,27.45,3.52
GNFC,744.00,712.50,737.45,712.55,24.9,3.49
Lemon Tree,119.50,114.55,118.65,114.65,4,3.49
Guj Amb Exports,396.00,370.10,380.45,367.70,12.75,3.47
Timken,"3,185.00","3,052.65","3,172.75","3,071.05",101.7,3.31
NALCO,100.70,95.75,99.25,96.25,3,3.12
Rain Industries,151.50,145.10,149.50,145.00,4.5,3.1
EID Parry,578.90,546.90,565.10,548.30,16.8,3.06
Uflex,478.00,455.10,469.65,455.70,13.95,3.06
Tata Chemicals,"1,029.90",995.00,"1,011.90",983.20,28.7,2.92
Vedanta,252.20,240.80,249.45,242.40,7.05,2.91
LTIMindtree,"5,669.90","5,508.50","5,639.85","5,487.65",152.2,2.77
Infibeam Avenue,21.10,20.10,20.65,20.10,0.55,2.74
Bharat Elec,157.15,151.85,156.15,152.00,4.15,2.73
IEX,149.30,144.20,147.75,143.85,3.9,2.71
PB Fintech,850.00,818.00,843.65,821.95,21.7,2.64
RBL Bank,256.00,245.00,253.00,246.60,6.4,2.6
ITC,464.50,452.10,463.25,451.75,11.5,2.55
Zee Entertain,259.30,252.80,258.05,251.70,6.35,2.52
Birlasoft,659.85,640.05,653.35,637.60,15.75,2.47
Petronet LNG,212.35,206.55,211.20,206.15,5.05,2.45
Rattanindia Ent,83.20,78.00,79.95,78.05,1.9,2.43
Avenue Supermar,"4,175.00","4,039.00","4,137.15","4,039.55",97.6,2.42
Guj Alkali,767.95,743.75,753.75,736.40,17.35,2.36
Larsen,"3,401.00","3,321.00","3,392.30","3,315.45",76.85,2.32
Union Bank,118.50,112.45,117.20,114.60,2.6,2.27
Coromandel Int,"1,244.90","1,213.00","1,232.65","1,205.55",27.1,2.25
Indian Bank,420.80,409.00,419.15,410.05,9.1,2.22
NHPC,60.65,59.05,60.20,58.90,1.3,2.21
Bajaj Holdings,"7,950.00","7,720.00","7,879.00","7,709.25",169.75,2.2
REC,408.00,392.10,400.60,392.10,8.5,2.17
TCS,"3,612.85","3,525.15","3,604.10","3,531.60",72.5,2.05
Oracle Fin Serv,"4,152.45","4,038.80","4,111.25","4,031.30",79.95,1.98
KNR Construct,275.05,268.05,273.70,268.45,5.25,1.96
Kansai Nerolac,334.00,322.80,328.65,322.50,6.15,1.91
Tata Motors,724.80,709.00,722.45,708.95,13.5,1.9
Tata Motors,724.80,709.00,722.45,708.95,13.5,1.9
Zomato,119.70,116.60,118.90,116.75,2.15,1.84
C. E. Info Syst,"2,250.05","2,175.25","2,215.25","2,175.95",39.3,1.81
NMDC Steel,46.40,44.05,45.30,44.50,0.8,1.8
