company_name,high,low,last_price,prev_close,change,percent_gain
Vodafone Idea,13.55,11.80,12.80,11.85,0.95,8.02
Rattanindia Ent,57.40,53.70,54.75,51.70,3.05,5.9
Blue Star,949.00,888.45,934.30,884.65,49.65,5.61
Birlasoft,583.30,544.20,574.20,547.65,26.55,4.85
INDUS TOWERS,183.70,172.45,180.60,172.40,8.2,4.76
AIA Engineering,"3,729.85","3,484.25","3,679.35","3,515.55",163.8,4.66
Bombay Burmah,"1,491.70","1,354.00","1,413.35","1,353.85",59.5,4.39
Phoenix Mills,"1,905.00","1,820.20","1,894.80","1,815.35",79.45,4.38
Relaxo Footwear,959.00,891.00,936.60,898.00,38.6,4.3
Godfrey Phillip,"2,382.00","2,265.00","2,360.75","2,264.00",96.75,4.27
Ajanta Pharma,"1,854.00","1,750.00","1,827.55","1,763.20",64.35,3.65
Granules India,340.50,322.75,337.40,325.90,11.5,3.53
Supreme Ind,"4,513.75","4,250.15","4,476.05","4,329.25",146.8,3.39
Karur Vysya,149.85,143.20,147.90,143.10,4.8,3.35
Vedanta,226.90,216.30,223.75,216.60,7.15,3.3
Zee Entertain,272.30,255.15,267.70,259.20,8.5,3.28
CCL Products,613.80,593.00,609.35,590.15,19.2,3.25
Easy Trip,41.10,39.40,40.80,39.55,1.25,3.16
Easy Trip,41.10,39.40,40.80,39.55,1.25,3.16
Clean Science,"1,349.95","1,295.35","1,345.30","1,304.20",41.1,3.15
CDSL,"1,522.50","1,465.00","1,501.75","1,456.15",45.6,3.13
EPL,187.20,180.25,186.20,180.55,5.65,3.13
IOC,93.00,90.45,92.45,89.70,2.75,3.07
Kalyan Jeweller,302.50,286.15,297.35,288.70,8.65,3
Cyient,"1,642.50","1,587.00","1,635.20","1,588.45",46.75,2.94
Finolex Cables,931.60,883.35,922.65,896.55,26.1,2.91
KEI Industries,"2,494.00","2,411.65","2,470.10","2,402.40",67.7,2.82
Suprajit Eng,374.95,366.20,373.85,363.80,10.05,2.76
Sapphire Foods,"1,339.70","1,297.05","1,329.45","1,295.45",34,2.62
Indian Bank,432.45,416.15,431.00,420.05,10.95,2.61
Galaxy Surfacta,"2,812.55","2,684.05","2,799.05","2,729.75",69.3,2.54
Sun Pharma,"1,132.55","1,082.60","1,116.20","1,088.60",27.6,2.54
MCX India,"2,406.90","2,337.85","2,387.85","2,330.90",56.95,2.44
Devyani Int,186.55,179.70,184.05,179.80,4.25,2.36
Oberoi Realty,"1,181.40","1,135.00","1,164.70","1,137.85",26.85,2.36
Bank of India,98.70,95.05,98.05,95.85,2.2,2.3
Suzlon Energy,31.60,30.60,31.30,30.60,0.7,2.29
Olectra Greente,"1,195.00","1,137.05","1,164.60","1,139.25",25.35,2.23
Welspun Corp,443.50,423.60,434.60,425.20,9.4,2.21
BPCL,358.75,350.55,356.90,349.25,7.65,2.19
Hikal,285.50,274.00,280.35,274.35,6,2.19
