company_name,high,low,last_price,prev_close,change,percent_gain
EIH,229.80,210.25,227.90,211.35,16.55,7.83
Supreme Ind,"4,640.00","4,127.85","4,522.10","4,207.85",314.25,7.47
Vodafone Idea,11.95,10.70,11.65,10.90,0.75,6.88
Finolex Cables,935.00,875.20,921.30,870.95,50.35,5.78
MRPL,106.70,100.05,105.85,100.10,5.75,5.74
Swan Energy,397.80,375.65,390.30,369.20,21.1,5.72
PB Fintech,725.00,664.30,706.30,668.55,37.75,5.65
Intellect Desig,695.50,630.00,679.45,644.15,35.3,5.48
Welspun India,158.00,147.45,153.20,145.70,7.5,5.15
Adani Green Ene,939.80,868.45,915.25,870.90,44.35,5.09
KPIT Tech,"1,213.45","1,128.00","1,185.40","1,128.50",56.9,5.04
Mastek,"2,290.00","2,140.00","2,255.60","2,149.60",106,4.93
MMTC Ltd,54.45,49.70,54.45,51.90,2.55,4.91
Motilal Oswal,"1,026.95",967.00,"1,014.95",969.85,45.1,4.65
Chola Fin Hold,"1,189.95","1,085.10","1,138.20","1,088.95",49.25,4.52
NBCC (India),68.45,63.15,67.10,64.25,2.85,4.44
Elgi Equipments,504.00,480.00,501.20,481.15,20.05,4.17
Birla Corp,"1,230.90","1,158.05","1,226.30","1,178.40",47.9,4.06
Prism Johnson,144.40,136.05,141.35,135.85,5.5,4.05
Godfrey Phillip,"2,288.30","2,147.05","2,246.60","2,165.45",81.15,3.75
NLC India,138.80,130.55,135.60,130.80,4.8,3.67
C. E. Info Syst,"2,123.20","1,982.70","2,086.10","2,012.85",73.25,3.64
BLS Internation,258.40,244.95,255.40,246.45,8.95,3.63
BPCL,348.90,337.10,346.90,334.95,11.95,3.57
CDSL,"1,425.00","1,368.05","1,374.35","1,327.10",47.25,3.56
CSB Bank,332.95,316.10,331.20,320.05,11.15,3.48
IRB Infra,35.20,33.55,34.20,33.05,1.15,3.48
IRB Infra,35.20,33.55,34.20,33.05,1.15,3.48
DLF,557.95,531.25,554.45,536.15,18.3,3.41
HLE Glascoat,539.15,503.40,525.85,509.20,16.65,3.27
HLE Glascoat,539.15,503.40,525.85,509.20,16.65,3.27
Piramal Pharma,100.40,94.70,95.45,92.50,2.95,3.19
