company_name,high,low,last_price,prev_close,change,percent_gain
Angel One,"3,258.00","2,866.00","3,224.55","2,723.05",501.5,18.42
Motilal Oswal,941.95,833.50,924.45,826.80,97.65,11.81
Network 18,88.62,78.96,87.09,79.10,7.99,10.1
Vijaya Diagnost,"1,107.65",985.90,"1,075.10",983.00,92.1,9.37
Five-Star Busin,904.00,826.95,894.75,823.65,71.1,8.63
Aegis Logistics,735.00,675.10,727.50,675.45,52.05,7.71
Sunteck Realty,602.75,562.55,596.35,554.40,41.95,7.57
TV18 Broadcast,45.95,42.70,45.27,42.41,2.86,6.74
Jubilant Pharmo,"1,226.00","1,147.00","1,222.00","1,150.35",71.65,6.23
Praj Industries,817.00,764.30,814.50,767.25,47.25,6.16
Firstsource Sol,339.50,318.40,336.50,318.00,18.5,5.82
FDC,568.00,530.55,564.90,534.15,30.75,5.76
Raymond,"1,786.00","1,683.35","1,775.25","1,683.90",91.35,5.42
Fine Organics,"5,350.00","5,056.45","5,324.85","5,052.45",272.4,5.39
Piramal Pharma,234.50,219.65,231.52,219.92,11.6,5.27
Sobha,"1,822.00","1,725.00","1,813.40","1,725.25",88.15,5.11
Sterling Wilson,582.55,552.30,582.55,554.85,27.7,4.99
Mastek,"2,924.00","2,755.00","2,908.25","2,771.50",136.75,4.93
360 ONE WAM,"1,119.85","1,064.95","1,114.75","1,063.60",51.15,4.81
360 ONE WAM,"1,119.85","1,064.95","1,114.75","1,063.60",51.15,4.81
Aditya Birla Re,"2,880.00","2,737.15","2,858.40","2,731.80",126.6,4.63
Rainbow Child,"1,474.10","1,413.65","1,468.95","1,405.90",63.05,4.48
Garden Reach Sh,"1,838.80","1,682.05","1,773.85","1,698.05",75.8,4.46
DCM Shriram,"1,065.00","1,009.50","1,058.45","1,013.45",45,4.44
RHI Magnesita,640.00,595.55,625.80,599.50,26.3,4.39
Apar Ind,"11,000.00","10,450.55","10,956.15","10,500.60",455.55,4.34
Inox Wind,224.80,214.47,223.92,214.86,9.06,4.22
HINDPETRO,426.90,412.25,422.90,405.85,17.05,4.2
GMM Pfaudler,"1,464.00","1,390.15","1,441.95","1,390.15",51.8,3.73
Poly Medicure,"2,499.95","2,373.40","2,475.65","2,387.50",88.15,3.69
Fortis Health,622.50,600.05,619.70,597.70,22,3.68
KNR Construct,330.00,318.45,328.90,317.45,11.45,3.61
Brigade Ent,"1,327.75","1,262.00","1,323.30","1,277.45",45.85,3.59
CESC,196.18,187.94,194.20,187.48,6.72,3.58
Varroc Engineer,599.95,574.40,595.30,575.95,19.35,3.36
Varun Beverages,613.90,587.10,611.05,591.65,19.4,3.28
Varun Beverages,613.90,587.10,611.05,591.65,19.4,3.28
Varun Beverages,613.90,587.10,611.05,591.65,19.4,3.28
Data Patterns,"2,519.95","2,422.00","2,513.00","2,436.45",76.55,3.14
KPR Mill,973.95,932.00,964.35,935.05,29.3,3.13
ZFCVINDIA,"15,779.00","15,250.05","15,674.90","15,212.20",462.7,3.04
JB Chemicals,"1,901.50","1,831.10","1,885.60","1,830.95",54.65,2.98
JB Chemicals,"1,901.50","1,831.10","1,885.60","1,830.95",54.65,2.98
Deepak Nitrite,"2,944.00","2,835.80","2,932.60","2,848.25",84.35,2.96
Linde India,"8,415.00","8,066.00","8,364.00","8,124.50",239.5,2.95
Mazagon Dock,"4,600.00","4,253.05","4,403.15","4,277.60",125.55,2.94
Cochin Shipyard,"1,688.00","1,605.00","1,671.95","1,624.40",47.55,2.93
Cochin Shipyard,"1,688.00","1,605.00","1,671.95","1,624.40",47.55,2.93
UTI AMC,"1,257.65","1,197.00","1,232.90","1,197.85",35.05,2.93
Finolex Cables,"1,350.00","1,295.35","1,345.65","1,307.65",38,2.91
AAVAS Financier,"1,781.80","1,725.00","1,776.35","1,728.05",48.3,2.8
Carborundum,"1,536.75","1,469.15","1,508.30","1,469.15",39.15,2.66
Bikaji Foods,885.00,857.40,882.35,859.55,22.8,2.65
Krishna Inst.,566.80,545.85,559.45,545.20,14.25,2.61
Krishna Inst.,566.80,545.85,559.45,545.20,14.25,2.61
Glenmark Life,"1,219.90","1,160.05","1,202.70","1,172.40",30.3,2.58
R R Kabel,"1,814.80","1,735.05","1,784.75","1,740.40",44.35,2.55
Prestige Estate,"1,909.85","1,851.55","1,902.40","1,855.65",46.75,2.52
SUMITOMO,559.70,540.15,553.10,539.50,13.6,2.52
Phoenix Mills,"1,670.00","1,596.10","1,655.75","1,615.15",40.6,2.51
Usha Martin,451.00,418.05,440.85,430.15,10.7,2.49
Bata India,"1,454.90","1,416.00","1,450.65","1,415.70",34.95,2.47
KEI Industries,"4,725.00","4,551.15","4,690.65","4,579.35",111.3,2.43
EID Parry,838.00,807.65,831.80,812.30,19.5,2.4
Chola Fin Hold,"2,002.45","1,895.30","1,965.20","1,919.35",45.85,2.39
BPCL,351.50,343.90,348.75,340.75,8,2.35
Anand Rathi,"4,151.95","4,042.60","4,135.40","4,041.30",94.1,2.33
