company_name,high,low,last_price,prev_close,change,percent_gain
Syrma SGS,505.10,443.85,505.10,420.95,84.15,19.99
Inox Wind,161.91,137.65,158.95,134.93,24.02,17.8
Linde India,"6,661.00","5,677.00","6,366.00","5,645.90",720.10,12.75
Deepak Fert,"1,252.00","1,124.90","1,240.55","1,118.70",121.85,10.89
CreditAccess Gr,"1,073.40",959.00,"1,059.75",961.00,98.75,10.28
Anant Raj,587.95,542.65,587.95,534.50,53.45,10
Netweb,"1,607.65","1,471.65","1,607.65","1,461.50",146.15,10
Brigade Ent,"1,207.30","1,013.00","1,107.55","1,013.90",93.65,9.24
NMDC Steel,42.32,38.16,41.49,38.15,3.34,8.75
KPIT Tech,"1,404.90","1,223.25","1,366.65","1,259.10",107.55,8.54
Newgen Software,"1,085.60",996.00,"1,070.00",986.95,83.05,8.41
CG Power ,625.00,574.95,622.50,574.95,47.55,8.27
Zensar Tech,852.20,786.10,850.10,786.25,63.85,8.12
Firstsource Sol,352.50,318.40,351.05,324.80,26.25,8.08
Hitachi Energy,"10,700.00","9,360.05","10,389.35","9,621.75",767.60,7.98
Jindal Saw,246.50,225.00,243.90,226.05,17.85,7.9
Jindal Saw,246.50,225.00,243.90,226.05,17.85,7.9
Fortis Health,627.25,578.65,625.95,581.20,44.75,7.7
Kaynes Tech,"5,134.00","4,591.05","5,014.00","4,661.35",352.65,7.57
TVS Motor,"2,539.20","2,356.80","2,497.50","2,335.80",161.70,6.92
Jyoti CNC Auto,"1,067.60",992.10,"1,054.45",988.25,66.20,6.7
Indian Bank,551.20,510.55,545.85,514.15,31.70,6.17
Aegis Logistics,686.90,625.50,673.25,635.85,37.40,5.88
IEX,178.96,167.30,176.95,167.21,9.74,5.83
Laurus Labs,540.80,511.80,540.50,510.75,29.75,5.82
Kirloskar Oil,895.10,848.30,891.30,844.45,46.85,5.55
Cera Sanitary,"6,587.00","6,220.00","6,513.30","6,180.25",333.05,5.39
Schneider Infra,707.40,611.20,660.65,626.95,33.70,5.38
Jubilant Pharmo,941.95,865.85,929.05,881.95,47.10,5.34
Navin Fluorine,"3,774.80","3,502.00","3,752.00","3,562.35",189.65,5.32
Elecon Eng,549.25,514.80,546.10,519.00,27.10,5.22
Elecon Eng,549.25,514.80,546.10,519.00,27.10,5.22
Godawari Power,177.10,165.52,176.48,167.87,8.61,5.13
Godawari Power,177.10,165.52,176.48,167.87,8.61,5.13
Avanti Feeds,707.95,651.30,693.65,659.95,33.70,5.11
Shree Renuka,38.39,36.12,37.63,35.81,1.82,5.08
NCC,240.65,227.40,236.50,225.10,11.40,5.06
Chola Invest.,"1,304.50","1,230.05","1,304.40","1,241.70",62.70,5.05
Godrej Ind,883.05,836.80,875.65,834.00,41.65,4.99
Suzlon Energy,52.77,52.77,52.77,50.26,2.51,4.99
