company_name,high,low,last_price,prev_close,change,percent_gain
Aster DM Health,336.70,287.00,325.70,286.95,38.75,13.5
Suzlon Energy,18.45,17.15,18.30,16.80,1.5,8.93
FDC,334.90,311.00,332.85,310.15,22.7,7.32
Bajaj Finance,"7,920.00","7,612.65","7,860.45","7,333.00",527.45,7.19
TataTeleservice,76.75,71.25,75.95,71.10,4.85,6.82
PNB,57.60,53.75,57.05,53.85,3.2,5.94
Bajaj Finserv,"1,634.95","1,565.10","1,629.50","1,540.10",89.4,5.8
Bajaj Finserv,"1,634.95","1,565.10","1,629.50","1,540.10",89.4,5.8
Medplus Health,847.00,782.00,829.30,788.45,40.85,5.18
JBM Auto,"1,484.00","1,375.55","1,464.15","1,392.30",71.85,5.16
Poonawalla Fin,359.80,343.00,358.75,342.70,16.05,4.68
Hero Motocorp,"3,039.90","2,915.70","3,029.80","2,898.75",131.05,4.52
Radico Khaitan,"1,395.00","1,261.00","1,329.70","1,278.10",51.6,4.04
Bank of India,80.45,76.70,80.25,77.30,2.95,3.82
Jyothy Labs,241.25,219.45,231.60,223.15,8.45,3.79
Kansai Nerolac,334.00,315.80,319.10,307.70,11.4,3.7
Federal Bank,133.30,127.65,132.00,127.55,4.45,3.49
Endurance Techn,"1,735.00","1,600.40","1,654.65","1,600.40",54.25,3.39
Bayer CropScien,"4,649.95","4,462.00","4,570.20","4,424.10",146.1,3.3
Global Health,692.30,659.00,680.85,659.60,21.25,3.22
IOB,26.15,24.50,25.75,24.95,0.8,3.21
KEC Intl,584.00,553.60,575.00,558.15,16.85,3.02
KRBL,360.00,346.00,355.10,344.70,10.4,3.02
Mahindra Life,483.05,468.55,481.60,467.70,13.9,2.97
Yes Bank,17.20,16.25,16.80,16.35,0.45,2.75
Chola Fin Hold,965.00,908.00,946.30,921.90,24.4,2.65
Can Fin Homes,802.55,773.45,797.90,778.45,19.45,2.5
Sapphire Foods,"1,412.00","1,370.90","1,405.10","1,370.90",34.2,2.49
Restaurant Bran,111.00,107.55,110.20,107.60,2.6,2.42
Home First,814.75,792.20,809.95,790.80,19.15,2.42
TV18 Broadcast,39.25,37.55,38.30,37.40,0.9,2.41
Supreme Ind,"3,289.95","3,174.40","3,247.20","3,171.40",75.8,2.39
Tech Mahindra,"1,156.00","1,120.10","1,148.00","1,121.45",26.55,2.37
Jindal Steel,614.20,591.00,609.10,595.05,14.05,2.36
Central Bank,31.00,29.00,30.60,29.90,0.7,2.34
NBCC (India),40.70,38.90,40.20,39.30,0.9,2.29
AU Small Financ,780.75,753.30,777.20,760.25,16.95,2.23
Bajaj Holdings,"7,245.00","6,996.55","7,139.35","6,984.45",154.9,2.22
SUMITOMO,446.90,437.55,445.50,436.15,9.35,2.14
Sundram,"1,238.00","1,205.10","1,234.55","1,209.65",24.9,2.06
P and G,"14,694.95","14,334.70","14,616.15","14,327.25",288.9,2.02
Bank of Mah,30.75,29.40,30.55,29.95,0.6,2
Rainbow Child,981.80,950.00,975.40,956.30,19.1,2
Alembic Pharma,650.85,629.60,638.05,625.85,12.2,1.95
CIEINDIA,535.50,516.40,525.90,516.20,9.7,1.88
Honeywell Autom,"42,700.00","41,949.25","42,580.55","41,803.05",777.5,1.86
IDFC,115.70,107.80,111.20,109.20,2,1.83
JSW Energy,299.00,289.90,294.30,289.00,5.3,1.83
Navin Fluorine,"4,583.00","4,471.00","4,552.70","4,472.20",80.5,1.8
Dr Reddys Labs,"5,204.75","5,085.05","5,188.40","5,098.30",90.1,1.77
Union Bank,76.80,73.85,76.20,74.90,1.3,1.74
Bank of Baroda,204.70,197.35,202.35,199.10,3.25,1.63
KEI Industries,"2,359.00","2,303.40","2,329.45","2,293.40",36.05,1.57
Sun Pharma,"1,053.90","1,029.90","1,048.80","1,032.70",16.1,1.56
Chola Invest.,"1,214.60","1,162.70","1,187.25","1,169.15",18.1,1.55
CCL Products,682.20,660.60,676.05,665.90,10.15,1.52
Angel One,"1,793.70","1,752.45","1,774.40","1,748.05",26.35,1.51
NTPC,194.80,189.00,194.05,191.25,2.8,1.46
IFB Industries,834.00,814.00,824.60,813.15,11.45,1.41
Century,880.00,847.60,878.30,866.15,12.15,1.4
Ratnamani Metal,"2,374.90","2,304.05","2,342.45","2,310.00",32.45,1.4
L&T Technology,"3,965.95","3,904.05","3,950.10","3,896.15",53.95,1.38
Craftsman,"4,060.00","3,968.00","4,029.00","3,974.65",54.35,1.37
360 ONE WAM,490.00,475.70,482.15,475.70,6.45,1.36
360 ONE WAM,490.00,475.70,482.15,475.70,6.45,1.36
Sun TV Network,448.50,436.50,445.60,440.05,5.55,1.26
Macrotech Dev,722.50,691.85,699.35,690.90,8.45,1.22
Titan Company,"3,090.00","3,039.00","3,074.65","3,038.30",36.35,1.2
Container Corp,666.50,655.80,664.70,657.05,7.65,1.16
Shriram Finance,"1,793.20","1,740.00","1,777.70","1,757.95",19.75,1.12
TCS,"3,315.00","3,277.30","3,308.85","3,272.30",36.55,1.12
Wipro,397.35,393.00,395.95,391.60,4.35,1.11
Sanofi India,"6,999.95","6,883.90","6,975.90","6,901.30",74.6,1.08
IRFC,33.30,32.60,33.10,32.75,0.35,1.07
UCO Bank,29.25,27.35,28.40,28.10,0.3,1.07
IIFL Finance,510.90,500.55,504.70,499.40,5.3,1.06
Capri Global,773.00,750.00,764.90,756.95,7.95,1.05
Swan Energy,269.00,261.20,264.45,261.75,2.7,1.03
Redington,196.00,192.75,193.55,191.60,1.95,1.02
Cipla,"1,016.00",996.50,"1,011.85","1,001.80",10.05,1
Canara Bank,325.70,317.55,321.65,318.50,3.15,0.99
Blue Star,776.95,762.05,774.80,767.35,7.45,0.97
Kotak Mahindra,"1,868.35","1,836.05","1,861.70","1,843.95",17.75,0.96
Colgate,"1,719.00","1,660.00","1,705.40","1,689.50",15.9,0.94
