company_name,high,low,last_price,prev_close,change,percent_gain
GSFC,219.70,196.50,215.30,193.70,21.6,11.15
Cyient,"2,240.00","2,004.80","2,189.15","1,998.45",190.7,9.54
Adani Green Ene,"1,184.00","1,092.55","1,123.75","1,026.50",97.25,9.47
Central Bank,48.50,45.00,48.30,44.30,4,9.03
HINDPETRO,379.45,355.00,376.50,345.55,30.95,8.96
CESC,109.95,101.50,108.90,100.50,8.4,8.36
HEG,"1,810.00","1,664.05","1,795.60","1,662.60",133,8
Eicher Motors,"4,200.00","3,916.00","4,180.35","3,891.20",289.15,7.43
BLS Internation,285.65,267.30,282.15,262.80,19.35,7.36
Ambuja Cements,475.80,453.25,474.55,442.00,32.55,7.36
LIC India,727.70,680.00,719.00,670.90,48.1,7.17
Adani Enterpris,"2,595.00","2,487.45","2,531.20","2,362.70",168.5,7.13
Bajaj Holdings,"7,974.25","7,357.05","7,849.95","7,332.90",517.05,7.05
NLC India,189.70,171.30,181.60,170.45,11.15,6.54
Prestige Estate,"1,148.15","1,022.20","1,104.90","1,037.80",67.1,6.47
ACC,"2,031.80","1,950.00","2,019.50","1,900.25",119.25,6.28
Adani Ports,883.35,858.50,878.65,827.80,50.85,6.14
Max Healthcare,709.00,651.05,691.40,652.35,39.05,5.99
Hind Zinc,319.00,313.00,317.90,300.15,17.75,5.91
Oil India,335.50,308.60,328.20,309.90,18.3,5.91
Adani Energy,969.00,896.15,903.70,854.70,49,5.73
Supreme Ind,"4,781.80","4,455.65","4,713.20","4,460.80",252.4,5.66
ABB India,"4,683.00","4,419.10","4,630.75","4,387.25",243.5,5.55
Adani Power,494.00,458.50,464.70,440.40,24.3,5.52
BPCL,464.80,444.00,461.50,438.00,23.5,5.37
NBCC (India),79.50,76.40,78.60,74.65,3.95,5.29
Sterling Wilson,368.10,368.10,368.10,350.60,17.5,4.99
Union Bank,114.90,112.05,114.20,108.80,5.4,4.96
Radico Khaitan,"1,663.00","1,547.85","1,649.50","1,572.35",77.15,4.91
ICICI Bank,994.85,961.40,991.20,946.70,44.5,4.7
New India Assur,245.00,229.70,241.90,231.25,10.65,4.61
Shriram Finance,"2,108.00","2,007.25","2,094.45","2,003.25",91.2,4.55
Rail Vikas,175.60,166.90,172.40,165.00,7.4,4.48
CSB Bank,405.00,386.00,401.15,384.05,17.1,4.45
Patanjali Foods,"1,446.90","1,381.20","1,439.05","1,378.00",61.05,4.43
Timken,"3,100.00","2,941.70","3,083.25","2,952.95",130.3,4.41
Adani Total Gas,800.00,728.80,732.25,701.45,30.8,4.39
Engineers India,159.40,152.85,158.20,151.55,6.65,4.39
UCO Bank,39.90,38.45,39.65,38.00,1.65,4.34
GAIL,145.10,138.00,141.90,136.05,5.85,4.3
Rattanindia Ent,79.85,75.80,79.25,76.00,3.25,4.28
REC,394.80,376.15,389.80,374.00,15.8,4.22
KPIL,721.95,684.00,696.15,668.00,28.15,4.21
IOC,118.15,113.10,115.90,111.25,4.65,4.18
Prince Pipes,724.50,694.25,716.25,687.60,28.65,4.17
Bharat Elec,157.50,151.60,153.55,147.45,6.1,4.14
Canara Bank,429.00,418.55,426.95,410.30,16.65,4.06
RBL Bank,244.00,235.95,242.45,233.10,9.35,4.01
SBI,596.00,584.55,594.70,571.75,22.95,4.01
Kotak Mahindra,"1,825.95","1,752.65","1,818.55","1,750.50",68.05,3.89
ONGC,205.90,196.05,202.05,194.55,7.5,3.86
Larsen,"3,347.55","3,250.00","3,313.55","3,190.65",122.9,3.85
IOB,41.55,40.05,41.10,39.60,1.5,3.79
PNB,84.60,82.30,83.75,80.70,3.05,3.78
Jubilant Pharmo,475.50,451.30,470.10,453.05,17.05,3.76
KEC Intl,613.50,594.05,611.60,589.60,22,3.73
IndusInd Bank,"1,517.55","1,473.45","1,514.65","1,461.05",53.6,3.67
Chola Fin Hold,"1,075.50","1,020.75","1,065.70","1,028.30",37.4,3.64
CAMS,"2,938.40","2,793.70","2,893.90","2,793.40",100.5,3.6
Thermax,"2,759.00","2,659.65","2,702.95","2,609.65",93.3,3.58
Bank of Baroda,210.00,205.15,209.05,201.85,7.2,3.57
Bandhan Bank,234.85,229.25,234.30,226.25,8.05,3.56
Federal Bank,155.20,150.25,154.05,148.75,5.3,3.56
Graphite India,531.15,508.30,526.30,508.30,18,3.54
Century,"1,327.85","1,282.20","1,322.70","1,277.55",45.15,3.53
