company_name,high,low,last_price,prev_close,change,percent_gain
Piramal Enter,970.70,903.95,950.15,838.50,111.65,13.32
Vijaya Diagnost,478.90,422.65,472.75,422.65,50.10,11.85
Shriram Finance,"1,793.55","1,675.00","1,734.35","1,559.65",174.70,11.2
Aether Ind,"1,104.50","1,010.05","1,099.80","1,004.10",95.70,9.53
Blue Dart,"7,260.00","6,853.00","7,227.10","6,741.65",485.45,7.2
JSW Energy,276.90,258.05,274.30,257.05,17.25,6.71
Happiest Minds ,"1,014.90",947.05,"1,005.10",945.20,59.90,6.34
Zensar Tech,415.90,386.05,407.00,384.70,22.30,5.8
Lupin,885.30,829.05,875.05,829.90,45.15,5.44
Linde India,"4,638.00","4,360.00","4,582.60","4,350.30",232.30,5.34
Max Financial,755.00,708.10,738.90,703.20,35.70,5.08
Tube Investment,"3,200.00","3,050.00","3,171.55","3,020.20",151.35,5.01
Brightcom Group,34.75,34.75,34.75,33.10,1.65,4.98
Nazara,716.50,678.60,711.10,678.25,32.85,4.84
Swan Energy,248.50,234.10,246.40,235.25,11.15,4.74
Vodafone Idea,7.90,7.30,7.75,7.40,0.35,4.73
Ingersoll Rand,"3,050.00","2,891.75","3,026.00","2,891.40",134.60,4.66
Exide Ind,231.00,222.40,230.30,220.35,9.95,4.52
MOTHERSON,86.20,82.45,85.85,82.20,3.65,4.44
Latent View,363.90,343.45,361.60,346.75,14.85,4.28
Apar Ind,"3,197.00","3,057.05","3,165.60","3,040.90",124.70,4.1
India Cements,233.40,222.50,231.50,222.40,9.10,4.09
Zee Entertain,188.40,176.25,180.30,173.30,7.00,4.04
LIC Housing Fin,407.90,390.35,405.70,390.55,15.15,3.88
Mahindra Logist,387.50,368.15,381.75,367.70,14.05,3.82
Power Grid Corp,259.05,248.75,258.20,248.75,9.45,3.8
C. E. Info Syst,"1,229.50","1,182.00","1,221.15","1,176.95",44.20,3.76
Vardhman Text,375.00,361.00,372.95,359.95,13.00,3.61
SJVN,41.10,39.40,40.70,39.30,1.40,3.56
Affle India,"1,139.20","1,084.25","1,119.50","1,081.20",38.30,3.54
INDUS TOWERS,171.75,160.55,167.00,161.55,5.45,3.37
Muthoot Finance,"1,239.60","1,186.10","1,231.10","1,191.25",39.85,3.35
Birla Corp,"1,261.45","1,203.00","1,243.45","1,203.45",40.00,3.32
Amber Enterpris,"2,364.95","2,281.00","2,351.25","2,278.25",73.00,3.2
IGL,482.00,466.15,480.40,466.25,14.15,3.03
Metro Brands,"1,032.85",992.85,"1,018.70",990.00,28.70,2.9
Star Health,555.00,536.00,550.25,534.90,15.35,2.87
CG Power ,379.75,367.95,377.15,366.80,10.35,2.82
Indiabulls Hsg,117.85,114.20,117.15,114.05,3.10,2.72
Aarti Ind,535.00,518.00,532.15,518.35,13.80,2.66
MCX India,"1,633.05","1,582.65","1,614.85","1,573.00",41.85,2.66
Container Corp,654.20,637.45,653.15,636.35,16.80,2.64
Apollo Tyres,422.00,409.50,419.45,408.95,10.50,2.57
Indigo Paints,"1,499.95","1,428.55","1,466.15","1,429.60",36.55,2.56
Poonawalla Fin,366.15,341.55,349.90,341.15,8.75,2.56
REC,168.85,160.60,163.85,159.80,4.05,2.53
Sapphire Foods,"1,423.50","1,393.95","1,420.40","1,386.75",33.65,2.43
V-Guard Ind,266.45,256.80,263.10,256.90,6.20,2.41
Power Finance,211.90,204.20,208.80,203.95,4.85,2.38
PI Industries,"4,011.15","3,859.75","3,972.45","3,879.95",92.50,2.38
Ajanta Pharma,"1,519.00","1,465.00","1,509.95","1,474.95",35.00,2.37
Ramco Cements,951.50,927.45,949.35,927.50,21.85,2.36
G R Infra,"1,319.00","1,288.00","1,295.20","1,265.50",29.70,2.35
Narayana Hruda,"1,076.95","1,025.85","1,049.55","1,025.85",23.70,2.31
Five-Star Busin,674.40,641.25,655.90,641.25,14.65,2.28
FSN E-Co Nykaa,151.00,147.35,150.40,147.05,3.35,2.28
PNB Housing Fin,609.10,589.90,602.30,588.85,13.45,2.28
Metropolis,"1,474.05","1,428.55","1,456.10","1,424.20",31.90,2.24
Fortis Health,311.00,304.00,309.50,303.05,6.45,2.13
HUDCO,62.80,59.25,60.25,59.00,1.25,2.12
GNFC,603.00,589.20,600.00,588.45,11.55,1.96
MTAR Tech,"2,040.00","1,952.30","1,992.10","1,955.30",36.80,1.88
ONGC,160.55,156.60,160.20,157.25,2.95,1.88
CreditAccess Gr,"1,339.10","1,280.00","1,314.35","1,290.50",23.85,1.85
PNB,53.25,51.80,52.85,51.90,0.95,1.83
BLS Internation,201.95,193.30,197.40,193.90,3.50,1.81
HDFC Bank,"1,637.25","1,611.00","1,635.60","1,607.50",28.10,1.75
Angel One,"1,630.00","1,594.95","1,622.50","1,594.95",27.55,1.73
M&M Financial,328.10,320.60,325.85,320.30,5.55,1.73
MRPL,79.00,75.65,76.90,75.60,1.30,1.72
L&T Finance,126.90,122.10,123.65,121.60,2.05,1.69
Global Health,663.10,647.05,661.05,650.20,10.85,1.67
Piramal Pharma,97.35,94.20,94.80,93.25,1.55,1.66
Sterling Wilson,317.65,305.10,309.00,303.95,5.05,1.66
HDFC,"2,704.90","2,665.00","2,702.00","2,658.55",43.45,1.63
Manappuram Fin,130.50,126.40,128.00,125.95,2.05,1.63
Bank of Baroda,198.50,195.00,198.10,194.95,3.15,1.62
Castrol,126.50,124.30,125.60,123.60,2.00,1.62
Deepak Fert,588.30,567.15,579.25,570.15,9.10,1.6
Adani Green Ene,982.00,954.20,977.00,961.70,15.30,1.59
Elgi Equipments,543.20,532.10,540.15,531.70,8.45,1.59
Adani Ports,753.25,733.30,749.45,737.80,11.65,1.58
Kansai Nerolac,464.90,458.55,461.40,454.25,7.15,1.57
DCM Shriram,884.00,862.05,876.40,863.05,13.35,1.55
SKF India,"4,940.50","4,860.00","4,893.20","4,820.05",73.15,1.52
Vedant Fashions,"1,354.00","1,321.60","1,341.55","1,321.60",19.95,1.51
