company_name,high,low,last_price,prev_close,change,percent_gain
Infibeam Avenue,19.90,17.55,19.70,17.40,2.3,13.22
eClerx Services,"2,049.00","1,816.10","2,022.25","1,856.85",165.4,8.91
Prestige Estate,677.80,631.10,671.30,626.05,45.25,7.23
Network 18,73.45,68.50,72.85,68.05,4.8,7.05
Angel One,"1,999.80","1,855.05","1,989.20","1,858.50",130.7,7.03
Sobha,716.65,665.60,707.20,664.15,43.05,6.48
SUMITOMO,443.00,418.80,440.80,418.10,22.7,5.43
Nazara,879.00,832.30,865.95,823.40,42.55,5.17
Suzlon Energy,29.50,28.55,29.50,28.10,1.4,4.98
Restaurant Bran,129.70,123.70,128.55,122.70,5.85,4.77
Rattanindia Ent,59.00,56.25,58.55,55.90,2.65,4.74
Zomato,107.70,102.35,105.40,100.75,4.65,4.62
Birlasoft,514.85,494.35,513.35,491.40,21.95,4.47
Motilal Oswal,941.90,890.75,935.30,895.65,39.65,4.43
Latent View,415.95,397.70,412.40,396.10,16.3,4.12
Sun TV Network,636.75,610.55,634.15,611.15,23,3.76
Interglobe Avi,"2,479.00","2,400.30","2,473.40","2,385.00",88.4,3.71
Info Edge,"4,220.00","4,051.05","4,209.05","4,058.65",150.4,3.71
One 97 Paytm,902.00,863.90,895.10,863.10,32,3.71
SJVN,73.30,69.55,72.70,70.10,2.6,3.71
BSE Limited,"1,329.80","1,286.75","1,326.10","1,280.30",45.8,3.58
Kalyan Jeweller,235.75,227.90,234.40,226.40,8,3.53
PCBL,186.25,179.85,183.45,177.25,6.2,3.5
TV18 Broadcast,47.25,45.50,46.75,45.20,1.55,3.43
Sundaram Fin,"3,194.80","3,080.15","3,166.50","3,066.10",100.4,3.27
Max Financial,918.90,885.55,911.90,884.30,27.6,3.12
Godrej Ind,603.45,581.90,601.05,583.20,17.85,3.06
Home First,849.80,819.05,846.15,821.55,24.6,2.99
Cochin Shipyard,"1,105.00","1,052.00","1,072.35","1,041.30",31.05,2.98
JK Lakshmi Cem,676.15,651.10,670.15,650.75,19.4,2.98
IEX,135.25,131.20,133.20,129.65,3.55,2.74
Chalet Hotels,600.00,580.20,593.30,577.65,15.65,2.71
Indian Hotels,419.30,407.90,417.50,406.55,10.95,2.69
United Spirits,"1,014.20",990.10,"1,011.50",985.75,25.75,2.61
Sunteck Realty,446.80,432.90,444.05,432.95,11.1,2.56
Jubilant Ing.,488.40,475.00,484.70,472.65,12.05,2.55
Zensar Tech,539.90,526.90,536.25,523.60,12.65,2.42
Intellect Desig,708.00,690.25,706.40,689.90,16.5,2.39
Guj Amb Exports,354.70,341.75,351.10,343.00,8.1,2.36
JM Financial,87.10,83.55,86.35,84.40,1.95,2.31
Alkyl Amines,"2,330.00","2,264.15","2,299.15","2,248.30",50.85,2.26
Bharat Dynamics,"1,041.95",988.05,"1,001.65",979.50,22.15,2.26
Larsen,"3,114.90","3,032.55","3,096.05","3,027.75",68.3,2.26
Aditya Birla F,220.60,214.50,219.10,214.25,4.85,2.26
TCNS Clothing C,369.60,361.05,367.95,359.90,8.05,2.24
Balkrishna Ind,"2,610.00","2,526.90","2,585.25","2,529.10",56.15,2.22
IRCTC,726.50,705.65,719.45,704.05,15.4,2.19
Godrej Prop,"1,606.50","1,570.25","1,599.35","1,565.75",33.6,2.15
CIEINDIA,478.10,466.30,474.85,465.15,9.7,2.09
L&T Technology,"4,653.90","4,570.05","4,639.65","4,550.60",89.05,1.96
Jamna Auto,118.90,116.55,118.25,116.00,2.25,1.94
