company_name,high,low,last_price,prev_close,change,percent_gain
IRFC,134.75,116.70,130.10,113.40,16.70,14.73
Oracle Fin Serv,"5,105.50","4,681.95","5,070.55","4,656.75",413.80,8.89
SJVN,103.80,93.50,102.50,94.15,8.35,8.87
Rail Vikas,230.65,203.55,220.65,203.25,17.40,8.56
Alembic Pharma,965.00,890.05,943.55,880.55,63.00,7.15
Engineers India,232.50,209.95,227.50,213.85,13.65,6.38
MRPL,186.00,162.25,169.30,159.30,10.00,6.28
Wipro,529.00,489.15,494.60,465.45,29.15,6.26
Oil India,398.20,377.40,396.50,375.00,21.50,5.73
Polycab,"4,254.40","3,975.00","4,198.20","3,980.90",217.30,5.46
Raymond,"1,845.00","1,730.00","1,834.65","1,741.20",93.45,5.37
NOCIL,284.50,263.30,279.85,265.90,13.95,5.25
Aurobindo Pharm,"1,163.60","1,097.35","1,149.65","1,094.85",54.80,5.01
HUDCO,136.85,127.40,132.90,126.65,6.25,4.93
Granules India,432.00,408.10,429.60,409.75,19.85,4.84
Glenmark,916.35,863.65,910.45,868.95,41.50,4.78
NHPC,73.10,69.60,72.45,69.15,3.30,4.77
BLS Internation,393.90,378.45,391.65,374.15,17.50,4.68
ONGC,235.45,224.65,233.50,223.40,10.10,4.52
Bank of Mah,50.75,48.85,50.40,48.30,2.10,4.35
JK Paper,415.90,392.20,410.45,393.90,16.55,4.2
Vodafone Idea,16.70,15.80,16.50,15.85,0.65,4.1
Blue Star,"1,075.10","1,025.35","1,062.35","1,022.25",40.10,3.92
Karur Vysya,176.95,169.05,174.50,168.40,6.10,3.62
PCBL,287.70,265.95,275.70,266.25,9.45,3.55
Triveni Turbine,419.65,403.40,417.40,403.40,14.00,3.47
Metropolis,"1,559.95","1,510.05","1,555.55","1,503.80",51.75,3.44
Ajanta Pharma,"2,269.45","2,184.45","2,252.10","2,177.60",74.50,3.42
Indian Hotels,478.50,459.80,476.95,461.55,15.40,3.34
EIH,291.00,277.90,288.95,279.70,9.25,3.31
eClerx Services,"2,828.00","2,726.05","2,797.90","2,709.05",88.85,3.28
MCX India,"3,193.25","3,055.15","3,158.95","3,059.80",99.15,3.24
One 97 Paytm,717.25,683.45,714.20,692.45,21.75,3.14
MMTC Ltd,71.10,65.90,69.25,67.15,2.10,3.13
Latent View,486.30,460.50,479.30,464.95,14.35,3.09
HCL Tech,"1,619.60","1,575.50","1,588.20","1,540.80",47.40,3.08
LIC India,862.40,841.95,854.80,829.30,25.50,3.07
ITI,324.30,303.00,315.30,305.95,9.35,3.06
Amber Enterpris,"3,769.95","3,562.05","3,750.10","3,640.00",110.10,3.02
NALCO,135.70,129.30,135.30,131.45,3.85,2.93
Bharat Elec,189.90,184.10,188.65,183.50,5.15,2.81
REC,444.70,429.75,440.40,428.55,11.85,2.77
RITES,544.10,521.50,534.70,520.50,14.20,2.73
HLE Glascoat,577.80,551.30,573.15,558.00,15.15,2.72
HLE Glascoat,577.80,551.30,573.15,558.00,15.15,2.72
Tube Investment,"4,043.15","3,865.00","4,001.35","3,897.25",104.10,2.67
Sun Pharma Adv,403.40,383.60,394.55,384.45,10.10,2.63
Chola Invest.,"1,289.70","1,253.45","1,278.25","1,246.50",31.75,2.55
Biocon,283.00,273.80,281.10,274.20,6.90,2.52
Happiest Minds ,961.00,933.00,945.30,922.50,22.80,2.47
BHEL,204.50,199.00,201.25,196.45,4.80,2.44
Infosys,"1,664.95","1,636.00","1,652.10","1,612.75",39.35,2.44
Bharti Airtel,"1,104.70","1,074.55","1,102.40","1,076.35",26.05,2.42
Mazagon Dock,"2,378.30","2,270.10","2,347.40","2,292.45",54.95,2.4
PNC Infratech,406.00,383.25,386.90,378.00,8.90,2.35
Varroc Engineer,568.00,545.20,566.35,553.40,12.95,2.34
Zensar Tech,596.65,578.15,583.00,569.75,13.25,2.33
Lemon Tree,138.50,132.65,136.90,133.80,3.10,2.32
Just Dial,949.45,888.00,892.85,873.15,19.70,2.26
Tech Mahindra,"1,401.50","1,333.85","1,337.65","1,308.05",29.60,2.26
City Union Bank,153.45,148.35,151.90,148.60,3.30,2.22
Cochin Shipyard,791.00,757.05,770.50,753.85,16.65,2.21
Cochin Shipyard,791.00,757.05,770.50,753.85,16.65,2.21
Union Bank,135.75,132.50,134.10,131.20,2.90,2.21
Bajaj Holdings,"8,250.00","8,081.80","8,222.80","8,051.55",171.25,2.13
Angel One,"3,895.00","3,729.00","3,875.70","3,795.40",80.30,2.12
Aarti Drugs,535.90,517.10,532.30,521.30,11.00,2.11
MOTHERSON,110.50,107.20,109.65,107.40,2.25,2.09
Coromandel Int,"1,219.20","1,182.05","1,205.50","1,180.95",24.55,2.08
C. E. Info Syst,"2,075.00","2,018.10","2,063.05","2,021.50",41.55,2.06
Page Industries,"37,840.00","36,609.05","37,615.25","36,859.15",756.10,2.05
Emami,539.55,520.55,535.25,524.75,10.50,2
Vedant Fashions,"1,228.45","1,197.35","1,222.90","1,199.65",23.25,1.94
HDFC Bank,"1,680.90","1,643.60","1,672.80","1,641.20",31.60,1.93
Power Finance,412.35,399.55,409.50,401.80,7.70,1.92
Oberoi Realty,"1,585.55","1,530.00","1,570.15","1,540.80",29.35,1.9
General Insuran,316.85,304.80,311.20,305.45,5.75,1.88
Zydus Life,724.45,700.30,716.85,703.95,12.90,1.83
IIFL Finance,669.70,645.00,661.20,649.30,11.90,1.83
Mahindra Logist,450.90,433.00,445.90,437.95,7.95,1.82
Carborundum,"1,195.00","1,155.05","1,185.40","1,164.45",20.95,1.8
Balkrishna Ind,"2,706.40","2,605.05","2,679.10","2,631.90",47.20,1.79
Intellect Desig,840.00,819.95,831.35,816.70,14.65,1.79
Abbott India,"26,381.65","25,700.00","26,210.45","25,748.90",461.55,1.79
Keystone Real,734.55,699.45,720.10,707.65,12.45,1.76
Apollo Hospital,"5,924.15","5,804.00","5,896.40","5,795.70",100.70,1.74
IOC,138.00,135.20,137.65,135.30,2.35,1.74
KEC Intl,621.70,607.00,620.55,609.95,10.60,1.74
Westlife Food,843.90,827.35,840.85,826.55,14.30,1.73
GAIL,166.80,161.50,165.20,162.40,2.80,1.72
Reliance,"2,792.90","2,732.00","2,788.25","2,741.45",46.80,1.71
IRCTC,976.45,951.05,967.40,951.20,16.20,1.7
Vaibhav Global,445.60,429.80,439.00,431.65,7.35,1.7
Bharat Dynamics,"1,779.45","1,717.50","1,755.70","1,726.60",29.10,1.69
Hind Zinc,325.45,316.00,321.75,316.40,5.35,1.69
United Brewerie,"1,831.90","1,780.40","1,825.55","1,795.35",30.20,1.68
Dr Reddys Labs,"5,799.00","5,702.00","5,783.25","5,688.85",94.40,1.66
Godrej Prop,"2,331.70","2,279.25","2,311.35","2,273.80",37.55,1.65
Amara Raja,823.75,810.00,815.30,802.45,12.85,1.6
Go Fashion,"1,205.50","1,179.55","1,187.05","1,168.30",18.75,1.6
Birla Corp,"1,465.00","1,432.50","1,452.80","1,430.05",22.75,1.59
L&T Finance,170.75,167.45,169.75,167.15,2.60,1.56
Interglobe Avi,"3,128.30","3,071.25","3,119.50","3,072.60",46.90,1.53
NTPC,318.00,309.60,317.30,312.65,4.65,1.49
UltraTechCement,"9,996.80","9,820.00","9,954.55","9,808.45",146.10,1.49
EPL,209.80,198.10,200.05,197.15,2.90,1.47
Colgate,"2,515.65","2,451.35","2,486.90","2,451.35",35.55,1.45
Indigo Paints,"1,523.05","1,485.85","1,505.45","1,484.55",20.90,1.41
Bank of India,133.20,127.40,130.90,129.10,1.80,1.39
Jubilant Food,538.05,525.65,532.95,525.65,7.30,1.39
PB Fintech,866.80,842.05,863.90,852.05,11.85,1.39
HDFC AMC,"3,535.35","3,461.00","3,502.10","3,454.75",47.35,1.37
AAVAS Financier,"1,625.00","1,596.30","1,613.00","1,591.55",21.45,1.35
Prism Johnson,191.00,185.35,189.10,186.60,2.50,1.34
KFin Tech,537.55,530.30,536.65,529.65,7.00,1.32
Gujarat Gas,547.00,534.50,541.60,534.60,7.00,1.31
Container Corp,906.85,884.65,901.25,889.70,11.55,1.3
Finolex Cables,"1,097.40","1,062.20","1,068.05","1,054.30",13.75,1.3
Avanti Feeds,598.50,545.00,552.25,545.30,6.95,1.27
Dr Lal PathLab,"2,516.00","2,450.00","2,484.70","2,453.45",31.25,1.27
Jindal Worldwid,310.30,301.00,305.95,302.10,3.85,1.27
Central Bank,53.80,51.90,52.55,51.90,0.65,1.25
LTIMindtree,"6,442.00","6,250.50","6,315.15","6,237.05",78.10,1.25
3M India,"34,746.85","34,000.00","34,514.40","34,091.40",423.00,1.24
Federal Bank,153.30,151.30,152.95,151.10,1.85,1.22
Maruti Suzuki,"10,098.80","9,948.00","10,086.90","9,965.65",121.25,1.22
Vardhman Text,410.00,400.00,409.00,404.15,4.85,1.2
IRB Infra,47.00,46.10,46.60,46.05,0.55,1.19
IRB Infra,47.00,46.10,46.60,46.05,0.55,1.19
MRF,"136,799.95","133,650.05","135,951.15","134,351.10","1,600.05",1.19
Petronet LNG,234.80,229.60,232.25,229.55,2.70,1.18
Redington,181.00,177.40,180.05,177.95,2.10,1.18
Berger Paints,605.80,596.25,602.75,595.80,6.95,1.17
IGL,434.50,425.70,432.80,427.80,5.00,1.17
Shriram Finance,"2,325.00","2,280.00","2,319.55","2,292.80",26.75,1.17
HUL,"2,578.75","2,531.00","2,573.20","2,544.00",29.20,1.15
TMB,505.00,497.65,501.35,495.65,5.70,1.15
IOB,45.75,44.00,44.45,43.95,0.50,1.14
Laurus Labs,428.00,412.70,420.90,416.15,4.75,1.14
Nazara,989.40,939.60,957.20,946.45,10.75,1.14
Rashtriya Chem,172.95,166.45,170.70,168.80,1.90,1.13
Mastek,"2,940.00","2,831.00","2,899.00","2,867.40",31.60,1.1
Lupin,"1,424.00","1,398.00","1,413.00","1,397.75",15.25,1.09
Poonawalla Fin,504.60,491.45,501.55,496.25,5.30,1.07
SBI,645.50,636.10,640.10,633.60,6.50,1.03
Indiamart Inter,"2,630.00","2,566.50","2,619.80","2,593.55",26.25,1.01
Kotak Mahindra,"1,853.60","1,836.25","1,851.50","1,833.25",18.25,1
Schaeffler Ind,"3,411.35","3,303.15","3,389.00","3,356.20",32.80,0.98
Hindustan Aeron,"3,039.20","2,985.00","3,030.55","3,001.95",28.60,0.95
Hindustan Aeron,"3,039.20","2,985.00","3,030.55","3,001.95",28.60,0.95
Coal India,387.90,381.40,384.65,381.10,3.55,0.93
Cyient,"2,365.00","2,290.00","2,296.35","2,275.40",20.95,0.92
IndusInd Bank,"1,694.50","1,668.05","1,688.85","1,674.00",14.85,0.89
Titan Company,"3,775.00","3,736.00","3,758.85","3,726.00",32.85,0.88
Escorts Kubota,"2,905.05","2,876.05","2,901.45","2,876.35",25.10,0.87
New India Assur,221.40,212.60,216.95,215.10,1.85,0.86
INDUS TOWERS,219.70,212.60,218.25,216.40,1.85,0.85
Sonata,779.50,756.00,761.85,755.50,6.35,0.84
KEI Industries,"3,060.45","2,992.35","3,012.90","2,988.00",24.90,0.83
Sharda Crop,444.45,435.05,441.50,437.85,3.65,0.83
Honeywell Autom,"37,222.25","36,596.35","37,034.45","36,733.55",300.90,0.82
Dabur India,557.50,548.25,554.15,549.70,4.45,0.81
Affle India,"1,324.00","1,296.55","1,304.20","1,293.90",10.30,0.8
HFCL,89.55,85.80,88.40,87.70,0.70,0.8
MTAR Tech,"2,178.00","2,140.00","2,165.05","2,147.95",17.10,0.8
Apollo Tyres,473.65,467.25,472.30,468.65,3.65,0.78
