company_name,high,low,last_price,prev_close,change,percent_gain
EID Parry,535.25,496.00,532.10,491.00,41.1,8.37
PCBL,268.40,243.75,262.10,242.90,19.2,7.9
HINDPETRO,329.75,305.80,326.70,305.50,21.2,6.94
Praj Industries,622.50,580.25,615.90,579.85,36.05,6.22
Indiabulls Real,87.70,79.75,84.25,79.50,4.75,5.97
Aditya Birla F,227.90,215.25,226.30,215.00,11.3,5.26
Sunteck Realty,502.85,469.90,493.60,469.60,24,5.11
Sterling Wilson,330.50,330.50,330.50,314.80,15.7,4.99
Suzlon Energy,39.20,35.50,39.20,37.35,1.85,4.95
Yes Bank,20.30,19.25,20.15,19.20,0.95,4.95
Shree Renuka,52.15,49.50,51.90,49.50,2.4,4.85
TCNS Clothing C,375.00,356.10,372.40,356.00,16.4,4.61
Hero Motocorp,"3,576.00","3,419.95","3,568.00","3,413.60",154.4,4.52
Triveni Engg,382.95,362.95,378.40,362.75,15.65,4.31
CDSL,"1,825.00","1,740.00","1,792.10","1,719.00",73.1,4.25
Rattanindia Ent,78.60,72.75,76.75,73.65,3.1,4.21
Piramal Pharma,125.30,119.70,124.10,119.10,5,4.2
IIFL Finance,621.00,580.00,603.30,580.30,23,3.96
Sterlite Techno,152.30,146.25,151.80,146.05,5.75,3.94
Jindal Stainles,525.00,500.20,523.70,504.35,19.35,3.84
Campus Active,282.45,267.10,278.20,268.00,10.2,3.81
Sun Pharma Adv,260.90,248.80,257.25,248.00,9.25,3.73
Jubilant Ing.,434.00,415.00,431.30,416.15,15.15,3.64
Archean Chem,539.25,518.00,536.05,518.35,17.7,3.41
Deepak Nitrite,"2,224.95","2,133.95","2,206.20","2,133.40",72.8,3.41
TataTeleservice,91.40,86.25,88.55,85.80,2.75,3.21
Bajaj Auto,"5,945.00","5,783.10","5,925.25","5,751.55",173.7,3.02
PI Industries,"3,783.00","3,651.50","3,758.20","3,648.85",109.35,3
Hitachi Energy,"4,944.00","4,703.65","4,832.15","4,698.55",133.6,2.84
Varroc Engineer,579.00,547.10,563.90,548.60,15.3,2.79
Navin Fluorine,"3,739.00","3,610.00","3,708.10","3,610.45",97.65,2.7
Cochin Shipyard,"1,143.70","1,078.00","1,107.20","1,078.15",29.05,2.69
Kajaria Ceramic,"1,308.85","1,264.40","1,294.70","1,260.80",33.9,2.69
Godrej Agrovet,510.00,495.10,503.35,490.35,13,2.65
Hind Copper,163.50,156.50,162.15,158.10,4.05,2.56
IOC,104.20,100.75,103.80,101.25,2.55,2.52
GE Shipping,838.00,802.00,819.00,799.05,19.95,2.5
Amara Raja,669.90,646.25,666.75,650.80,15.95,2.45
MCX India,"2,948.90","2,848.00","2,926.30","2,856.90",69.4,2.43
Nippon,420.85,410.25,419.20,409.30,9.9,2.42
BPCL,413.50,400.65,411.30,402.10,9.2,2.29
Ajanta Pharma,"1,980.00","1,916.00","1,962.05","1,918.55",43.5,2.27
Rajesh Exports,358.05,340.00,355.00,347.20,7.8,2.25
Varun Beverages,"1,075.00","1,025.00","1,054.60","1,031.35",23.25,2.25
Varun Beverages,"1,075.00","1,025.00","1,054.60","1,031.35",23.25,2.25
AIA Engineering,"3,509.20","3,430.00","3,499.70","3,424.90",74.8,2.18
Phoenix Mills,"2,299.95","2,201.60","2,270.35","2,222.30",48.05,2.16
Balkrishna Ind,"2,562.25","2,501.90","2,553.10","2,500.10",53,2.12
Motherson SWI,61.25,59.35,60.35,59.10,1.25,2.12
GNFC,709.80,694.10,706.05,691.45,14.6,2.11
TVS Motor,"1,784.95","1,748.55","1,776.05","1,739.30",36.75,2.11
RBL Bank,240.80,234.05,238.85,234.10,4.75,2.03
Sobha,897.15,877.95,890.25,872.55,17.7,2.03
ZFCVINDIA,"16,185.00","15,865.85","16,157.50","15,837.45",320.05,2.02
Oberoi Realty,"1,412.00","1,382.00","1,404.95","1,377.25",27.7,2.01
