company_name,high,low,last_price,prev_close,change,percent_gain
SJVN,76.80,66.30,76.80,64.00,12.8,20
ITI,149.30,124.50,149.30,124.45,24.85,19.97
Rail Vikas,191.75,168.10,189.50,162.85,26.65,16.36
Infibeam Avenue,18.85,16.55,18.50,16.10,2.4,14.91
Praj Industries,599.50,546.00,591.65,518.45,73.2,14.12
Tube Investment,"3,736.40","3,329.00","3,691.25","3,313.00",378.25,11.42
IRFC,84.80,81.50,84.75,77.10,7.65,9.92
JSW Energy,437.40,398.00,431.25,394.55,36.7,9.3
CDSL,"1,430.00","1,307.95","1,390.90","1,282.30",108.6,8.47
Adani Power,403.20,372.95,398.40,369.15,29.25,7.92
Vodafone Idea,11.55,10.45,11.30,10.50,0.8,7.62
Adani Ports,887.20,835.00,882.45,825.00,57.45,6.96
IOB,35.10,32.85,34.85,32.80,2.05,6.25
Bank of India,99.20,93.75,98.80,93.00,5.8,6.24
Jindal Stainles,541.00,495.80,522.20,491.90,30.3,6.16
Canara Bank,363.00,340.30,359.95,339.10,20.85,6.15
CAMS,"2,627.70","2,487.25","2,604.60","2,464.60",140,5.68
360 ONE WAM,555.00,524.80,549.90,520.35,29.55,5.68
360 ONE WAM,555.00,524.80,549.90,520.35,29.55,5.68
TataTeleservice,102.25,95.60,100.55,95.40,5.15,5.4
Bank of Mah,44.70,42.30,44.30,42.05,2.25,5.35
Emami,583.25,540.00,567.65,539.75,27.9,5.17
Rashtriya Chem,135.00,126.50,132.80,126.30,6.5,5.15
HDFC AMC,"2,687.55","2,525.15","2,663.90","2,535.80",128.1,5.05
Adani Energy,877.00,838.00,874.90,833.00,41.9,5.03
Sterling Wilson,388.40,373.00,388.40,369.95,18.45,4.99
eClerx Services,"1,803.80","1,713.95","1,790.90","1,709.50",81.4,4.76
Shree Renuka,55.80,54.10,54.50,52.05,2.45,4.71
Brightcom Group,14.50,14.50,14.50,13.85,0.65,4.69
Data Patterns,"2,272.95","2,171.20","2,251.35","2,155.75",95.6,4.43
UCO Bank,37.30,35.20,36.65,35.10,1.55,4.42
Glenmark,813.20,779.05,810.95,776.85,34.1,4.39
Fert and Chem,552.50,508.30,540.20,518.10,22.1,4.27
Adani Enterpris,"2,630.25","2,546.00","2,614.95","2,519.30",95.65,3.8
NCC,167.80,160.00,165.20,159.20,6,3.77
Biocon,278.05,266.85,276.40,266.40,10,3.75
Macrotech Dev,799.00,776.60,797.75,769.20,28.55,3.71
Thermax,"3,050.00","2,925.00","3,035.75","2,927.35",108.4,3.7
ABB India,"4,678.00","4,460.05","4,618.85","4,458.55",160.3,3.6
NHPC,55.00,52.55,54.70,52.80,1.9,3.6
UTI AMC,824.90,792.00,820.20,791.80,28.4,3.59
ICICI Prudentia,579.00,557.15,576.55,556.70,19.85,3.57
RITES,584.00,555.00,567.20,547.95,19.25,3.51
Container Corp,747.70,716.00,733.60,708.90,24.7,3.48
Piramal Enter,"1,139.95","1,085.10","1,127.20","1,089.45",37.75,3.47
Central Bank,42.20,39.50,40.65,39.30,1.35,3.44
PNB,69.50,67.00,69.15,66.85,2.3,3.44
BSE Limited,"1,438.00","1,330.15","1,369.15","1,324.45",44.7,3.37
KFin Tech,482.90,462.45,476.85,461.30,15.55,3.37
Apar Ind,"5,090.00","4,875.00","5,030.95","4,870.75",160.2,3.29
Balrampur Chini,425.00,412.65,420.20,406.90,13.3,3.27
AAVAS Financier,"1,731.00","1,670.00","1,718.60","1,665.05",53.55,3.22
Motilal Oswal,913.00,881.40,909.70,881.40,28.3,3.21
Max Healthcare,625.00,603.00,622.15,603.00,19.15,3.18
KPR Mill,790.75,757.45,783.90,759.80,24.1,3.17
Schaeffler Ind,"3,719.00","3,590.00","3,687.40","3,575.75",111.65,3.12
KEI Industries,"2,599.85","2,530.05","2,593.05","2,518.45",74.6,2.96
Cyient,"1,868.10","1,795.00","1,840.00","1,788.00",52,2.91
Uflex,474.75,454.45,464.35,451.90,12.45,2.76
Triveni Engg,360.00,351.40,355.00,345.45,9.55,2.76
Mazagon Dock,"2,350.00","2,245.00","2,272.25","2,212.30",59.95,2.71
Manappuram Fin,149.55,145.05,148.50,144.60,3.9,2.7
Ambuja Cements,453.40,439.25,450.90,439.20,11.7,2.66
Mahindra Life,598.95,574.20,589.35,574.20,15.15,2.64
Adani Wilmar,368.20,355.40,363.80,354.60,9.2,2.59
Sterlite Techno,179.05,171.50,175.65,171.30,4.35,2.54
Bank of Baroda,204.70,198.25,202.80,197.80,5,2.53
Tata Comm,"1,957.35","1,906.05","1,932.75","1,885.25",47.5,2.52
EID Parry,537.50,527.50,532.85,519.85,13,2.5
Triveni Turbine,421.00,403.00,413.05,403.20,9.85,2.44
Jubilant Food,549.00,533.00,545.65,532.70,12.95,2.43
INDUS TOWERS,194.95,186.10,192.50,188.00,4.5,2.39
Chola Fin Hold,"1,105.00","1,066.05","1,098.80","1,073.35",25.45,2.37
Guj Amb Exports,299.40,286.00,292.35,285.60,6.75,2.36
Craftsman,"5,065.95","4,817.75","4,930.35","4,817.75",112.6,2.34
Easy Trip,39.90,38.90,39.60,38.70,0.9,2.33
Easy Trip,39.90,38.90,39.60,38.70,0.9,2.33
CSB Bank,345.00,332.00,335.90,328.30,7.6,2.31
Balaji Amines,"2,324.00","2,241.00","2,287.15","2,235.75",51.4,2.3
City Union Bank,137.90,133.10,135.60,132.55,3.05,2.3
Power Grid Corp,265.00,257.60,264.50,258.65,5.85,2.26
Sona BLW,608.00,587.45,605.30,591.90,13.4,2.26
Finolex Cables,"1,172.75","1,135.00","1,159.25","1,133.85",25.4,2.24
Aegis Logistics,360.00,352.30,359.60,351.75,7.85,2.23
Apollo Hospital,"5,106.80","5,003.75","5,095.95","4,985.15",110.8,2.22
Engineers India,162.35,156.45,161.50,158.00,3.5,2.22
Adani Total Gas,673.05,645.30,658.90,644.80,14.1,2.19
JB Chemicals,"2,855.00","2,785.55","2,843.55","2,782.95",60.6,2.18
Jindal Steel,719.45,701.00,713.55,698.30,15.25,2.18
Dalmia Bharat,"2,384.40","2,324.50","2,372.55","2,322.10",50.45,2.17
DCM Shriram,"1,020.00",995.00,"1,017.75",996.25,21.5,2.16
Indian Bank,399.00,388.15,397.55,389.15,8.4,2.16
Ratnamani Metal,"2,803.60","2,708.95","2,787.30","2,728.95",58.35,2.14
AIA Engineering,"3,824.00","3,707.00","3,801.60","3,723.15",78.45,2.11
IRB Infra,35.00,34.00,34.15,33.45,0.7,2.09
IRB Infra,35.00,34.00,34.15,33.45,0.7,2.09
HINDPETRO,268.65,260.40,265.80,260.40,5.4,2.07
Axis Bank,"1,004.00",979.00,"1,000.40",980.30,20.1,2.05
Max Financial,961.00,937.50,954.30,935.50,18.8,2.01
Narayana Hruda,"1,032.00","1,013.20","1,028.30","1,008.15",20.15,2
SKF India,"5,414.00","5,279.85","5,397.95","5,292.05",105.9,2
CreditAccess Gr,"1,494.95","1,434.90","1,460.95","1,432.50",28.45,1.99
Maruti Suzuki,"10,550.00","10,344.00","10,533.85","10,332.00",201.85,1.95
AB Capital,191.50,187.00,190.50,186.90,3.6,1.93
Can Fin Homes,793.75,774.70,788.55,773.65,14.9,1.93
Greenpanel Ind,396.40,380.00,390.80,383.45,7.35,1.92
Blue Dart,"6,472.00","6,340.00","6,421.10","6,300.85",120.25,1.91
KNR Construct,275.00,270.05,274.40,269.35,5.05,1.87
Union Bank,90.30,88.65,89.75,88.10,1.65,1.87
Guj State Petro,289.25,283.95,287.80,282.60,5.2,1.84
UPL,619.35,608.10,617.95,606.80,11.15,1.84
Hindalco,487.80,476.45,484.85,476.15,8.7,1.83
CCL Products,688.50,661.45,685.60,673.50,12.1,1.8
Mahindra Holida,420.70,403.20,417.15,409.80,7.35,1.79
Zomato,102.55,99.20,101.35,99.60,1.75,1.76
Clean Science,"1,533.85","1,470.00","1,483.20","1,458.10",25.1,1.72
Happiest Minds ,970.00,943.00,955.70,939.50,16.2,1.72
Aditya Birla F,234.65,230.00,233.30,229.35,3.95,1.72
HDFC Life,677.55,656.40,668.65,657.45,11.2,1.7
Chalet Hotels,580.80,566.95,574.80,565.30,9.5,1.68
