company_name,high,low,last_price,prev_close,change,percent_gain
TataTeleservice,82.50,73.20,80.95,73.30,7.65,10.44
TV18 Broadcast,44.05,39.45,42.90,39.30,3.6,9.16
Finolex Cables,986.00,899.95,977.65,896.70,80.95,9.03
Tejas Networks,889.00,807.00,871.40,812.35,59.05,7.27
Sterling Wilson,359.70,332.50,354.10,332.05,22.05,6.64
SJVN,50.15,46.25,48.70,45.80,2.9,6.33
Bank of Mah,33.50,31.85,33.30,31.50,1.8,5.71
Mahindra Holida,360.00,337.30,358.35,339.85,18.5,5.44
Bikaji Foods,468.90,426.60,448.65,426.30,22.35,5.24
KRBL,379.20,356.00,373.60,355.20,18.4,5.18
KEI Industries,"2,815.15","2,441.20","2,563.10","2,439.45",123.65,5.07
Rainbow Child,"1,111.50","1,058.00","1,103.95","1,051.80",52.15,4.96
Jindal Stainles,369.00,350.25,367.30,350.20,17.1,4.88
Kajaria Ceramic,"1,422.90","1,353.50","1,419.35","1,353.50",65.85,4.87
Apar Ind,"3,717.00","3,476.85","3,667.65","3,499.20",168.45,4.81
Welspun Corp,323.00,305.05,319.80,305.60,14.2,4.65
Craftsman,"4,690.00","4,410.05","4,637.45","4,439.30",198.15,4.46
Polycab,"4,325.15","4,176.40","4,308.85","4,128.15",180.7,4.38
PNB,64.50,61.60,64.15,61.60,2.55,4.14
Patanjali Foods,"1,336.35","1,261.55","1,323.00","1,272.75",50.25,3.95
Cera Sanitary,"7,848.00","7,380.75","7,687.90","7,396.90",291,3.93
HEG,"1,664.15","1,570.50","1,625.90","1,565.45",60.45,3.86
Astral Ltd,"1,914.65","1,840.05","1,908.70","1,840.05",68.65,3.73
APL Apollo,"1,409.90","1,351.00","1,397.05","1,346.80",50.25,3.73
Persistent,"5,149.00","4,925.15","5,138.70","4,983.40",155.3,3.12
Indian Hotels,403.00,388.30,400.25,388.30,11.95,3.08
Canara Bank,339.30,327.75,338.45,328.45,10,3.04
Angel One,"1,527.90","1,452.00","1,504.05","1,461.95",42.1,2.88
Sterlite Techno,154.00,148.90,153.05,148.80,4.25,2.86
Carborundum,"1,233.65","1,183.90","1,218.35","1,184.80",33.55,2.83
NTPC,196.60,190.20,192.55,187.35,5.2,2.78
SBI Card,873.55,842.65,865.75,842.65,23.1,2.74
Rain Industries,168.10,163.70,167.65,163.20,4.45,2.73
Can Fin Homes,823.90,800.25,818.30,797.65,20.65,2.59
Gland,"1,216.00","1,158.00","1,191.15","1,161.20",29.95,2.58
HINDPETRO,298.50,288.80,297.90,290.40,7.5,2.58
PVR INOX,"1,448.00","1,403.75","1,439.20","1,403.75",35.45,2.53
Union Bank,85.25,82.70,85.05,83.00,2.05,2.47
RITES,427.00,411.50,419.15,409.15,10,2.44
L&T Finance,135.15,130.60,133.50,130.35,3.15,2.42
NHPC,47.20,45.70,46.75,45.65,1.1,2.41
Galaxy Surfacta,"2,682.70","2,598.00","2,668.50","2,605.90",62.6,2.4
Motilal Oswal,750.05,729.40,744.90,728.55,16.35,2.24
Bajaj Finance,"7,599.00","7,430.00","7,584.70","7,420.00",164.7,2.22
Havells India,"1,385.00","1,343.00","1,364.00","1,334.40",29.6,2.22
MphasiS,"2,175.00","2,105.05","2,169.80","2,123.40",46.4,2.19
IOB,26.35,25.75,26.25,25.70,0.55,2.14
Chola Invest.,"1,173.75","1,143.55","1,170.30","1,145.95",24.35,2.12
Power Finance,227.00,220.65,226.40,221.70,4.7,2.12
IndusInd Bank,"1,443.40","1,410.00","1,419.55","1,390.25",29.3,2.11
Rajesh Exports,531.85,511.75,520.20,509.45,10.75,2.11
JSW Energy,301.30,288.65,295.50,289.70,5.8,2
Devyani Int,201.75,196.45,199.90,196.00,3.9,1.99
Sun TV Network,527.70,505.40,518.00,507.90,10.1,1.99
Cyient,"1,498.00","1,458.00","1,486.10","1,457.20",28.9,1.98
EIH,220.00,213.20,218.25,214.05,4.2,1.96
Ratnamani Metal,"2,649.45","2,571.05","2,616.80","2,566.60",50.2,1.96
Sona BLW,557.20,543.90,553.95,543.35,10.6,1.95
Sapphire Foods,"1,446.25","1,402.40","1,428.90","1,402.45",26.45,1.89
UltraTechCement,"8,356.85","8,163.75","8,329.20","8,176.00",153.2,1.87
L&T Technology,"4,209.90","4,025.00","4,142.80","4,067.70",75.1,1.85
CenturyPlyboard,687.85,668.05,679.35,667.05,12.3,1.84
APTUS VALUE,272.65,266.65,270.60,265.80,4.8,1.81
PCBL,159.10,155.75,158.65,155.85,2.8,1.8
Interglobe Avi,"2,706.95","2,655.00","2,700.50","2,653.05",47.45,1.79
Rossari,903.85,868.00,889.30,873.95,15.35,1.76
MCX India,"1,626.20","1,581.00","1,614.55","1,586.95",27.6,1.74
V-Mart Retail,"2,258.20","2,197.55","2,238.85","2,200.85",38,1.73
Zensar Tech,461.80,445.10,457.65,449.95,7.7,1.71
Asahi India,539.80,524.70,536.35,527.45,8.9,1.69
HFCL,66.30,64.70,66.05,64.95,1.1,1.69
KFin Tech,394.00,376.95,385.30,378.90,6.4,1.69
Aether Ind,"1,077.05","1,054.25","1,066.70","1,049.20",17.5,1.67
Restaurant Bran,111.75,109.10,110.85,109.05,1.8,1.65
Castrol,134.90,129.00,132.00,129.90,2.1,1.62
KPIT Tech,"1,089.00","1,062.30","1,084.35","1,067.10",17.25,1.62
Bajaj Finserv,"1,649.80","1,614.00","1,644.10","1,618.30",25.8,1.59
Bajaj Finserv,"1,649.80","1,614.00","1,644.10","1,618.30",25.8,1.59
Voltas,792.85,764.10,777.85,765.75,12.1,1.58
Trent,"1,720.00","1,688.00","1,716.45","1,690.30",26.15,1.55
SBI,602.40,592.00,601.45,592.35,9.1,1.54
HDFC AMC,"2,422.45","2,362.00","2,408.10","2,372.25",35.85,1.51
Oberoi Realty,"1,075.05","1,045.00","1,069.80","1,053.90",15.9,1.51
BPCL,385.50,378.55,384.55,378.95,5.6,1.48
Go Fashion,"1,152.60","1,125.00","1,148.15","1,131.65",16.5,1.46
Cummins,"1,946.00","1,908.05","1,941.00","1,913.30",27.7,1.45
NCC,142.85,139.00,140.70,138.70,2,1.44
CG Consumer,296.75,289.35,293.45,289.30,4.15,1.43
UCO Bank,28.60,27.80,28.45,28.05,0.4,1.43
Fert and Chem,503.80,476.45,490.55,483.70,6.85,1.42
IEX,125.55,122.55,124.85,123.10,1.75,1.42
BASF,"2,644.95","2,595.10","2,637.95","2,601.15",36.8,1.41
REC,163.30,160.00,162.35,160.10,2.25,1.41
SUMITOMO,413.40,406.00,410.85,405.15,5.7,1.41
TML - D,347.00,339.05,344.85,340.10,4.75,1.4
TML - D,347.00,339.05,344.85,340.10,4.75,1.4
Tata Motors,625.30,610.15,620.60,612.10,8.5,1.39
Tata Motors,625.30,610.15,620.60,612.10,8.5,1.39
Sun Pharma,"1,086.00","1,063.85","1,081.85","1,067.15",14.7,1.38
Thermax,"2,423.20","2,370.10","2,413.30","2,380.90",32.4,1.36
NOCIL,214.45,210.50,213.95,211.10,2.85,1.35
ITC,480.45,468.10,478.85,472.50,6.35,1.34
PNB Housing Fin,642.00,629.50,640.50,632.00,8.5,1.34
Bajaj Holdings,"7,480.00","7,360.05","7,456.65","7,358.80",97.85,1.33
KSB Pumps,"2,185.00","2,115.65","2,177.15","2,148.60",28.55,1.33
Rashtriya Chem,116.20,113.25,114.20,112.70,1.5,1.33
Century,988.90,905.10,943.40,931.10,12.3,1.32
Torrent Power,637.00,619.20,625.60,617.70,7.9,1.28
Max Healthcare,614.75,600.00,611.55,603.90,7.65,1.27
