company_name,high,low,last_price,prev_close,change,percent_gain
MCX India,"2,114.40","1,940.00","2,096.55","1,937.00",159.55,8.24
C. E. Info Syst,"2,108.95","1,889.15","2,037.70","1,897.05",140.65,7.41
Finolex Cables,"1,219.00","1,122.10","1,195.55","1,120.15",75.4,6.73
Tata Inv Corp,"3,521.00","3,275.00","3,440.60","3,270.90",169.7,5.19
SJVN,73.20,69.85,72.40,69.90,2.5,3.58
CSB Bank,346.70,330.00,340.65,329.65,11,3.34
DCM Shriram,"1,099.70","1,049.10","1,092.80","1,059.95",32.85,3.1
IOB,48.60,45.20,46.35,45.00,1.35,3
Global Health,724.50,701.65,715.10,694.80,20.3,2.92
PNB Housing Fin,685.00,655.10,680.10,662.00,18.1,2.73
FSN E-Co Nykaa,158.00,147.00,153.15,149.10,4.05,2.72
PB Fintech,770.15,743.00,761.65,742.80,18.85,2.54
Jindal Stainles,492.95,454.75,472.65,461.15,11.5,2.49
Eris Life,855.00,831.05,850.15,830.25,19.9,2.4
Fert and Chem,562.00,534.00,543.95,531.80,12.15,2.28
CG Consumer,309.95,298.85,305.75,299.05,6.7,2.24
Sonata,"1,098.00","1,052.75","1,087.80","1,064.10",23.7,2.23
Aegis Logistics,337.80,325.95,332.70,326.10,6.6,2.02
TataTeleservice,102.40,96.30,98.40,96.45,1.95,2.02
Timken,"3,149.80","3,068.80","3,127.45","3,067.00",60.45,1.97
CenturyPlyboard,660.95,636.35,652.30,639.80,12.5,1.95
CIEINDIA,488.80,467.25,483.95,474.75,9.2,1.94
Five-Star Busin,713.50,695.00,707.45,694.15,13.3,1.92
Sunteck Realty,452.70,438.25,448.70,440.25,8.45,1.92
Chola Invest.,"1,249.45","1,200.00","1,219.80","1,198.30",21.5,1.79
KNR Construct,289.70,281.05,284.55,279.55,5,1.79
Asahi India,623.70,609.00,618.15,607.40,10.75,1.77
AIA Engineering,"3,538.00","3,440.60","3,501.25","3,440.55",60.7,1.76
Adani Energy,839.65,816.40,830.50,816.20,14.3,1.75
Vedant Fashions,"1,336.95","1,295.05","1,323.90","1,301.35",22.55,1.73
Suven Pharma,550.00,533.00,544.05,535.10,8.95,1.67
Oil India,305.45,288.75,292.25,287.50,4.75,1.65
KEI Industries,"2,671.00","2,600.00","2,658.80","2,617.15",41.65,1.59
Larsen,"3,050.50","2,978.25","3,010.00","2,965.05",44.95,1.52
IIFL Finance,604.90,586.65,593.90,585.15,8.75,1.5
