company_name,high,low,last_price,prev_close,change,percent_gain
MMTC Ltd,63.00,53.55,63.00,52.50,10.5,20
Raymond,"2,240.00","2,106.50","2,172.45","1,977.70",194.75,9.85
Devyani Int,218.30,198.35,215.55,198.55,17,8.56
Bayer CropScien,"5,450.00","4,828.70","5,240.50","4,830.90",409.6,8.48
IRFC,75.70,69.50,72.25,66.70,5.55,8.32
IDBI Bank,71.25,65.40,70.15,64.90,5.25,8.09
NOCIL,242.75,224.35,240.50,223.05,17.45,7.82
Nazara,906.00,843.85,895.30,834.80,60.5,7.25
Cyient,"1,945.00","1,768.00","1,898.55","1,772.35",126.2,7.12
NBCC (India),61.15,55.05,59.65,56.00,3.65,6.52
Trident,43.75,40.10,42.65,40.05,2.6,6.49
CDSL,"1,231.50","1,155.50","1,225.45","1,151.65",73.8,6.41
Tanla Platforms,"1,053.50",967.95,"1,020.55",959.65,60.9,6.35
VIP Industries,708.10,659.00,700.45,659.00,41.45,6.29
Bikaji Foods,519.00,480.05,512.35,482.15,30.2,6.26
Jubilant Food,539.90,501.10,533.30,502.70,30.6,6.09
Century,"1,140.00","1,055.05","1,114.95","1,051.05",63.9,6.08
Karur Vysya,131.25,124.00,129.25,122.60,6.65,5.42
HFCL,80.50,74.55,79.35,75.30,4.05,5.38
Network 18,76.40,71.20,74.45,70.75,3.7,5.23
Aditya Birla F,231.70,219.00,230.90,219.60,11.3,5.15
Nuvoco Vistas,376.90,360.25,373.85,356.05,17.8,5
Redington,164.65,155.85,163.40,156.00,7.4,4.74
Macrotech Dev,739.05,705.20,734.95,701.75,33.2,4.73
Sun Pharma Adv,263.40,250.25,260.95,249.35,11.6,4.65
Central Bank,39.65,37.10,38.45,36.75,1.7,4.63
Petronet LNG,229.80,219.50,229.15,219.00,10.15,4.63
TCNS Clothing C,389.05,368.90,387.40,370.45,16.95,4.58
UCO Bank,35.55,33.40,34.40,32.90,1.5,4.56
Praj Industries,541.60,508.85,527.35,504.60,22.75,4.51
Bank of India,94.50,89.65,93.40,89.40,4,4.47
Cochin Shipyard,962.00,918.80,953.30,913.15,40.15,4.4
Finolex Cables,"1,145.00","1,089.65","1,136.95","1,089.60",47.35,4.35
Zensar Tech,575.00,537.55,558.90,536.15,22.75,4.24
