company_name,high,low,last_price,prev_close,change,percent_gain
Intellect Desig,"1,079.00",915.30,"1,051.90",915.30,136.60,14.92
Godfrey Phillip,"5,665.00","5,022.15","5,511.00","5,062.15",448.85,8.87
Amber Enterpris,"7,977.00","7,192.00","7,867.70","7,249.90",617.80,8.52
KFin Tech,"1,619.95","1,479.95","1,592.20","1,476.95",115.25,7.8
PNC Infratech,335.60,310.15,330.10,308.10,22.00,7.14
Adani Ports,"1,249.00","1,182.55","1,243.95","1,182.20",61.75,5.22
Newgen Software,"1,725.00","1,592.00","1,686.20","1,602.65",83.55,5.21
Blue Dart,"7,725.00","7,100.00","7,400.70","7,067.25",333.45,4.72
Vijaya Diagnost,"1,138.95","1,044.40","1,096.40","1,047.10",49.30,4.71
New India Assur,213.33,197.01,206.61,198.01,8.60,4.34
CG Power ,747.50,710.10,743.75,713.70,30.05,4.21
JK Bank,105.66,98.62,102.01,98.18,3.83,3.9
SignatureGlobal,"1,342.00","1,284.80","1,333.40","1,287.20",46.20,3.59
KEI Industries,"4,330.00","4,161.00","4,320.25","4,177.30",142.95,3.42
Adani Green Ene,"1,082.20","1,023.00","1,064.25","1,031.05",33.20,3.22
Craftsman,"5,389.25","5,192.50","5,365.90","5,208.20",157.70,3.03
Rajesh Exports,261.80,224.87,235.81,228.91,6.90,3.01
Honeywell Autom,"42,555.00","40,677.90","42,228.25","41,005.95","1,222.30",2.98
Five-Star Busin,795.65,757.00,790.85,768.05,22.80,2.97
Guj Amb Exports,130.49,123.50,128.49,124.93,3.56,2.85
Suven Pharma,"1,152.00","1,113.65","1,148.20","1,116.65",31.55,2.83
Blue Star,"2,052.00","1,978.05","2,039.20","1,983.20",56.00,2.82
Campus Active,306.00,293.20,303.15,294.90,8.25,2.8
Sammaan Capital,154.80,149.98,154.08,149.98,4.10,2.73
Adani Energy,800.80,769.00,792.30,771.30,21.00,2.72
Easy Trip,16.95,16.28,16.91,16.47,0.44,2.67
Easy Trip,16.95,16.28,16.91,16.47,0.44,2.67
Power Finance,464.25,451.65,463.25,451.20,12.05,2.67
Himadri Special,575.25,551.00,565.80,551.75,14.05,2.55
Gland,"1,832.00","1,733.55","1,824.35","1,779.45",44.90,2.52
Interglobe Avi,"4,736.40","4,572.10","4,725.00","4,612.25",112.75,2.44
Schaeffler Ind,"3,499.00","3,281.05","3,411.70","3,331.10",80.60,2.42
IRB Infra,56.24,54.38,55.87,54.59,1.28,2.34
IRB Infra,56.24,54.38,55.87,54.59,1.28,2.34
REC,520.50,507.05,519.10,507.40,11.70,2.31
Elecon Eng,646.50,621.50,641.70,627.50,14.20,2.26
Elecon Eng,646.50,621.50,641.70,627.50,14.20,2.26
Adani Power,515.80,495.60,507.15,496.00,11.15,2.25
KPIL,"1,307.00","1,250.00","1,287.30","1,259.80",27.50,2.18
Mazagon Dock,"4,850.00","4,622.00","4,729.75","4,629.50",100.25,2.17
Voltas,"1,716.75","1,660.35","1,711.30","1,675.00",36.30,2.17
Hitachi Energy,"14,540.00","14,001.05","14,332.30","14,030.95",301.35,2.15
Chennai Petro,612.00,593.20,607.65,594.95,12.70,2.13
One 97 Paytm,"1,009.80",974.25,"1,002.35",982.55,19.80,2.02
Akums Drugs & P,618.80,584.45,607.65,595.90,11.75,1.97
Phoenix Mills,"1,740.15","1,661.20","1,730.00","1,696.60",33.40,1.97
Tata Inv Corp,"7,042.20","6,828.80","6,931.20","6,798.70",132.50,1.95
Ceat,"3,135.45","3,060.05","3,126.15","3,067.70",58.45,1.91
