company_name,high,low,last_price,prev_close,change,percent_gain
Graphite India,618.50,550.95,607.85,545.50,62.35,11.43
ABB India,"5,450.00","5,081.60","5,425.00","4,984.70",440.3,8.83
Data Patterns,"2,255.00","2,045.45","2,239.05","2,060.45",178.6,8.67
Tata Inv Corp,"7,111.15","6,352.05","6,977.50","6,474.70",502.8,7.77
NCC,246.70,225.30,243.05,226.55,16.5,7.28
G R Infra,"1,289.90","1,167.05","1,268.60","1,182.65",85.95,7.27
Hind Copper,264.80,247.00,263.10,246.00,17.1,6.95
HEG,"1,750.00","1,658.00","1,731.75","1,625.70",106.05,6.52
Yes Bank,27.35,24.95,27.15,25.55,1.6,6.26
Vodafone Idea,16.40,15.05,16.30,15.35,0.95,6.19
MTAR Tech,"2,065.00","1,968.65","2,016.55","1,904.70",111.85,5.87
Cummins,"2,789.75","2,595.00","2,760.85","2,607.90",152.95,5.86
Thermax,"3,758.85","3,495.00","3,721.70","3,544.20",177.5,5.01
Gujarat Pipavav,211.35,194.25,208.20,198.40,9.8,4.94
NBCC (India),146.15,142.50,146.00,139.20,6.8,4.89
Godfrey Phillip,"2,779.00","2,650.00","2,765.90","2,637.15",128.75,4.88
PB Fintech,"1,025.90",960.35,"1,021.65",977.90,43.75,4.47
Cyient,"2,066.95","1,936.00","2,051.05","1,964.40",86.65,4.41
Oberoi Realty,"1,384.50","1,329.00","1,378.15","1,321.35",56.8,4.3
Adani Power,567.00,517.30,562.25,540.75,21.5,3.98
Indian Hotels,583.20,552.90,578.85,557.00,21.85,3.92
Rattanindia Ent,85.15,79.50,84.50,81.40,3.1,3.81
Global Health,"1,500.00","1,413.40","1,486.25","1,432.25",54,3.77
Rain Industries,212.30,197.85,210.80,203.20,7.6,3.74
Apar Ind,"6,390.00","6,120.05","6,366.60","6,153.55",213.05,3.46
Anupam Rasayan,924.80,886.10,921.45,890.70,30.75,3.45
Home First,954.00,926.00,946.90,915.40,31.5,3.44
Bajaj Auto,"8,550.00","8,220.00","8,498.45","8,232.25",266.2,3.23
Bharat Elec,196.00,188.70,194.75,188.70,6.05,3.21
RBL Bank,267.70,256.05,266.55,258.45,8.1,3.13
Sterling Wilson,596.00,557.00,589.40,571.65,17.75,3.11
NMDC Steel,64.05,59.90,63.10,61.20,1.9,3.1
HCL Tech,"1,691.40","1,639.00","1,686.40","1,636.30",50.1,3.06
Sterlite Techno,151.00,141.60,149.25,144.85,4.4,3.04
Eicher Motors,"3,970.00","3,841.85","3,951.40","3,836.35",115.05,3
BHEL,229.40,220.95,228.50,221.90,6.6,2.97
KPIL,959.00,892.55,938.95,912.50,26.45,2.9
INDUS TOWERS,226.10,217.50,225.15,218.85,6.3,2.88
Coal India,448.00,427.95,445.15,432.95,12.2,2.82
ITC,415.15,403.45,414.45,403.35,11.1,2.75
NMDC,239.60,231.30,239.00,232.60,6.4,2.75
Bharat Dynamics,"1,765.55","1,663.95","1,746.50","1,700.05",46.45,2.73
M&M,"1,917.00","1,853.00","1,910.35","1,859.65",50.7,2.73
NALCO,162.25,152.75,161.60,157.30,4.3,2.73
Birlasoft,822.85,799.30,817.60,796.40,21.2,2.66
Welspun Corp,545.95,512.50,543.45,529.45,14,2.64
HFCL,116.45,109.40,115.15,112.20,2.95,2.63
Canara Bank,584.70,563.45,582.20,567.35,14.85,2.62
Siemens,"4,587.00","4,418.00","4,552.50","4,440.35",112.15,2.53
CSB Bank,361.00,350.10,360.05,351.45,8.6,2.45
Tech Mahindra,"1,330.50","1,299.35","1,328.10","1,296.60",31.5,2.43
TCS,"4,094.95","3,971.00","4,087.10","3,991.50",95.6,2.4
LIC India,"1,070.00","1,032.05","1,064.40","1,039.55",24.85,2.39
IRB Infra,67.50,63.45,67.15,65.60,1.55,2.36
IRB Infra,67.50,63.45,67.15,65.60,1.55,2.36
Sun TV Network,627.10,606.25,624.65,610.50,14.15,2.32
India Cements,249.40,238.85,248.35,242.75,5.6,2.31
Oil India,609.70,572.85,598.50,585.20,13.3,2.27
Varun Beverages,"1,500.00","1,462.50","1,497.20","1,464.20",33,2.25
Varun Beverages,"1,500.00","1,462.50","1,497.20","1,464.20",33,2.25
Container Corp,"1,024.00",985.70,"1,013.70",991.90,21.8,2.2
Chalet Hotels,860.00,815.10,847.80,829.70,18.1,2.18
Indiabulls Hsg,189.50,183.20,188.75,184.75,4,2.17
Zomato,163.00,156.60,162.10,158.65,3.45,2.17
Zee Entertain,169.90,163.40,168.15,164.60,3.55,2.16
Solar Ind,"6,878.00","6,705.00","6,830.85","6,687.90",142.95,2.14
Epigral,"1,277.00","1,210.00","1,247.75","1,221.90",25.85,2.12
Bank of Mah,62.00,58.65,61.65,60.40,1.25,2.07
Larsen,"3,369.00","3,276.95","3,363.75","3,296.40",67.35,2.04
Kalyan Jeweller,385.70,375.00,383.85,376.25,7.6,2.02
Oracle Fin Serv,"7,934.20","7,634.00","7,909.15","7,752.85",156.3,2.02
Info Edge,"5,352.00","5,239.95","5,340.35","5,235.75",104.6,2
Hindustan Aeron,"3,010.00","2,940.00","3,005.65","2,948.05",57.6,1.95
Hindustan Aeron,"3,010.00","2,940.00","3,005.65","2,948.05",57.6,1.95
Kaynes Tech,"2,890.00","2,791.60","2,865.35","2,811.05",54.3,1.93
Manappuram Fin,182.95,178.05,182.00,178.60,3.4,1.9
RITES,752.00,718.00,745.85,731.95,13.9,1.9
IDBI Bank,92.00,87.50,91.60,89.90,1.7,1.89
Godrej Prop,"2,392.95","2,330.00","2,387.40","2,343.35",44.05,1.88
Olectra Greente,"2,221.95","2,011.00","2,101.50","2,062.65",38.85,1.88
Suprajit Eng,399.50,386.85,397.50,390.25,7.25,1.86
Wipro,533.00,521.45,531.05,521.40,9.65,1.85
Prestige Estate,"1,228.85","1,189.00","1,212.10","1,190.25",21.85,1.84
Hindalco,522.15,514.25,521.15,511.80,9.35,1.83
Astral Ltd,"1,969.95","1,925.10","1,965.15","1,930.50",34.65,1.79
Motherson SWI,71.40,68.85,71.20,69.95,1.25,1.79
Exide Ind,333.40,323.30,332.40,326.70,5.7,1.74
