company_name,high,low,last_price,prev_close,change,percent_gain
TataTeleservice,84.50,75.65,82.73,71.04,11.69,16.46
CreditAccess Gr,"1,023.00",910.95,999.50,910.95,88.55,9.72
Kotak Mahindra,"1,929.90","1,866.00","1,920.50","1,758.60",161.9,9.21
Vodafone Idea,10.47,9.78,9.94,9.11,0.83,9.11
Guj Amb Exports,127.23,116.21,125.72,115.95,9.77,8.43
Tejas Networks,"1,150.00","1,055.05","1,133.15","1,059.40",73.75,6.96
Wipro,305.40,296.95,300.25,281.95,18.3,6.49
Redington,224.99,209.63,222.03,209.17,12.86,6.15
Valor Estate,183.00,166.25,177.76,167.60,10.16,6.06
Kalyan Jeweller,549.00,521.05,530.90,501.50,29.4,5.86
Lemon Tree,148.40,140.95,147.69,139.79,7.9,5.65
Garden Reach Sh,"1,599.00","1,495.00","1,591.55","1,507.45",84.1,5.58
United Brewerie,"2,075.00","1,951.55","2,059.40","1,951.30",108.1,5.54
Angel One,"2,609.00","2,430.15","2,587.50","2,454.50",133,5.42
CG Power ,686.75,647.80,684.00,649.15,34.85,5.37
Saregama India,555.00,522.55,550.05,522.20,27.85,5.33
Mazagon Dock,"2,496.30","2,302.10","2,438.45","2,315.05",123.4,5.33
Mazagon Dock,"2,496.30","2,302.10","2,438.45","2,315.05",123.4,5.33
Triveni Turbine,725.20,676.95,718.55,682.60,35.95,5.27
Piramal Pharma,244.45,229.40,242.05,230.70,11.35,4.92
Westlife Food,767.95,710.85,755.95,724.30,31.65,4.37
Shyam Metalics,814.00,766.60,804.60,771.00,33.6,4.36
Amber Enterpris,"7,088.00","6,675.00","7,049.55","6,757.50",292.05,4.32
Jubilant Pharmo,988.45,935.15,982.15,941.60,40.55,4.31
BEML,"3,823.60","3,630.05","3,791.45","3,635.00",156.45,4.3
Schneider Infra,756.35,719.65,753.85,723.60,30.25,4.18
Bharat Dynamics,"1,345.80","1,283.10","1,329.25","1,276.25",53,4.15
Bharat Dynamics,"1,345.80","1,283.10","1,329.25","1,276.25",53,4.15
Mankind Pharma,"2,754.70","2,602.60","2,704.70","2,600.40",104.3,4.01
SBFC Finance,90.89,85.98,89.97,86.57,3.4,3.93
Max Healthcare,"1,066.75","1,015.75","1,064.90","1,026.65",38.25,3.73
IOB,53.65,50.70,52.52,50.64,1.88,3.71
Yes Bank,19.13,18.26,18.93,18.26,0.67,3.67
NBCC (India),99.18,95.61,98.76,95.31,3.45,3.62
JK Bank,98.47,94.80,97.96,94.55,3.41,3.61
Bajaj Finance,"7,470.00","7,182.10","7,440.10","7,182.10",258,3.59
INDUS TOWERS,390.45,370.35,375.60,362.70,12.9,3.56
GlaxoSmithKline,"2,149.50","2,048.00","2,135.50","2,063.30",72.2,3.5
IFCI,58.79,55.70,57.96,56.01,1.95,3.48
UCO Bank,45.12,43.07,44.56,43.07,1.49,3.46
Data Patterns,"2,369.85","2,264.80","2,359.60","2,281.05",78.55,3.44
Indegene,676.20,646.65,673.75,651.45,22.3,3.42
Bajaj Finserv,"1,738.00","1,674.40","1,735.20","1,680.65",54.55,3.25
Bajaj Finserv,"1,738.00","1,674.40","1,735.20","1,680.65",54.55,3.25
Canara Bank,102.00,97.61,101.04,97.88,3.16,3.23
Canara Bank,102.00,97.61,101.04,97.88,3.16,3.23
Granules India,599.20,572.85,597.75,579.20,18.55,3.2
General Insuran,454.00,435.50,451.55,437.70,13.85,3.16
Central Bank,55.50,52.61,54.37,52.72,1.65,3.13
JB Chemicals,"1,811.90","1,739.05","1,802.45","1,747.80",54.65,3.13
JB Chemicals,"1,811.90","1,739.05","1,802.45","1,747.80",54.65,3.13
Sundaram Fin,"4,747.25","4,525.00","4,700.90","4,560.20",140.7,3.09
Just Dial,949.00,916.00,941.35,913.40,27.95,3.06
KPR Mill,"1,006.10",967.55,998.05,968.50,29.55,3.05
NTPC,337.00,324.55,336.05,326.15,9.9,3.04
Amara Raja,"1,113.00","1,069.00","1,109.90","1,077.70",32.2,2.99
Karur Vysya,228.90,218.50,224.67,218.16,6.51,2.98
Elgi Equipments,549.90,530.20,547.00,531.20,15.8,2.97
Cochin Shipyard,"1,549.00","1,501.80","1,536.55","1,492.65",43.9,2.94
Cochin Shipyard,"1,549.00","1,501.80","1,536.55","1,492.65",43.9,2.94
Jyoti CNC Auto,"1,300.00","1,252.95","1,273.05","1,236.65",36.4,2.94
Radico Khaitan,"2,365.00","2,265.15","2,349.35","2,282.75",66.6,2.92
Laurus Labs,590.00,564.10,584.25,567.80,16.45,2.9
Aditya Birla F,283.90,273.85,282.65,274.70,7.95,2.89
Techno Electric,"1,338.00","1,246.35","1,325.15","1,288.55",36.6,2.84
Blue Dart,"6,746.70","6,410.55","6,622.55","6,440.10",182.45,2.83
UTI AMC,"1,257.95","1,215.00","1,250.20","1,216.00",34.2,2.81
SBI Card,764.85,739.30,761.50,740.85,20.65,2.79
360 ONE WAM,"1,233.95","1,162.40","1,216.50","1,183.70",32.8,2.77
360 ONE WAM,"1,233.95","1,162.40","1,216.50","1,183.70",32.8,2.77
Jupiter Wagons,522.00,483.00,503.00,489.55,13.45,2.75
Macrotech Dev,"1,222.50","1,171.05","1,208.75","1,176.95",31.8,2.7
Union Bank,112.45,108.71,111.63,108.70,2.93,2.7
JM Financial,122.58,116.88,120.35,117.27,3.08,2.63
Intellect Desig,925.05,890.60,919.10,896.20,22.9,2.56
IDBI Bank,87.48,82.75,86.14,84.01,2.13,2.54
Rattanindia Ent,59.79,58.25,59.63,58.17,1.46,2.51
NALCO,212.00,205.16,210.55,205.54,5.01,2.44
Glenmark,"1,513.70","1,444.30","1,503.60","1,468.10",35.5,2.42
Welspun Corp,804.00,775.30,798.45,779.65,18.8,2.41
Can Fin Homes,722.00,697.00,708.00,691.50,16.5,2.39
MRPL,148.58,140.02,143.88,140.52,3.36,2.39
Elecon Eng,611.95,586.50,604.25,590.25,14,2.37
Elecon Eng,611.95,586.50,604.25,590.25,14,2.37
Action Const,"1,335.00","1,291.00","1,321.35","1,291.70",29.65,2.3
Narayana Hruda,"1,345.00","1,292.65","1,329.55","1,299.65",29.9,2.3
Balaji Amines,"1,769.95","1,687.50","1,750.20","1,711.00",39.2,2.29
Krishna Inst.,648.00,614.20,623.10,609.25,13.85,2.27
Krishna Inst.,648.00,614.20,623.10,609.25,13.85,2.27
Usha Martin,362.75,349.30,358.15,350.30,7.85,2.24
Anant Raj,924.50,888.20,919.60,899.50,20.1,2.23
Suzlon Energy,58.79,56.26,58.09,56.84,1.25,2.2
Fine Organics,"4,479.90","4,358.75","4,454.35","4,358.75",95.6,2.19
Persistent,"6,152.40","5,840.00","6,090.90","5,961.20",129.7,2.18
Persistent,"6,152.40","5,840.00","6,090.90","5,961.20",129.7,2.18
PCBL Chemical,369.00,354.20,366.00,358.35,7.65,2.13
United Spirits,"1,477.35","1,412.80","1,457.85","1,427.55",30.3,2.12
Shree Renuka,40.30,39.01,39.14,38.33,0.81,2.11
Linde India,"5,985.10","5,772.00","5,932.35","5,810.45",121.9,2.1
Jindal Saw,265.40,257.25,263.55,258.20,5.35,2.07
